Word	Positive	Negative	Anger	Anticipation	Disgust	Fear	Joy	Sadness	Surprise	Trust
back	0	0	0	0	0	0	0	0	0	0
Abacus	0	0	0	0	0	0	0	0	0	1
shiya	0	1	0	0	0	1	0	1	0	0
ishiyiwe	0	1	1	0	0	1	0	1	0	0
ukushiya	0	1	1	0	0	1	0	1	1	0
phumula	0	0	0	0	0	0	0	0	0	0
ukubethelwa	0	0	0	0	0	0	0	0	0	0
abba	1	0	0	0	0	0	0	0	0	0
abbot	0	0	0	0	0	0	0	0	0	1
isifinyezo	0	0	0	0	0	0	0	0	0	0
isifinyezo	0	0	0	0	0	0	0	0	0	0
isisu	0	0	0	0	0	0	0	0	0	0
isisu	0	0	0	0	0	0	0	0	0	0
ukuthunjwa	0	1	0	0	0	1	0	1	1	0
i-aberrant	0	1	0	0	0	0	0	0	0	0
ukuhlukumezeka	0	1	0	0	1	0	0	0	0	0
ukuzinza	0	0	0	0	0	0	0	0	0	0
nyansi	0	1	1	0	1	1	0	0	0	0
ukuzonda	0	1	1	0	1	1	0	0	0	0
uhlale	0	0	0	0	0	0	0	0	0	0
ikhono	1	0	0	0	0	0	0	0	0	0
ukuhlukunyezwa	0	1	0	0	1	0	0	0	0	0
ukuphumula	0	0	0	0	0	0	0	0	0	0
vula	0	0	0	0	0	0	0	0	0	0
okungavamile	0	1	0	0	1	0	0	0	0	0
ungene	0	0	0	0	0	0	0	0	0	0
uhlala	0	0	0	0	0	0	0	0	0	0
ukuqeda	0	1	1	0	0	0	0	0	0	0
ukuqeda	0	1	0	0	0	0	0	0	0	0
ezinengekayo	0	1	0	0	1	1	0	0	0	0
inengiso	0	1	1	0	1	1	0	0	0	0
aboriginal	0	0	0	0	0	0	0	0	0	0
ukuphumula	0	1	0	0	0	0	0	0	0	0
ukukhipha isisu	0	1	0	0	1	1	0	1	0	0
ukukhipha	0	1	0	0	0	0	0	1	0	0
iningi	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	1	0	0	0	0	0	0	0	0	0
ukuhlukunyezwa	0	1	0	0	0	0	0	0	0	0
phesheya	0	0	0	0	0	0	0	0	0	0
ukuxoshwa	0	1	0	0	0	0	0	0	0	0
ngokuphazamiseka	0	0	0	0	0	0	0	0	1	0
ngokungazelelwe	0	0	0	0	0	0	0	0	0	0
i-abscess	0	1	0	0	0	0	0	1	0	0
ukungabi khona	0	1	0	0	0	1	0	1	0	0
engekho	0	1	0	0	0	0	0	1	0	0
engekho	0	1	0	0	0	0	0	1	0	0
ukungabikho	0	1	0	0	0	0	0	0	0	0
i-absinthe	0	0	0	0	0	0	0	0	0	0
ngokuphelele	1	0	0	0	0	0	0	0	0	0
ukungabi namuntu	1	0	0	0	0	0	1	0	0	1
umunwe	1	0	0	0	0	0	0	0	0	0
