Xhosa (xh)	Positive	Negative	Anger	Anticipation	Disgust	Fear	Joy	Sadness	Surprise	Trust
ukuphazamiseka	0	0	0	0	0	0	0	0	0	0
abacus	0	0	0	0	0	0	0	0	0	1
ukushiya	0	1	0	0	0	1	0	1	0	0
lahliwe	0	1	1	0	0	1	0	1	0	0
ukushiya	0	1	1	0	0	1	0	1	1	0
kuphelisa	0	0	0	0	0	0	0	0	0	0
ukuxothwa	0	0	0	0	0	0	0	0	0	0
abba	1	0	0	0	0	0	0	0	0	0
abbot	0	0	0	0	0	0	0	0	0	1
ezifingqiweyo	0	0	0	0	0	0	0	0	0	0
ngcaciso	0	0	0	0	0	0	0	0	0	0
esiswini	0	0	0	0	0	0	0	0	0	0
esiswini	0	0	0	0	0	0	0	0	0	0
kuthathwa	0	1	0	0	0	1	0	1	1	0
elimnyama	0	1	0	0	0	0	0	0	0	0
ukuhlutha	0	1	0	0	1	0	0	0	0	0
ukunyanzela	0	0	0	0	0	0	0	0	0	0
uyanyanyeka	0	1	1	0	1	1	0	0	0	0
ku nyelisa	0	1	1	0	1	1	0	0	0	0
kuhlala	0	0	0	0	0	0	0	0	0	0
amandla	1	0	0	0	0	0	0	0	0	0
ephazamisayo	0	1	0	0	1	0	0	0	0	0
ku pheliswa	0	0	0	0	0	0	0	0	0	0
sitshisa	0	0	0	0	0	0	0	0	0	0
engavamile	0	1	0	0	1	0	0	0	0	0
ngenelo	0	0	0	0	0	0	0	0	0	0
kuhlala	0	0	0	0	0	0	0	0	0	0
phelisa	0	1	1	0	0	0	0	0	0	0
ku pheliswa	0	1	0	0	0	0	0	0	0	0
sikizi	0	1	0	0	1	1	0	0	0	0
sikizi	0	1	1	0	1	1	0	0	0	0
oomthonyama	0	0	0	0	0	0	0	0	0	0
ukukhupha	0	1	0	0	0	0	0	0	0	0
isisu	0	1	0	0	1	1	0	1	0	0
ku khusela	0	1	0	0	0	0	0	1	0	0
lileyo	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	1	0	0	0	0	0	0	0	0	0
kubhubha	0	1	0	0	0	0	0	0	0	0
phesheya	0	0	0	0	0	0	0	0	0	0
rhoxiswa	0	1	0	0	0	0	0	0	0	0
ngokukhawuleza	0	0	0	0	0	0	0	0	1	0
ngokukhawuleza	0	0	0	0	0	0	0	0	0	0
ikhefu	0	1	0	0	0	0	0	1	0	0
ukungabikho	0	1	0	0	0	1	0	1	0	0
engekhoyo	0	1	0	0	0	0	0	1	0	0
engekhoyo	0	1	0	0	0	0	0	1	0	0
ukungabikho	0	1	0	0	0	0	0	0	0	0
i-absinthe	0	0	0	0	0	0	0	0	0	0
ngokupheleleyo	1	0	0	0	0	0	0	0	0	0
ukungabikho	1	0	0	0	0	0	1	0	0	1
zifunyenwe	1	0	0	0	0	0	0	0	0	0
umxube	0	0	0	0	0	0	0	0	0	0
ukuxhamla	0	0	0	0	0	0	0	0	0	0
u kufakwa	0	0	0	0	0	0	0	0	0	0
ziyeke	0	0	0	0	0	0	0	0	0	0
ukungabikho	0	0	0	0	0	0	0	0	0	0
ukuziyeka	0	0	0	0	0	0	0	0	0	0
ezingabonakaliyo	0	0	0	0	0	0	0	0	0	0
ukukhutshwa	0	0	0	0	0	0	0	0	0	0
nganto	0	1	0	0	0	0	0	0	0	0
nganto	0	1	0	0	0	0	0	0	0	0
buninzi	1	1	0	1	1	0	1	0	0	1
eninzi	1	0	0	0	0	0	1	0	0	0
xhatshazwa	0	1	1	0	1	1	0	1	0	0
nxu lumano	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
zihlazo	0	1	0	0	0	0	0	1	0	0
