"id","favorite count","retweet count","text","created at"
897936310610128896,0,0,"Ass is so sore wow","2017-08-16 21:41:13"
897935011365568512,0,0,"I just creeped through Maria and she really had the audacity to change her location to Maryland wow","2017-08-16 21:36:04"
897916607732822016,0,0,"I need a smaller septum ring I hate how big mine is","2017-08-16 20:22:56"
897914472580341761,0,0,"My mom is really out here making mole :,)","2017-08-16 20:14:27"
897912359876009987,0,0,"Pikagirl","2017-08-16 20:06:03"
897909253423472640,2,0,"I just want to know how?? Bc I want my ass this phat https://t.co/8rZclhv8wP","2017-08-16 19:53:43"
897907815037239300,2,0,"This is what I look like after sleeping my life away and catching up on game of thrones https://t.co/OA2vNuMCnd","2017-08-16 19:48:00"
897881887884103685,0,1,"If they kill one of daenerys dragons I'm fighting","2017-08-16 18:04:58"
897876295866101760,0,0,"Okay I'm starting this season of game of thrones rn !!","2017-08-16 17:42:45"
897871272985710592,0,0,"Man I need to catch up on this season of game of thrones!!","2017-08-16 17:22:47"
897862863964057602,1,0,"I'm so sore it really feels like I just got my back blown out","2017-08-16 16:49:22"
897715695001141248,1,0,"I'm changing my bio on everything to no tits mica","2017-08-16 07:04:35"
897715474418552832,0,0,"@elsaismay Classes start tomorrow?? What the fuck","2017-08-16 07:03:42"
897715236962267136,2,0,"""And America goodluck, goodluck charlie""","2017-08-16 07:02:45"
897714490334203911,1,0,"I hope my mom doesn't beat my ass tomorrow and I also hope I get to dye my hair bc I'm going through a crisis","2017-08-16 06:59:47"
897708679197229056,1,0,"I have a horrible headache ay dios mio","2017-08-16 06:36:42"
897642729571745795,0,0,"I'm so confusion rn","2017-08-16 02:14:38"
897637870357422080,1,1,"I just want everyone in my life to be happy","2017-08-16 01:55:20"
897637580166098944,0,0,"Beauty is pain right?","2017-08-16 01:54:11"
897635528127991810,0,0,"And then everybody ends up wanting to touch it :)))","2017-08-16 01:46:01"
897635467902017538,0,0,"No one ever notices how small and cute my nose is until I point it out","2017-08-16 01:45:47"
897629159542927360,2,0,"I made three bets today and if i don't win biiiitch I'm going to be so broke","2017-08-16 01:20:43"
897624934545076224,0,0,"I honestly hope that I look like an approachable person I don't want to look mean and shit :/","2017-08-16 01:03:56"
897624565681139714,1,0,"Girls who slide in my dms wanting to be friends are the cutest :,)","2017-08-16 01:02:28"
897623992437264385,1,0,"Okay but rlly my waist already lowkey small I just gotta loose my tummy :/","2017-08-16 01:00:11"
897615368512000000,0,0,"Man I'm so proud I finished that work out I really felt like I was going to throw up and pass out","2017-08-16 00:25:55"
897595399267024900,0,0,"I almost threw up twice during the workout BUT I finished it in 10 min and beat my sister and Ryan","2017-08-15 23:06:34"
897572532345348097,0,0,"The rest of the year I'm going to try my hardest to be the best person I can be! I will prosper and glow!","2017-08-15 21:35:42"
897558414209024000,0,0,"This is the second person that tells me I'm under appreciated yikes maybe I really am","2017-08-15 20:39:36"
