"id","favorite count","retweet count","text","created at"
897942124150362113,0,0,"@squishyBytes *Curious*","2017-08-16 22:04:20"
897942041606332417,0,0,"@QueerCorgi The cutest!","2017-08-16 22:04:00"
897941365153071104,0,0,"@ModestKupo But think of the bragging rights!","2017-08-16 22:01:19"
897940722950615045,0,0,"@ModestKupo That's really hard to do. I always fall out before I can.","2017-08-16 21:58:45"
897940601676587008,0,0,"@TheJesseon I've tried so hard but never managed to do that. I know you get 999 rings if you do though.","2017-08-16 21:58:17"
897934532770500608,2,0,"I'm the kind of player who leaves Casinopolis with 999 rings.","2017-08-16 21:34:10"
897931818984382470,1,0,"That's not even to mention all the extra things that work well like snowboarding and Casinopolis.","2017-08-16 21:23:23"
897931383192117248,1,0,"You know playing Sonic Adventure, it still amazes me how well Sonic controls for their first 3D attempt.","2017-08-16 21:21:39"
897930394619662336,0,0,"@lynnkeefe *Applause*","2017-08-16 21:17:43"
897928344188014592,0,0,"@Toshabuns It's gonna happen somewhere and I really feel for them.","2017-08-16 21:09:34"
897928269227413505,1,0,"@miss_sunkisst Of course","2017-08-16 21:09:16"
897927314448633857,1,0,"@miss_sunkisst *Pokemon dogs too","2017-08-16 21:05:29"
897927199373885440,0,0,"@Toshabuns I feel bad for the person who has rain that night.","2017-08-16 21:05:01"
897926852915765248,0,0,"@kohiyote It's finally rebelling.","2017-08-16 21:03:39"
897922842691592192,1,0,"He's been building a Death Egg the whole time and we never knew. https://t.co/NQEVMhhEQt","2017-08-16 20:47:42"
897921500682104833,0,0,"Their eyes were just stickers the whole time.","2017-08-16 20:42:22"
897920987680747520,0,0,"@robofoxprincess Boop!","2017-08-16 20:40:20"
897920836191092737,3,0,"Uh https://t.co/HOJCiwYeGn","2017-08-16 20:39:44"
897918646240129024,1,0,"@millyficent_ Oh my go-","2017-08-16 20:31:02"
897916079623766017,1,0,"@PokeeMay May born in May","2017-08-16 20:20:50"
897902560488681472,0,0,"@ValeFuchs Like Vinesauce.","2017-08-16 19:27:07"
897900839943233540,0,0,"@lynnkeefe ;;;","2017-08-16 19:20:17"
897890308796678144,3,0,"Have a great day!","2017-08-16 18:38:26"
897719080601477120,1,0,"@Pigeon_Feathers I really do, you don't understand how much I love their donuts ;;","2017-08-16 07:18:02"
897718767513464832,0,0,"@Lugarugan I'll pet you and we can sleep.","2017-08-16 07:16:47"
897718521156837377,0,0,"Goodnight!","2017-08-16 07:15:48"
897715935225806848,0,0,"@Pigeon_Feathers Oh same honestly. I only get them when we travel down to South Carolina, there's none here ;;","2017-08-16 07:05:32"
897714651416453121,0,0,"@Pigeon_Feathers Wow I really want one now.","2017-08-16 07:00:26"
897711915857846272,1,0,"@Pigeon_Feathers Oh dang you're right. Best cat for sure!","2017-08-16 06:49:34"
897709276164214785,0,0,"Watching people play chaotic Mario Party rounds makes me want to play it wth people again.","2017-08-16 06:39:04"
897707139342446592,0,0,"@Pigeon_Feathers You're the best cat follower ;w;","2017-08-16 06:30:35"
897706417750237185,0,0,"@Pigeon_Feathers You're great too!! Oh wait new followers, whoops. D:","2017-08-16 06:27:43"
897705439261069312,1,0,"@TheJesseon @LasPlagaMessiah Most Animal Crossing events are once a year so pretty easy to miss most of them.","2017-08-16 06:23:49"
897704865094410240,1,0,"@LasPlagaMessiah @TheJesseon He's kind of a jerk too.","2017-08-16 06:21:33"
897702260326752258,0,0,"@TheJesseon Of all things to be a hipster for I never thought it'd be Sonic.","2017-08-16 06:11:12"
897702012300779520,3,0,"I liked Sonic before he was cool D:
...Ah heck I'm just glad people like him for now.","2017-08-16 06:10:12"
897691557545091073,1,0,"@ValeFuchs No dabs.","2017-08-16 05:28:40"
897668104712597508,0,0,"@MrTemeraire You're more dog than pup.","2017-08-16 03:55:28"
897666769049006080,0,0,"@TheJesseon Don't tell the fuzz.","2017-08-16 03:50:10"
897665561227923460,0,0,"Guess who's pupper?","2017-08-16 03:45:22"
897664454434881543,1,0,"@SquidWonder I agree! Someone's gotta be the positive person.","2017-08-16 03:40:58"
897662367277998080,1,0,"@EspeonFluff Snug? Yes.","2017-08-16 03:32:40"
897661094906519554,1,0,"@SquidWonder I feel sad for those who put their personal morality over basic human empathy.","2017-08-16 03:27:37"
897659878986088449,2,0,"Dang it, I need to go to Arby's now.","2017-08-16 03:22:47"
897654299945316356,0,0,"@Sir_Paws Really? I was just blowing smoke D:","2017-08-16 03:00:37"
897649026375589890,7,0,"I try to have this effect on people, yes. https://t.co/2VabqkAhJ6","2017-08-16 02:39:40"
897645075374772230,0,0,"@ValeFuchs It's 10PM!","2017-08-16 02:23:58"
897641451382820865,1,0,"Luigi graffitied a sign to advertise his novels. https://t.co/rOkRzBsZsC","2017-08-16 02:09:34"
897641242686881796,1,0,"@totodilelover17 It's really not that bad!","2017-08-16 02:08:44"
897635606095949824,2,0,"Wait...I beat TTYD. But...I don't wanna be done! I like this game too much!","2017-08-16 01:46:20"
897635447299596288,0,0,"@owashii I don't mind, I love the ending!","2017-08-16 01:45:42"
897635245838790660,0,0,"@_Peetaco_ LOOK MR KRABS, CLEAN FLOORS","2017-08-16 01:44:54"
897634715783581697,6,0,"Beat Shadow Queen with 10HP, no danger Mario, boo sheets, or life shrooms.","2017-08-16 01:42:48"
897634427966291969,0,0,"@_Peetaco_ How dare","2017-08-16 01:41:39"
897630487858089984,0,0,"@lynnkeefe Phew ;;","2017-08-16 01:26:00"
897629278044643330,8,3,"Oh almost forgot, happy Annoy Squidward Day! https://t.co/he5n9J9mFC","2017-08-16 01:21:11"
897627652688883712,0,0,"@lynnkeefe Pokémon as snacks? :c","2017-08-16 01:14:44"
897627499265495043,1,0,"Final boss time with 10HP time.","2017-08-16 01:14:07"
897614875102519296,0,0,"@owashii I know the ""Mario isn't a kids game"" joke has been done so death but it really does feel like a different game.","2017-08-16 00:23:57"
897614750909116416,1,0,"@owashii Mostly I see it as Game Freak knows the games must not be bringing much new so they won't really try and hype it up.","2017-08-16 00:23:28"
897614046911967232,2,0,"Funny how the last dungeon in TTYD unsettles me more than most anything from a Final Fantasy type RPG game.","2017-08-16 00:20:40"
897612740763807744,2,0,"@owashii It's all they've shown from the game, it's an event only thing, nobody really has a reason to care about US/UM.","2017-08-16 00:15:28"
897609828457205760,1,0,"@PKLucarioBeta Night!","2017-08-16 00:03:54"
897602302936313857,0,0,"@gojithefox Sorry I ruined it for everyone D:","2017-08-15 23:34:00"
897601121291829250,3,0,"Spoiler alert, the door opens at one point.","2017-08-15 23:29:18"
897600327658110976,4,0,"I remember when I was a kid finally opening the Thousand Year Door felt like the biggest accomplishment of my life.","2017-08-15 23:26:09"
897597488781295620,2,0,"@Dreysander1 Really? I honestly thought it was a kind of meat, like salami or something.","2017-08-15 23:14:52"
897596889079705600,1,0,"@Dreysander1 What even is cilantro?","2017-08-15 23:12:29"
897594188023431170,0,0,"@DaringVulpix You're melting?","2017-08-15 23:01:45"
897592820533526528,0,0,"@Lugarugan Guess I'm not the nerd dog anymore!","2017-08-15 22:56:19"
897592529809440768,0,0,"@AngstyAlb *?","2017-08-15 22:55:10"
897592509408448512,0,0,"@AngstyAlb The DS games get kinda a bad rep huh,","2017-08-15 22:55:05"
897591799417589761,1,0,"@QuakeYote Yes","2017-08-15 22:52:16"
897589988610760704,1,0,"Family Guy Peter Griffin Clip Art","2017-08-15 22:45:04"
897583626220687367,1,0,"@Camega42 Same!","2017-08-15 22:19:47"
897580917421682690,2,0,"Luigi going on his own adventure in TTYD is already funny but the fact he writes a novel about it is hilarious.","2017-08-15 22:09:01"
897573904755064836,1,0,"@snimph You draw so dang well!","2017-08-15 21:41:09"
897564555580067841,2,0,"@miss_sunkisst Yes it is!","2017-08-15 21:04:00"
897564025130590208,0,0,"@kohiyote Can't trade with you though D:","2017-08-15 21:01:54"
897563944130297856,2,0,"@miss_sunkisst Yeah well I like you more!","2017-08-15 21:01:34"
897563873917665282,1,0,"@kohiyote Well...being short can be pretty cute though.","2017-08-15 21:01:18"
897563007424880641,0,0,"@kohiyote Everybody's taller than me...","2017-08-15 20:57:51"
897556764941594625,0,0,"@robofoxprincess Woof","2017-08-15 20:33:03"
897556056385003520,1,0,"@miss_sunkisst What I wanna know is where's the caveman","2017-08-15 20:30:14"
897555423485726720,4,0,"Scoob","2017-08-15 20:27:43"
897551940451577856,9,1,"Hi, I like you!","2017-08-15 20:13:52"
897547832877436928,1,0,"Hey Homer","2017-08-15 19:57:33"
897547405108883456,1,0,"@DustiCoyote Gosh coyote mom","2017-08-15 19:55:51"
897539662008516613,2,0,"Bad sleep night, blegh.","2017-08-15 19:25:05"
897539461885681664,0,0,"@Fenfufu It is written, only the box can defeat Ganon","2017-08-15 19:24:17"
897532322941194240,2,0,"Sonic Mania *twitch*","2017-08-15 18:55:55"
897532085669425152,3,0,"Have a great day!","2017-08-15 18:54:59"
897354092498083841,0,0,"Night &lt;3","2017-08-15 07:07:42"
897352103512993792,3,0,"@Orlando_Fox Oh wow! This was one of those cartoons I thought everyone but me forgot about.","2017-08-15 06:59:48"
897342918888914944,1,0,"@ShinyTorracat It's you!","2017-08-15 06:23:18"
897342666383470592,0,0,"@TheJesseon Like frogger but better","2017-08-15 06:22:18"
897342623027011588,0,0,"@ShinyTorracat Not me D:","2017-08-15 06:22:07"
897342586469445633,0,0,"@kiskyface Yes!","2017-08-15 06:21:59"
897342096419553280,2,0,"Puppo","2017-08-15 06:20:02"
897337565816205313,0,0,"@Toshabuns He's so athletic","2017-08-15 06:02:02"
897328472825237504,1,0,"@Pixxo_  https://t.co/CFAsp9YrBW","2017-08-15 05:25:54"
897327012649553927,1,0,"@Pixxo_  https://t.co/BpOjex9ILw","2017-08-15 05:20:06"
897323487706181632,1,0,"@SleepiestSheep Aaaaa happy birthday! Hope it's a good one!","2017-08-15 05:06:05"
897311670732763137,0,0,"@takaradragon This is boring! I can't wait to-DIE","2017-08-15 04:19:08"
897311526004166656,0,0,"@EhnKyoo Gosh, hope you feel better soon :&lt;","2017-08-15 04:18:33"
897309807337721856,0,0,"@takaradragon I'm going to TACO BELL","2017-08-15 04:11:43"
897309583768784896,0,0,"@Montyfang I can say positive things about you at least-
You're cool","2017-08-15 04:10:50"
897308524455370755,0,0,"@takaradragon After you've scrubbed all the floors in Hyrule!","2017-08-15 04:06:38"
897308411414687744,0,0,"@Fenfufu Bomb some mcnandos","2017-08-15 04:06:11"
897307513988755456,0,0,"Soinc Manci","2017-08-15 04:02:37"
897307136438521856,0,0,"@takaradragon My ships for dinner, I wonder what sails in the morning","2017-08-15 04:01:07"
897306557779759104,0,0,"@takaradragon Link, go to Gamelon, for f***'s sake!","2017-08-15 03:58:49"
