"id","favorite count","retweet count","text","created at"
889351601412087809,2,0,"I think it's safe to say that every humans common goal is to feel loved,","2017-07-24 05:08:39"
889328431112040454,0,0,"I wonder what everyone else's goals and aspirations are","2017-07-24 03:36:35"
889328214820216834,0,0,"If I watch your snap story, feel fucking special","2017-07-24 03:35:43"
889306123823611904,0,0,"Sometimes I wonder what the greater purpose is","2017-07-24 02:07:57"
888221464763273216,0,1,"Never sweat a girl you can't get, somebody somewhere is playing her ass too","2017-07-21 02:17:54"
886414781875466241,0,0,"Make sure you're giving attention to someone who's worth your time.","2017-07-16 02:38:47"
886414604397674496,0,0,"Next time you catch yourself chasing after someone, stop and think would they do the same for you?","2017-07-16 02:38:05"
885560886550777856,0,0,"@TheNotoriousMMA after you KO Floyd, are you going to continue boxing or come back to the UFC?","2017-07-13 18:05:42"
885187699447136257,1,0,"Why is it so hard to get out of bed","2017-07-12 17:22:48"
884973394210541569,0,0,"Sometimes I wonder if there's more to life then skateboarding, and beer. But usually I'm to drunk skating my mini ramp to check","2017-07-12 03:11:13"
884972878176940034,1,0,"@HaleyBrooooke Take eye exam and check again😂","2017-07-12 03:09:10"
884972380057202690,0,0,"@HaleyBrooooke Turn your phone brightness all the way up and look","2017-07-12 03:07:12"
884972242622394368,0,0,"@HaleyBrooooke lol how is it not","2017-07-12 03:06:39"
884972065660579841,0,0,"@HaleyBrooooke That shit pink and white idgaf","2017-07-12 03:05:57"
884972007489757189,0,0,"#NewProfilePic https://t.co/U2uc1NHCSb","2017-07-12 03:05:43"
884971458602164225,1,0,"Lmao I only put pizza rolls in the oven https://t.co/fO6n3RKUl7","2017-07-12 03:03:32"
884971358949703680,0,0,"Why is it so hard to figure myself out","2017-07-12 03:03:08"
884942283719802880,0,0,"Females love vacations, bitches be tripping","2017-07-12 01:07:36"
884826688873541635,2,1,"Money and material things don't mean anything, the people around you are the only things that can't be replaced","2017-07-11 17:28:16"
883470403875876864,0,0,"Damn you must really need some attention? 
Tell your man to stop neglecting you","2017-07-07 23:38:53"
883187843799154689,1,0,"You don't know about sadness until you faced what I have alone, you don't know about lonely til it's chiseled in stone","2017-07-07 04:56:05"
883120320030412800,1,0,"Love and miss you sweetheart 😍😘😻💙💙 @yoJGrizz","2017-07-07 00:27:46"
883120182461444097,0,0,"@yoJGrizz Cracker ass mf","2017-07-07 00:27:13"
883120067831050240,1,0,"#NewProfilePic https://t.co/HmAoFcEiih","2017-07-07 00:26:46"
883119948708630528,0,0,"I just wanna leave work and watch impractical jokers all day","2017-07-07 00:26:18"
881993476954611712,0,0,"I wish you bitches weren't so thirsty for attention","2017-07-03 21:50:06"
880564923985559552,0,0,"If you were mine, everyday would be Feb 14th","2017-06-29 23:13:32"
880452213348470784,0,0,"Money is the motivation","2017-06-29 15:45:40"
880297053871538176,0,0,"I feel the alone, mostly when I'm surrounded by people","2017-06-29 05:29:07"
880295752387448833,1,0,"Be warned, I've been called a self centered asshole","2017-06-29 05:23:57"
879929445393551365,0,0,"Depression eating me alive","2017-06-28 05:08:22"
879562619153240064,0,0,"I don't want to lose myself loving you","2017-06-27 04:50:44"
879553511448608772,0,0,"It's crazy that by 22 I've done accomplished most of the shit y'all want to do or have by the time your 30","2017-06-27 04:14:33"
879551977289646082,0,0,"But how do you tell someone that","2017-06-27 04:08:27"
879551541086224384,0,0,"You have my soul","2017-06-27 04:06:43"
879396593983774722,1,0,"#NewProfilePic https://t.co/XlwJYPXME5","2017-06-26 17:51:01"
877420144447959040,0,0,"The reason people aren't loyal anymore is because they don't value themselves these days.","2017-06-21 06:57:18"
877418792523108352,0,0,"If you can choose between them hating or loving you; choose hated it's safer","2017-06-21 06:51:56"
877411405066055680,1,0,"I get high because the lows can be so low","2017-06-21 06:22:35"
877290671941582848,0,0,"✌🏻✌🏻","2017-06-20 22:22:50"
877020495065042945,0,0,"One day girl,","2017-06-20 04:29:14"
876602007934693376,0,0,"Never been big on dress clothes, and I got a wedding this weekend. Wish I had @TheNotoriousMMA suit🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻","2017-06-19 00:46:19"
876577956960899072,0,0,"@taeliv Forgot to tag me","2017-06-18 23:10:45"
875954206519242752,0,0,"You don't know about sadness til it's chiseled in stone","2017-06-17 05:52:11"
875954105562406914,0,0,"You don't know about sadness til you faced what I have alone..","2017-06-17 05:51:47"
875953987132039169,0,0,"You don't know about lonely or how long nights can be, til you lived through the story that's still living in me....","2017-06-17 05:51:19"
875945807928856576,1,0,"Is anyone actually alright? Everyone is hurting, just coping in their On way.","2017-06-17 05:18:49"
875913436936511490,0,0,"Loyalty isn't in yalls blood","2017-06-17 03:10:11"
875834749939527680,0,0,"Man I wish those tweets were about me","2017-06-16 21:57:31"
872641347647393792,0,0,"You were a thought in my mind, now you're just a Thot in my mind....","2017-06-08 02:28:04"
872568770191077378,0,0,"Me flirting 
""Hey, do you want to be my next Ex?""😏","2017-06-07 21:39:41"
872567631395598336,1,0,"Yea you're cute, but bish you cray asf💯💯💯💯💯💯","2017-06-07 21:35:09"
872567219024252929,0,0,"How do you ask, ""come throw that ass back?"" Without being rude?","2017-06-07 21:33:31"
872304135873449985,1,1,"If you still tweets for retweets just stop","2017-06-07 04:08:07"
872304021385740288,0,0,"When I look at you I see, a good girl who could do better then me...","2017-06-07 04:07:39"
872284797837639681,1,0,"Didn't life used to seem so much better?","2017-06-07 02:51:16"
872284006984949761,0,0,"Tonight she yelling fuck me, in two weeks she'll be yelling fuck me","2017-06-07 02:48:08"
872150599235710976,0,0,"My dreams haunt me","2017-06-06 17:58:01"
871992522708574208,1,0,"Tell me what you know about dreams, tell me what you know about night terrors. Nothing..","2017-06-06 07:29:52"
871986716298682368,0,0,"Love me..","2017-06-06 07:06:48"
871610244350308352,0,0,"I can't be the one you love","2017-06-05 06:10:50"
871610141329813504,0,0,"Society itself is scary,","2017-06-05 06:10:26"
871589570722377728,0,0,"https://t.co/KIhNn2AmQc","2017-06-05 04:48:41"
871445714425057282,0,0,"Skating for 8 hours&gt;&gt;&gt;&gt; not being able to walk the next day","2017-06-04 19:17:03"
871213788225294337,0,0,"Wonder if oomf was being serious","2017-06-04 03:55:28"
871209928328925184,1,0,"It's cheaper to be yourself","2017-06-04 03:40:07"
871167535168835584,0,0,"You could call and cuss out chick fila and they would still say thank you my pleasure","2017-06-04 00:51:40"
871108467293118464,0,0,"I want someone to be lazy with","2017-06-03 20:56:57"
871103640173498369,0,0,"Smh at girls these days, yall nasty","2017-06-03 20:37:46"
871071869356707841,1,0,"Where's the girls that aren't Thots","2017-06-03 18:31:32"
870914071494893568,0,0,"What exactly is space and time?","2017-06-03 08:04:30"
870914027043651584,0,0,"I literally just over analyzed our entire existence,","2017-06-03 08:04:19"
870912783294103552,0,0,"Be trippy with me","2017-06-03 07:59:22"
870910273753952257,1,0,"Smoke a blunt and watch ancient Aliens  👽 #trippy","2017-06-03 07:49:24"
870909608835022849,0,0,"Everybody just wants to be loved","2017-06-03 07:46:46"
870765968976486402,0,0,"I get tired of being alone","2017-06-02 22:15:59"
870748696513835008,0,0,"I wake up everyday and lay in bed pondering to go to work or not, like being a Hobo wouldn't be that bad","2017-06-02 21:07:21"
870746333388443649,0,0,"22 years old left in the dust, the world taught me never to love never to trust","2017-06-02 20:57:58"
870743694500036609,1,0,"I'm holding on for better days","2017-06-02 20:47:29"
870743552590061569,1,0,"@CamMeekins every time I hear better days I get chills, that shit came from the heart 💯💯💯","2017-06-02 20:46:55"
870692659668467717,0,0,"Can't wait to skate this weekend","2017-06-02 17:24:41"
870692440843272193,0,0,"The lost high way.....","2017-06-02 17:23:49"
870692283636621317,0,0,"It goes down in the DMs","2017-06-02 17:23:11"
870692161934589957,0,0,"TGOD, but I can't even get out of bed I'm so exhausted","2017-06-02 17:22:42"
870520362194292741,0,0,"I stay trapped in my own mind","2017-06-02 06:00:02"
870520067003371520,0,0,"Uh me?","2017-06-02 05:58:52"
870513681741692928,0,1,"Omg freaking fucking bullshit https://t.co/jyaLTO6BCu","2017-06-02 05:33:29"
870512713671122945,0,0,"Expect me I'm ugly on both","2017-06-02 05:29:38"
870512643257253892,0,0,"If you're ugly on Tinder you gotta be fucked in real life, holy shit how can you be ugly on the internet","2017-06-02 05:29:22"
870425117133819904,0,0,"And I'll personally thank everyone that doubted me","2017-06-01 23:41:34"
870423404360466432,0,0,"I'm going to make it one day","2017-06-01 23:34:45"
870404484643598337,2,0,"😂😂 https://t.co/vQdVcGyg92","2017-06-01 22:19:35"
870404346260881408,0,0,"I'm going to start a gofundme for my bills!???","2017-06-01 22:19:02"
870348149281443841,0,0,"Positive dedication","2017-06-01 18:35:43"
870347718463553536,0,0,"I wanna get you high when your feeling low","2017-06-01 18:34:01"
870175700405374976,1,0,"@nyjah Rise and Shine is the most inspiring skate video ever.... #GOAT #element","2017-06-01 07:10:28"
870173721142718464,0,0,"3 am and I'm watching skate videos, wtf is wrong with me","2017-06-01 07:02:36"
870164052940656640,0,0,"I was born in the wrong generation,","2017-06-01 06:24:11"
870154552808484864,1,0,"Living my life 12 oz at a time 🍻🍻","2017-06-01 05:46:26"
870152676977324036,0,0,"I've got to get a girl soon, my laundry needs to be folded","2017-06-01 05:38:59"
870123356850454528,0,0,"Love or lust","2017-06-01 03:42:29"
870054205058420736,0,0,"It ain't me, babe.","2017-05-31 23:07:41"
870007735915397120,0,0,"If I save your number, feel special","2017-05-31 20:03:02"
870003126358626305,1,0,"Sam Hunt-Body like a back road 🔥🔥🔥🎶🎶🎶","2017-05-31 19:44:43"
869970477648715778,0,0,"My leg still Fucking hurts","2017-05-31 17:34:59"
869814979339444224,0,0,"I hate that I can see the world for what it really is, and people for who they really are,","2017-05-31 07:17:06"
869797114536218624,1,0,"Where's the curly headed cuties that don't get too many likes","2017-05-31 06:06:06"
869789971401633792,1,0,"Seriously weird asf, whenever I get anxiety or get really depressed some how my dog puts me in a better mood💙 🐶","2017-05-31 05:37:43"
869774711722569734,0,0,"Just did molly for the hell of it🎶🎶🎶🎶","2017-05-31 04:37:05"
869759338210103297,1,0,"Literally can't stop thinking about skating","2017-05-31 03:36:00"
869741347821035520,0,0,"@_GoldenBoyJay lol that's what females dig in 2017","2017-05-31 02:24:30"
869738973027086339,1,0,"Id probably have a better shot if I had 4 kids no highschool diploma no job or car pill addiction and made weak raps in my moms living room","2017-05-31 02:15:04"
869732751112626176,0,0,"Hit this weed it might calm you down, rub your feet listening to everything you talk about","2017-05-31 01:50:21"
869731445409021958,0,0,"Everything burns. Even your soul.","2017-05-31 01:45:10"
869730300980600832,0,0,"You don't realize you miss them til you're sleeping alone","2017-05-31 01:40:37"
869727767419650048,0,1,"Maybe one day I'll get over my pride","2017-05-31 01:30:33"
869705128194056195,1,1,"Hank it up girl https://t.co/QRifV2fwLY","2017-05-31 00:00:35"
869704990524395524,0,0,"God forgives, I don't...🙌🏻💯","2017-05-31 00:00:02"
869700038531960834,0,0,"In*","2017-05-30 23:40:22"
869699895153885184,0,0,"I'm a world where individuality is diminishing","2017-05-30 23:39:47"
869699269778976768,0,0,"Why do females these days seem like clones","2017-05-30 23:37:18"
869695193985032193,1,0,"My soul is feeling empty, tell the reaper come and get me","2017-05-30 23:21:07"
869254175745601536,0,0,"Chill?","2017-05-29 18:08:40"
869063293876543488,2,0,"I need a down ass female that'll take care of me when I get injuries from skating","2017-05-29 05:30:10"
869063188263948288,0,0,"Peep my snap chat story Hayes_502","2017-05-29 05:29:45"
869061964781297664,0,1,"Let's vibe out","2017-05-29 05:24:53"
869061861894914048,0,0,"Females always tryna talk shit about exs, like you sucked my Dick your opinion is no longer valid.","2017-05-29 05:24:28"
869061401486217217,1,1,"I'm too busy is a lie, you make time for what and who you want to see","2017-05-29 05:22:39"
869060951529730048,1,0,"Spark my soul, get yours snatched","2017-05-29 05:20:51"
868390336179167232,1,0,"Starting to realize my true skate potential","2017-05-27 08:56:04"
868390134227623936,0,0,"What is fear","2017-05-27 08:55:16"
868176215345123328,1,0,"Nothing more inspiring then hearing words of optimism from your child hood hero","2017-05-26 18:45:14"
868157361587978246,1,0,"@yoJGrizz Telling you bro, dudes words stuck with me. If you can think it you can do it","2017-05-26 17:30:19"
867951639700926464,1,0,"I think I might become a pro skater 🤔🤔🤔","2017-05-26 03:52:51"
867951436755333120,0,0,"So close but yet so far away....","2017-05-26 03:52:02"
865790111979634689,0,0,"Tryna vibe out","2017-05-20 04:43:42"
865790045747326980,0,0,"I'm just saying you could do better","2017-05-20 04:43:27"
865033299579850752,0,0,"Tru","2017-05-18 02:36:24"
864033370447257601,2,0,"I want find a female that has more to offer then just pussy. Where are the intellectual females? #nobasicbitches #Intellectual","2017-05-15 08:23:03"
864029372449161216,0,0,"I've never been in so much pain in my life","2017-05-15 08:07:09"
864011530085560320,0,1,"Know yourself and know your worth,","2017-05-15 06:56:15"
864011448892219397,0,0,"Keep it moving","2017-05-15 06:55:56"
859807151056990209,0,0,"I probably fucked your #wcw","2017-05-03 16:29:33"
857425774378455042,0,0,"@Shelbs_04 Best concert I've ever seen lol","2017-04-27 02:46:49"
857425688231628801,0,0,"She used to love me a lot...","2017-04-27 02:46:28"
857070336948490240,0,0,"SC:Hayes_502","2017-04-26 03:14:26"
857066273565544448,0,0,"Let's get lost","2017-04-26 02:58:17"
857066100441350145,0,0,"How basic can you be?","2017-04-26 02:57:36"
857066035626876928,1,0,"I hate when girls pretend to be into sports 😂","2017-04-26 02:57:21"
857065695401652224,0,0,"Let me explain","2017-04-26 02:55:59"
857065620160040960,1,0,"🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻 https://t.co/7ekTTD6RUM","2017-04-26 02:55:42"
857065470096232449,0,0,"Just let me explain","2017-04-26 02:55:06"
857062034697056257,0,0,"Trap soul still hits 🔥🔥🔥💯💯💯 @brysontiller","2017-04-26 02:41:27"
857061654030319619,0,0,"When I grow up I wanna be a rapper","2017-04-26 02:39:56"
857061589312307201,1,0,"#NewProfilePic https://t.co/TIXKc7QXQ7","2017-04-26 02:39:40"
857061379139928066,0,0,"Pen Griffey","2017-04-26 02:38:50"
856383825508802561,0,0,"Break the cycle","2017-04-24 05:46:29"
856383790268243968,0,0,"Girls just want the attention of being wronged but when a good guy actually comes through they pass for another fuck boy","2017-04-24 05:46:21"
856371803526094848,0,0,"I'm drunk on a Sunday is that bad","2017-04-24 04:58:43"
856296283056766976,0,0,"Nothing to lose, tattoos around my gun wounds","2017-04-23 23:58:37"
856292471223005185,0,0,"I want a @TheNotoriousMMA fitted suit so damn bad #Fly #SeeThis #THEGOAT #ireland #Dublin","2017-04-23 23:43:28"
856291883353505793,1,0,"No respect for a girl who's calls herself a bad bitch","2017-04-23 23:41:08"
855776852824268801,2,0,"If you don't believe in heaven, I honestly don't know what's wrong with you 🙏🏻","2017-04-22 13:34:35"
855636896868954113,0,0,"What you won't do, another women will.","2017-04-22 04:18:27"
855504369609035781,0,0,"They be starin, Pussy moist every time the engine revvin","2017-04-21 19:31:50"
855310479228416000,0,0,"I prefer the floor and not the bed, feening for me I can get it wet","2017-04-21 06:41:23"
855310323112267777,0,0,"She say I'm a dog but it takes one to know one","2017-04-21 06:40:46"
855226803367157760,0,0,"@sarahhthomps_ Truth lol","2017-04-21 01:08:53"
855223334979735552,1,0,"Me flirting: "" Hey, you want to be my next ex?""","2017-04-21 00:55:06"
855062365846589442,1,1,"Love me like my dog does?","2017-04-20 14:15:28"
855061024843714561,0,0,"Anybody try one of those unicorn frappes from Starbucks?","2017-04-20 14:10:09"
855058898168029185,0,0,"Ill never hit on a girl at the bar, however if I see you at meijers and you looking good I'm going to holler lol I need a girl that can cook","2017-04-20 14:01:42"
855053714100563968,0,0,"If I could get over this permanent fucking ankle bruise id skate again","2017-04-20 13:41:06"
855052879421464576,3,0,"I want to find a girl that nobody knows","2017-04-20 13:37:47"
854927842605502464,0,0,"I'm actually convinced there's not another person in this world like me","2017-04-20 05:20:56"
854926964024631296,1,1,"@taeliv Males*","2017-04-20 05:17:26"
854909307145637889,0,1,"Crazy how easy it is for me to cut someone out of my life","2017-04-20 04:07:16"
854905837030191106,0,0,"I just want someone real and someone true.","2017-04-20 03:53:29"
854387718910087168,0,0,"I've been selling crack since like the 5th grade","2017-04-18 17:34:40"
854387628443041792,0,0,"That moment when your pooping and the water splashes your booty&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt; 😦😦😖😖😖","2017-04-18 17:34:19"
854185706356428801,0,0,"I've had Taco Bell like everyday for the last week","2017-04-18 04:11:57"
854179572543258625,0,0,"Lol you got an attitude because you owe me money?","2017-04-18 03:47:34"
854178567009316864,0,0,"You and I are made of glass, well never last","2017-04-18 03:43:34"
853826873981325313,0,0,"Is there anymore room for me in those jeans? 🎶🎶🎶🎶🎶","2017-04-17 04:26:04"
853136153981177856,0,0,"Everybody just wants to be loved","2017-04-15 06:41:24"
852679134887247873,1,0,"Don't follow the crowd","2017-04-14 00:25:22"
852679020642803712,1,0,"Send me your location","2017-04-14 00:24:55"
852663668147933184,0,0,"Heavy into everything, ready for the next thing","2017-04-13 23:23:54"
852543049339109376,2,0,"Sucks when someone you considered one of your best friends disappears","2017-04-13 15:24:37"
852542651333324801,0,0,"I could sleep all day if I didn't have to wake up and pee","2017-04-13 15:23:02"
852368192173477888,2,0,"Fuck the juice I got the sauce","2017-04-13 03:49:47"
849378841252548609,1,0,"Show me something natural like an ass with some stretch marks, Dick you down on your momma couch in polo socks","2017-04-04 21:51:11"
847796054984724480,4,0,"#NewProfilePic https://t.co/bQmC1iapYU","2017-03-31 13:01:45"
847795804395982848,1,0,"Everybody wants something for nothing, but nobody wants to put in work","2017-03-31 13:00:45"
847795724163194881,1,0,"Waking up at 8 am and working til 12 am. Without pain and sacrifice there's no reward","2017-03-31 13:00:26"
847673023574417409,1,0,"I'm a fuck boy","2017-03-31 04:52:52"
847643439495749632,0,0,"https://t.co/zRLywLOMSr","2017-03-31 02:55:19"
847643395921133568,0,0,"Can I hit it in the morning","2017-03-31 02:55:08"
847640915413835776,0,0,"@yoJGrizz lol i dont know but I haven't see you in 2 weeks 💔💔","2017-03-31 02:45:17"
847640493617848320,0,0,"@yoJGrizz Always cheating on me😑😢","2017-03-31 02:43:36"
847639931564326913,0,0,"@yoJGrizz why are you a whore","2017-03-31 02:41:22"
847639692841439232,0,0,"Awe man that bitch she goes hard","2017-03-31 02:40:25"
847525119937458176,1,0,"Newest https://t.co/RbLsqyFcwT","2017-03-30 19:05:09"
847525054502064128,0,0,"I love you momma","2017-03-30 19:04:53"
846568516455219200,1,0,"I can guarantee there's not another person on this planet like me","2017-03-28 03:43:57"
846437357855363072,0,0,"Baby I still feel the same, something I gotta maintain. It's always been that way......","2017-03-27 19:02:46"
846230544979505152,1,0,"I'm sick of the basic ass females these days, do none of y'all have any kind of individuality","2017-03-27 05:20:58"
846223180905746434,0,0,"I can't be the one you love","2017-03-27 04:51:43"
846218014848679936,4,0,"Whatever you don't do another women will","2017-03-27 04:31:11"
846217405625982977,1,0,"Miguel simple things always puts me in a depressed mood, there's no one out there that wants the simple things","2017-03-27 04:28:46"
846216853424914436,1,0,"I don't need the juice I got the sauce","2017-03-27 04:26:34"
845779004066086912,0,0,"My dick won't even called her because she left all that lipstick","2017-03-25 23:26:43"
844957077357383680,1,0,"Having wet dreamz that I'm smashing but I'm sleeping","2017-03-23 17:00:40"
844797634250362880,0,0,"What's it called when you don't even know what you feel","2017-03-23 06:27:06"
844794183420280832,0,0,"Have they invented tima machines yet","2017-03-23 06:13:23"
844787577458634752,0,0,"Basic bitches","2017-03-23 05:47:08"
844783761363386368,0,0,"Don't you hate when you eat ass and it tastes like it smells 😂👅","2017-03-23 05:31:58"
844783422237126656,1,0,"All girls wanna do these days is play games, once they got your attention game over","2017-03-23 05:30:37"
844746065509318656,0,0,"@Princesss_Meggg bruh why yo life so hard, smile lol","2017-03-23 03:02:11"
844745212589199360,1,1,"@yoJGrizz https://t.co/V3kPC7ejrw","2017-03-23 02:58:47"
844744998016995329,0,0,"Thot","2017-03-23 02:57:56"
844744605937647618,0,0,"Lonesome honorary and mean","2017-03-23 02:56:23"
844648911063203841,1,0,"Beat the hoe walls loose","2017-03-22 20:36:07"
844300277037645824,1,0,"#NewProfilePic https://t.co/ukVJja1FMC","2017-03-21 21:30:47"
844300104949551104,0,0,"lol I'm about to piss the whole world off","2017-03-21 21:30:06"
844101597579919360,1,0,"I wanna know how we became so distant girl, the way we fell in love it was almost instant. I'm tryna find a way around it,","2017-03-21 08:21:18"
843992719513059328,0,0,"Ever miss someone so much you can feel it in your chest,","2017-03-21 01:08:39"
843943532628971520,1,0,"Why designer rap like courage the cowardly dog talks?","2017-03-20 21:53:12"
843930034536615937,1,0,"@BreMarie_31 Kroger 2 bags 4$","2017-03-20 20:59:34"
843889839745458176,0,0,"Spilled a fucking gallon of gas inside my truck smh","2017-03-20 18:19:51"
843680711236378625,0,0,"@JordanMcInt0sh I'm down bae","2017-03-20 04:28:51"
843664952972005376,0,0,"Man I miss my uncle","2017-03-20 03:26:13"
843658145427808256,1,0,"Follow my homie, he's funny as hell lol but a bit of a diva https://t.co/kW8etznBfR","2017-03-20 02:59:10"
843653361958359041,1,0,"Man these single moms got me thinking being a step dad wouldn't be a bad idea 🤔🤔🤔🤔","2017-03-20 02:40:10"
843646187878187008,0,2,"Live up to your true potential, which knows no bounds","2017-03-20 02:11:40"
843645574683541505,1,0,"Girls just want attention, nothing real","2017-03-20 02:09:13"
843644644760141826,1,1,"Pretty much damn https://t.co/98uuzdMx6U","2017-03-20 02:05:32"
843638931300253700,0,0,"I don't fuck with thotties pass em to my partners","2017-03-20 01:42:49"
843638748680245249,1,0,"@marissafowler00 lmao","2017-03-20 01:42:06"
843638379837296640,0,0,"@marissafowler00 lordt* lol","2017-03-20 01:40:38"
843638318235602944,0,0,"Logan is the saddest movie I ever seen","2017-03-20 01:40:23"
843638130766893056,2,0,"Oomf kills me always looking for a decent dude, ask to take her out and she ducks 😂😂😂😂","2017-03-20 01:39:39"
843636469147340800,0,0,"4 Brother's is still a dope ass movie","2017-03-20 01:33:02"
843636184009990144,0,2,"Know yourself, know your worth.","2017-03-20 01:31:54"
843636085599232005,1,0,"Why is it so hard to find a female that actually has some depth","2017-03-20 01:31:31"
843633741968932870,0,0,"Sick of the games,","2017-03-20 01:22:12"
843453812950077444,0,0,"https://t.co/E9ZrxalIbK","2017-03-19 13:27:14"
843450727431372800,0,0,"Is it bad to not have any contact with someone in months and still think about them","2017-03-19 13:14:58"
843449995206561793,0,0,"I wake up the earliest the days I drink","2017-03-19 13:12:04"
843447554067062786,3,1,"I swear I could lay in bed with my dog all day","2017-03-19 13:02:22"
843440150650802176,0,0,"I'm accept my fate","2017-03-19 12:32:56"
843210588750823424,0,0,"I swear I would do anything I have one more day with my papaw,","2017-03-18 21:20:45"
843207905113526273,0,0,"Who's tryna hit the mall","2017-03-18 21:10:05"
843170871208542212,0,0,"@GoogleFacts lmao cute asf","2017-03-18 18:42:55"
843170440680034304,0,0,"@Jacob_Jacobsen_ i dont know about you but I work to live lol","2017-03-18 18:41:13"
843170227567386624,2,0,"Right or wrong? The people who are most beautiful on the outside are the ugliest on the inside","2017-03-18 18:40:22"
843169104278294529,1,0,"Fuck I just woke up","2017-03-18 18:35:54"
842919006210314240,0,0,"@itschipnasty lmao that's cake bro, I want to find a girl who hasnt been with half of Louisville and can actually hold a conversation","2017-03-18 02:02:06"
842918473454010368,0,0,"@itschipnasty lol dude it's unreal, and they're all the same","2017-03-18 01:59:59"
842908863233953792,0,0,"Try to smile to keep from crying","2017-03-18 01:21:48"
842906109535051778,2,0,"She say I'm a dog but it takes one to know one","2017-03-18 01:10:51"
842897698537783296,1,0,"Girls these days need Jesus I swear🙏🏻","2017-03-18 00:37:26"
842897626043469829,0,0,"Thots thots and more thots","2017-03-18 00:37:08"
842797922525896705,0,0,"@sarahjeanbabee don't tell me what to do lol","2017-03-17 18:00:57"
842790497756336142,1,0,"Anybody want to go see Logan?","2017-03-17 17:31:27"
842649466696011777,0,0,"My new header😂😂😂","2017-03-17 08:11:03"
842648494477398016,0,0,"I can still feel, the pain; the only thing that's real.","2017-03-17 08:07:11"
842448990562091008,0,0,"Im not hungover it's true, but I'm still not over you 🎶🎶🎶🎶","2017-03-16 18:54:25"
842445898777038849,1,0,"Might be about time for me to disappear again","2017-03-16 18:42:08"
842445453601968133,1,0,"Whiskey bent and Hell bound 🍻🍻🍻🍻🍻","2017-03-16 18:40:22"
842377346095161344,1,0,"Now off the La grange to do some bullshit","2017-03-16 14:09:44"
842376174051442688,0,0,"Man I love my truck","2017-03-16 14:05:05"
842372044826259456,0,0,"Riding around killing time getting paid","2017-03-16 13:48:40"
842219815523778561,0,0,"Money is the motivation","2017-03-16 03:43:46"
842211263224680448,0,0,"Man I hope this deal goes through 🙏🏻🙏🏻🙏🏻🤑🤑🤑🤑🤑🤑🤑","2017-03-16 03:09:47"
842144736093827073,1,0,"@sarahjeanbabee https://t.co/PNCrvVz5Cd","2017-03-15 22:45:26"
