"id","favorite count","retweet count","text","created at"
897674079842553857,2,1,"might just get rid of my phone","2017-08-16 04:19:13"
897468230687531008,2,0,"@jessica__alonzo Yeeezzyyy ssszzzznnnn","2017-08-15 14:41:15"
897236596801589248,12,7,"I'm a sucker for a buy one get one free deal","2017-08-14 23:20:49"
896922489455955969,0,0,"I haven't actually watched tv in a long time wow","2017-08-14 02:32:40"
896916094937706496,15,0,"Stay strapped😼💯🔫😤 https://t.co/pfAXHHKUBV","2017-08-14 02:07:15"
896723212138143744,4,1,"Listening to 3oh!3 makes me feel like I'm in 2009 again","2017-08-13 13:20:48"
896554845712392198,2,0,"What could have been listening to https://t.co/vNKXxVfu6N","2017-08-13 02:11:47"
896542488835633153,5,0,"If you snap me a picture without a caption, you're getting punched by me","2017-08-13 01:22:40"
896536947254075392,1,0,"If you snap me a blank picture imma slap tf out of you","2017-08-13 01:00:39"
896271053684707328,2,0,"HAPPY BIRTHDAY RHIANNON ❤️🎁🎈 @rhiiii22","2017-08-12 07:24:05"
896180549882138624,2,1,"LESSSKEEETIIITTTT","2017-08-12 01:24:27"
895459902008819712,0,0,"Wow https://t.co/M6NBNsFBC7","2017-08-10 01:40:52"
895458675900334083,0,1,"I swear I'm out of my mind https://t.co/tuC3hxd8rL","2017-08-10 01:35:59"
895428334649319424,1,0,"Me neither","2017-08-09 23:35:25"
895098004914544640,2,2,"It's just that .... ugh nvm :/","2017-08-09 01:42:49"
894756118337011712,3,0,"I'd sell my soul to see kanye preform","2017-08-08 03:04:17"
894684638467117057,9,2,"Mood: when Bell yells ""YO"" with anger","2017-08-07 22:20:14"
894435494536384513,6,1,"I just want to learn how to do a handstand and flip and do parkour shit","2017-08-07 05:50:14"
894088375430520832,2,1,"""You always look like you haven't slept in years""","2017-08-06 06:50:54"
894083823289368576,5,0,"https://t.co/zNhOiV2JaG","2017-08-06 06:32:49"
893723601718915073,1,0,"https://t.co/H35Tusq8Iq","2017-08-05 06:41:25"
893280093669294080,0,1,"I THINK I'm a decent person","2017-08-04 01:19:05"
892771863646150657,3,0,"I'm sad that Neymar and Messi won't play together anymore :'(","2017-08-02 15:39:33"
892600776467431425,2,1,"I just wonder sometimes","2017-08-02 04:19:43"
891839341361758209,3,0,"Can't wait for my recruiter to call me","2017-07-31 01:54:03"
891545451505360896,1,0,"@ClaytonGeiling Do you mean use it or abuse it?😂 bc there might be a different","2017-07-30 06:26:14"
891149898447507456,2,0,"I was crying in the club when this song came on https://t.co/lYH0glsPbX","2017-07-29 04:14:27"
891143508362502145,1,0,"@thegreatkhalid crazy concert 👌","2017-07-29 03:49:03"
890781735813877760,3,0,"But am I cute?","2017-07-28 03:51:30"
890458817468801024,1,1,"@traptitz I do mind actually","2017-07-27 06:28:20"
890050512770539523,1,0,"@whitneyxlashawn A classic meme😂","2017-07-26 03:25:53"
889718667876986880,2,1,"I wish I had all the time in the world","2017-07-25 05:27:15"
889176969052659717,0,0,"https://t.co/ovP4MBQLSS","2017-07-23 17:34:44"
889165219083243521,7,3,"I wanna know what love is","2017-07-23 16:48:02"
888781146741514240,0,0,"can I get a kiss? and can you make it last forever? I said I'm bout to go to war and I don't know if imma see you again","2017-07-22 15:21:52"
888549385201745921,1,1,"@traptitz If you're 10 then I'm 10","2017-07-22 00:00:56"
888546159433834501,1,1,"@traptitz Who are you again?","2017-07-21 23:48:07"
888540733229199360,1,1,"I wish I was the kind of person that could have anyone they wanted","2017-07-21 23:26:33"
888289762401861632,3,1,"That's the truth and I don't care https://t.co/zmILq5H7uc","2017-07-21 06:49:17"
888054704537731072,0,2,"I need someone who will motivate me to get out of bed every morning","2017-07-20 15:15:15"
887577021622169600,5,2,"https://t.co/ynwKBbBTrs","2017-07-19 07:37:06"
887396080056492033,2,0,"You were my last hope and you didn't even know it","2017-07-18 19:38:07"
887141905376714752,1,0,":)❤️ https://t.co/OXvhHPZFFa","2017-07-18 02:48:07"
886814770174865409,7,5,"What's so special about me anyways","2017-07-17 05:08:12"
886492992638418948,0,3,"Goodnight to nobody","2017-07-16 07:49:34"
886099346659434496,1,0,"https://t.co/Bky5B6Gd8V","2017-07-15 05:45:21"
885677986149785601,13,3,"Did y'all know that I hate everyone","2017-07-14 01:51:01"
885370401836208129,1,0,"@MadelineCDoyle1 Old meme","2017-07-13 05:28:47"
885255210247041024,3,0,"I want to hear from you","2017-07-12 21:51:04"
884665939857420288,1,0,"Make me take vitamins bitch","2017-07-11 06:49:31"
884308366515941376,1,0,"Who has the Alvin elementary school year book from 4th grade? Asking for a friend","2017-07-10 07:08:38"
883919358522740736,2,0,"Baby you gonna calm me down when I'm pissed off","2017-07-09 05:22:52"
883570223609241600,1,1,"@Mex1cantonio Futurama is a gewd anime","2017-07-08 06:15:31"
883569087846240256,0,0,"Didn't think 21 would ever make me get in my feels but shit, this song is gewd https://t.co/6YDE6FNyu1","2017-07-08 06:11:01"
882749370692710400,1,0,"@wild_leo0 That is a sin","2017-07-05 23:53:45"
882309758170144768,2,0,"@wild_leo0 and her scars or how she got them","2017-07-04 18:46:53"
882132228712615936,0,0,"In a familiar place again but as a different and better person with a future to look forward to https://t.co/4DIDrrcJKW","2017-07-04 07:01:27"
882118165479731202,0,0,"Do y'all think of me when you hear Iris by the goo goo dolls?","2017-07-04 06:05:34"
881956850454982656,3,0,"Everything makes me mad","2017-07-03 19:24:33"
881636504614973442,2,0,"Annoyed","2017-07-02 22:11:37"
881410024114966528,0,0,"If someone could punch me so hard that I can't remember anything at all, that would be great","2017-07-02 07:11:40"
881385742773219330,0,0,"You forgot about me or what","2017-07-02 05:35:11"
881369869031272448,0,0,"Haha me :) https://t.co/yTHEGuYwVE","2017-07-02 04:32:06"
881313790150799360,2,0,"Social media annoys me, idk why I have it","2017-07-02 00:49:16"
881034623823773696,2,0,"When I'm gone, you'll regret it","2017-07-01 06:19:57"
880684449113018369,2,1,"Talk to me, tell me what's on your mind","2017-06-30 07:08:29"
880573973460901888,2,0,"Give me forever for a while","2017-06-29 23:49:30"
880282346855026693,1,0,"Ain't no looking back when I'm gone","2017-06-29 04:30:41"
879951364662726656,4,0,"Worn out","2017-06-28 06:35:28"
879594035010260993,1,0,"Haven't seen that ray of sunshine this summer","2017-06-27 06:55:34"
879459460451840001,0,1,"Socks are my favorite thing in the world","2017-06-26 22:00:49"
879416299776028672,2,0,"@jessica__alonzo @Brittany__98 I'm down😂","2017-06-26 19:09:19"
879235649974435840,5,0,"I'd give anything to relive those memories","2017-06-26 07:11:29"
879233575119454210,0,0,"I'm not tripping, it's more of a little stumble","2017-06-26 07:03:14"
879230927175659520,2,0,"https://t.co/gzOMZhLSg6","2017-06-26 06:52:43"
879202054392229890,2,0,"https://t.co/KNa3qMGzfQ","2017-06-26 04:57:59"
879200756297060356,1,0,"@korey__s :')❤️","2017-06-26 04:52:49"
879197577727660033,2,0,"I love working with my best friend @korey__s","2017-06-26 04:40:11"
878852125740208128,3,0,"https://t.co/PFrrFqHcgL","2017-06-25 05:47:29"
878851598079987713,0,0,"https://t.co/bxJfcBzFjP","2017-06-25 05:45:23"
878850115351478272,1,1,"https://t.co/zeh9MpeoSJ","2017-06-25 05:39:30"
878848821643685888,0,0,"https://t.co/ilQdztV2ac","2017-06-25 05:34:21"
878848487005224960,0,0,"https://t.co/YNGc29ClzB","2017-06-25 05:33:02"
868781845030285312,0,0,"one person followed me and one person unfollowed me // automatically checked by https://t.co/eLaZKxt6ph","2017-05-28 10:51:47"
868655219009368064,2,0,"why did i wake up","2017-05-28 02:28:37"
868173092555718656,2,1,"@Cale2Reyes @Brittany__98 let me change that real quick","2017-05-26 18:32:49"
868127764368547844,0,0,"i love this show https://t.co/H0X9yKmJ6H","2017-05-26 15:32:42"
868113795574624256,0,0,"being scared of something is my speciality","2017-05-26 14:37:12"
867976462258782210,4,4,"im ready to say that i'm a senior","2017-05-26 05:31:29"
867856556435668992,1,1,"@Cale2Reyes leave it up to me to tweet shit like that😂","2017-05-25 21:35:01"
867850606207283201,6,0,"i fell asleep playing with my own hair... sad asf","2017-05-25 21:11:23"
867737456266883073,5,1,"I WANT TO SEE PARAMORE IN CONCERT DAMNIT","2017-05-25 13:41:46"
867728002225975297,3,0,"i don't want to be home alone today","2017-05-25 13:04:11"
867724703154274304,0,0,"6 people followed me and 3 people unfollowed me // automatically checked by https://t.co/eLaZKxt6ph","2017-05-25 12:51:05"
866816842727391232,0,1,"k","2017-05-23 00:43:34"
866789675943567362,0,0,"&gt;=(","2017-05-22 22:55:37"
866756784224161792,0,2,"i want it to be my birthday so i can feel special for a whole day","2017-05-22 20:44:55"
866664743590821888,0,0,"6 people followed me and 2 people unfollowed me // automatically checked by https://t.co/eLaZKxt6ph","2017-05-22 14:39:11"
866433618478084096,0,0,"i could sleep all day but then i wouldn't be able to at night so let's not","2017-05-21 23:20:46"
866306248802742272,0,0,"@Cale2Reyes YESSSSSS","2017-05-21 14:54:39"
866157642900701185,1,0,"mariposa traicionera","2017-05-21 05:04:09"
866151894758154240,14,6,"am i the only one who rearranges their whole room late at night when their really really extremely bored","2017-05-21 04:41:18"
865764327290269696,5,0,"okay this is literally me with meg https://t.co/gqrVYpQEm1","2017-05-20 03:01:15"
865738099183292417,0,1,"i need a new soccer ball :(","2017-05-20 01:17:02"
865641097027964933,0,0,"6 people followed me and 2 people unfollowed me // automatically checked by https://t.co/eLaZKxKHgP","2017-05-19 18:51:35"
865573910233980932,3,1,"i like all the 1d members better as solo artists","2017-05-19 14:24:36"
865407357169188864,2,3,"boyyyyy https://t.co/HcXkyhwzk6","2017-05-19 03:22:47"
865379666135318528,1,1,"@MadelineCDoyle1 is a gewd friend :')","2017-05-19 01:32:45"
865376229813350400,17,25,"my mom might make me mad sometimes but no one else cares for me as much as she does","2017-05-19 01:19:05"
865274134829441024,0,0,"im so sore, tired and sleepy:(","2017-05-18 18:33:24"
865227042572439554,0,0,"im tired of getting treated like shit","2017-05-18 15:26:16"
865223863482949632,7,1,"why is the textbook lady always so bitter","2017-05-18 15:13:38"
865018394017492997,0,0,"im doing that annoying thing again","2017-05-18 01:37:11"
864965872158486528,1,1,"@Cale2Reyes i did thx😂","2017-05-17 22:08:28"
864946595300859905,1,2,"today just had to be a bad day no matter how much i tried to turn it around","2017-05-17 20:51:52"
864944298197954561,0,0,":(","2017-05-17 20:42:45"
