"id","favorite count","retweet count","text","created at"
887059280762986499,0,0,"When things go wrong, don't go with them...","2017-07-17 21:19:47"
886654090897502213,0,0,"How cute is the snow ❄️","2017-07-16 18:29:43"
886268906347876356,0,0,"I'm so done of prettend, so tired.. cannot hold it anymore","2017-07-15 16:59:08"
885810530505682944,0,0,"I hope someday, this pain will work for something.","2017-07-14 10:37:42"
885810109099716609,1,0,"Every day is a nightmare...","2017-07-14 10:36:02"
885671720702672896,1,0,"I love being a weird emo in this times","2017-07-14 01:26:07"
885650565878906880,1,0,"I'm feeling so bad today, need things some stuff","2017-07-14 00:02:04"
885526226965843968,0,0,"I didn't want to wake up. I was having a much better time asleep. And that's really sad...","2017-07-13 15:47:59"
885386288756600833,0,0,"I’m afraid of being forgotten","2017-07-13 06:31:55"
885377598494298114,0,0,"Nothings worse, is to see them two together, knowing I will never have him again.","2017-07-13 05:57:23"
885292354772643840,1,0,"You cannot protect yourself from sadness without protecting yourself from happiness","2017-07-13 00:18:39"
885291252559826944,0,0,"It's always the same thing...","2017-07-13 00:14:17"
885280240628621312,0,0,"Hi to every person sitting and reading this tweets","2017-07-12 23:30:31"
884997851092328449,0,0,"Chie Chie, to my chinese friends","2017-07-12 04:48:24"
884995927454490624,0,0,"I could really do without it.","2017-07-12 04:40:46"
884994684317310977,0,0,"Dude, what's up with your breath?","2017-07-12 04:35:49"
884887305261113344,1,0,"Listen your heart...","2017-07-11 21:29:08"
884886386511409153,0,0,"why kids always say the truth?
we born know everyting?, maybe xd","2017-07-11 21:25:29"
884884312604254208,0,0,"Lets sing,
let me hear that chorus","2017-07-11 21:17:15"
884882940601274369,0,0,"Proof to me you are right!","2017-07-11 21:11:48"
884615405356154881,0,0,"What you doing to me? Cmom be smart!","2017-07-11 03:28:42"
884489135515459584,1,0,"The end of a cycle is the beginning of another 😁","2017-07-10 19:06:57"
884329926220009472,0,0,"Talk later people!","2017-07-10 08:34:19"
884320841147838464,0,0,"Sometimes I like to stand in the rain, because no one can tell that I’m crying","2017-07-10 07:58:13"
884302764322508800,0,0,"I am surrounded by so many people but out of all those people no one knows the real me","2017-07-10 06:46:23"
884272954569355268,0,0,"Good night !!","2017-07-10 04:47:56"
884257903112331265,1,0,"Tears are words the heart can’t express.","2017-07-10 03:48:07"
884256867576414208,0,0,"Happy to tweet today!","2017-07-10 03:44:00"
884248472588869633,0,0,"Happy new year! oh wait isnt it?
hahaha kill me xd","2017-07-10 03:10:39"
884223897276743680,0,0,"Love volcanos!","2017-07-10 01:32:59"
884217885652111361,0,0,"i havent the answer to everything!... daammmm","2017-07-10 01:09:06"
884205571020345345,1,0,"cool dance! yey..
that passion https://t.co/2Gx9hUqWTh","2017-07-10 00:20:10"
884205111660204033,0,0,"yaaay lml","2017-07-10 00:18:21"
884204737108865024,0,0,"Supidividividu asd","2017-07-10 00:16:51"
883402502116331522,1,0,"So angry with myself","2017-07-07 19:09:03"
883396536742289410,0,0,"Lovely day!, little freezing buts ok!","2017-07-07 18:45:21"
883385285710680064,0,0,"Chananaaaa chananananaaa 🎵🎶","2017-07-07 18:00:39"
883383288676700160,0,0,"It's a new day! New oportunities...","2017-07-07 17:52:43"
883194030565335040,0,0,"Being Ignored.
Worst feeling ever,
Good night!","2017-07-07 05:20:40"
883193445963247617,0,0,"I’m not okay, I’m just good at pretending I am.
:) :) :)","2017-07-07 05:18:21"
883193111375228928,1,0,"I smile not for that I am happy, but sometimes I smile to hide my sadness.","2017-07-07 05:17:01"
883192078750158848,0,0,"Oh happy day ;)
oh happyyyy day :c
Oh happy daaaay :)
oh happy daay :c 🎶🎶","2017-07-07 05:12:55"
883189380617207808,0,0,"Just saw pirates of the caribbean five!, amazing.
[Spoiler]  Barbosa :'c","2017-07-07 05:02:11"
883188969516740608,0,0,"love the good and the evil :z","2017-07-07 05:00:33"
883187586742857728,0,0,":c","2017-07-07 04:55:04"
883184864576622592,1,0,"Hope one day someone see me like my dogs see me","2017-07-07 04:44:15"
883039356533035008,1,0,"Being happy doesn't mean you're perfect. It just means you've decided to look beyond the imperfections , good day to everyone!","2017-07-06 19:06:03"
882675564074721281,0,0,"Have a nice day !","2017-07-05 19:00:28"
882672478937645057,2,0,"Happy to talk everyone!, just text me :)","2017-07-05 18:48:12"
882300317676838914,1,1,"😔 https://t.co/OH8Xi0JIRl","2017-07-04 18:09:22"
882293033915625472,0,0,"Great! My school is in strike, now i will can approved my course","2017-07-04 17:40:26"
882292369302990848,0,0,"Lonely I'm so lonely
I have nobody
To call my own
I'm so lonely, I'm Mr. Lonely
I have nobody
To call my own
I'm so lonely 🎶","2017-07-04 17:37:47"
882292068382625792,0,0,"Im hope this will end soon #lifesuck","2017-07-04 17:36:35"
882290900071833601,0,0,"I'm so sad today, nobody understand me 😢","2017-07-04 17:31:57"
