"id","favorite count","retweet count","text","created at"
897635572394725380,1,0,"#UnderAppreciated","2017-08-16 01:46:12"
897152593587253249,1,0,"Being cuddled up with my niece while she sleeps is giving me baby fever.😍😰👼","2017-08-14 17:47:01"
896789242248081408,0,0,"@91_ryan Normally I go to Charlottesville to spend the evening every Sunday, but not this weekend by chance and fortune.","2017-08-13 17:43:11"
896784189860786176,4,0,"Watched the sunrise today and saw at least 45+ police cards headed towards #Charlottesville. Hope everyone stays safe.😔 #HateCantStand","2017-08-13 17:23:06"
896117983696699392,1,0,"@djhekyeh Damn really? I'll be there then! I love Rock the Ravine.","2017-08-11 21:15:51"
895781282013224960,2,0,"#ColonelUp😏 https://t.co/WwerXXm4bq","2017-08-10 22:57:55"
895751106705453056,1,0,"Some hyped up Kentucky grandma was taking pictures of my EKU decal on my car, and it was honestly adorable to see.","2017-08-10 20:58:00"
895720860664909824,2,0,"Hair cut was successful.😋😘😍 https://t.co/RL18Q1Ttog","2017-08-10 18:57:49"
895500517346074624,3,0,"Damn, thanks for the follow.😘😏 @wshhplugg","2017-08-10 04:22:15"
895496232138940417,0,0,"@RealSchlemShady I never liked it till this summer!","2017-08-10 04:05:13"
895495934121050112,1,0,"@RealSchlemShady Haha I think I should. I might keep tequila in my diet but otherwise idk","2017-08-10 04:04:02"
895484264053133313,0,0,"When a potential love interest tells me they're a Pisces. https://t.co/LogIZFqwgR","2017-08-10 03:17:40"
895483123340906498,1,0,"I should stop drinking tbh.","2017-08-10 03:13:08"
895475660734550018,0,0,"@nowthisnews That was beautiful. Every other politician needs to learn something from this guy.","2017-08-10 02:43:29"
895430987131232256,0,0,"Separation of church and state isn't a thing anymore because of Trump. SOoOo. Hahah keep it hanging up.😊 https://t.co/MBkplF63hW","2017-08-09 23:45:58"
895308182419099648,1,0,"How short my hair will be tomorrow! https://t.co/iOj2ma9TX8","2017-08-09 15:37:59"
895301926946045952,1,0,"I had a dream last night that I missed my first class. So it begins.😥","2017-08-09 15:13:07"
894952834193641473,5,0,"Yet and again and always I'm the only single person in my family.🤔","2017-08-08 16:05:57"
894586509323644928,3,0,"Someone go see Post Malone with me in Nashville","2017-08-07 15:50:19"
894233894790287362,2,1,"I can't stand when people try to tell me things about myself. Like glad you think you're an expert but back up sweetie, you aint.","2017-08-06 16:29:09"
894233691463053312,0,1,"Country music sucking me into my feels today.","2017-08-06 16:28:20"
893613019762216960,1,0,"Baby I was born to rock and now I gotta roll.","2017-08-04 23:22:01"
893536165588082688,5,0,"Now that I'm getting packed for college and my study abroad application is complete, I'm getting pretty excited for school😍","2017-08-04 18:16:37"
893504819507417088,0,0,"Happy birthday Mr.President.😍@BarackObama","2017-08-04 16:12:04"
893284848776790018,0,0,"When it comes to Trump supporters half of me needs to talk to them so they realize his wrongs, the other half doesn't want to even try.","2017-08-04 01:37:59"
892838602857697282,0,0,"I would have had zero issues obtaining my package if it was delivered to my front door instead of given to them, bu… https://t.co/MXmGPjaGYX","2017-08-02 20:04:45"
892835265840128001,0,0,"@FedExHelp No apparently they already delivered it to my neighbor. The door tag says ""packages left at *my neighbor… https://t.co/oIECE7Lxlt","2017-08-02 19:51:30"
892833066741370880,0,1,"Wtf?? @FedEx let my neighbor sign for my package and it's at their house now? Like what if I had beef with my neighbors??","2017-08-02 19:42:45"
892765720630710272,0,0,"I've concluded I'm still single because I'm waiting for my MLB player to swoop in and marry me.😂😂","2017-08-02 15:15:09"
892748951279087617,4,0,"I miss the classiness of the Barack family so much.😪","2017-08-02 14:08:31"
892748390534086656,1,0,"@RealSchlemShady But it's so cute. And okay, I'll probably keep the blonde if I cut my hair though https://t.co/Kgf4uHATqN","2017-08-02 14:06:17"
892568707251273731,0,0,"Why is this page so me?😂 @comicsfeel https://t.co/ZQBdLqlyoo","2017-08-02 02:12:17"
892542088998473729,1,0,"Yep, I'm cutting my hair before I head back to  college.😎 I'm also dying it darker blonde.😏","2017-08-02 00:26:31"
892531139423997952,2,0,"Someone make me these 😍 https://t.co/vPsaXMv7Ad","2017-08-01 23:43:00"
892530036573691905,0,0,"What a time to be alive https://t.co/WOCSLme0IW","2017-08-01 23:38:37"
892393482500939777,2,0,"I just had an ex fling follow me on Instagram, and I honestly I've never heard such a devious cackle leave my mouth before. #Rich","2017-08-01 14:36:00"
892374859384336385,2,0,"It's August 1st. I move back to Richmond on the 16th. Where did the time go?","2017-08-01 13:22:00"
892195707007979522,2,0,"Like ""he hugged me in public"", that's a goal because people keep everyone hidden because everyone's got side buffets.","2017-08-01 01:30:07"
892195487113203712,3,0,"when people call out couples goals like ""really this is a goal"" I scream. Simple things are goals now, no one treats each other well anymore","2017-08-01 01:29:14"
891839925146058752,2,0,"I need to date someone who's going to take me out dancing.","2017-07-31 01:56:22"
890921492216766464,1,0,"I really hate how jealous I get of people in relationahips.😣","2017-07-28 13:06:50"
890328633084186625,3,0,"#ImpeachTrump","2017-07-26 21:51:02"
890327703605448704,1,0,"Preach. What is wrong with our government and our society to where this is even a problem occuring. https://t.co/M5XicfCM0Y","2017-07-26 21:47:20"
890068758605307906,0,0,"This was perfect https://t.co/jD8oRZSdZn","2017-07-26 04:38:23"
889908431553007616,1,0,"This made me think of you @ohiocountryy !!😙😙😂 https://t.co/w4uXb1aCV0","2017-07-25 18:01:18"
888714085726113792,6,0,"Everyone's acts like they're so excited to be pregnant unexpectedly this young. I'm not buying it one bit.😂😜😬","2017-07-22 10:55:24"
888209907924840449,3,0,"#NewProfilePic https://t.co/rFL1WUUMSS","2017-07-21 01:31:58"
888077925098156032,1,0,"When I see people STILL supporting Trump I literally feel like my head spins.🤤🤤🤤🤤","2017-07-20 16:47:31"
887695140386729986,0,0,"I cry https://t.co/qMCD7kwfYz","2017-07-19 15:26:28"
886974944902619137,0,0,"I cannot tell y'all how excited I am for this movie https://t.co/lP7kuKvCq9","2017-07-17 15:44:40"
886683831088148480,3,0,"My stepdad comes back from the store and offers me Doritos, Reeses ice cream, donuts and soda. I just smiled behind… https://t.co/3vsEEaxs0D","2017-07-16 20:27:53"
886306503170371584,5,0,"I just cannot get down with this open relationship dating trend that's happening. Like I don't want you if you have or want someone else.","2017-07-15 19:28:31"
886249669013254149,3,0,"After almost 7 years I'm getting a new Snapchat. It's about time I cut most of those people off.","2017-07-15 15:42:41"
885819057508888576,1,0,"The moon looked like this the past few nights at the beach😍😍😍 https://t.co/93PHLfDw3u","2017-07-14 11:11:35"
884709087551909888,4,0,"Crazy how the world changes.","2017-07-11 09:40:58"
883046492369551360,1,0,"Love thiss https://t.co/QuQhQebIRf","2017-07-06 19:34:24"
882280176180228096,1,0,"What even is freedom y'all?","2017-07-04 16:49:20"
881874899622666240,0,0,"I've gotta stop myself from going on ""this is what's wrong with the world rants"" at least 3 times a day.","2017-07-03 13:58:55"
881872934423474176,2,0,"Truth. I fall in and out of love so fast. #AriesProbs https://t.co/RESOwfT7Ky","2017-07-03 13:51:06"
881366313045819392,1,0,"If Snapchat really just updated and removed the front facing camera flash imma scream. #wtf","2017-07-02 04:17:58"
881260880025014272,1,0,"Got pineapple sage, orange mint, and lavender plants today! #HappyGirl","2017-07-01 21:19:01"
880794909204197376,1,0,"@RealSchlemShady I feel better this morning!","2017-06-30 14:27:25"
880648456070729729,0,0,"I just wanna stop throwing up.😪😪😪","2017-06-30 04:45:28"
880436363841155072,3,0,"No body breaks my heart harder and more often than I do.","2017-06-29 14:42:41"
880215512017457152,1,0,"@PeaceLoveHerbs I need this man in my life haha😂😍","2017-06-29 00:05:06"
880166091980513281,1,0,"#Lips #Trippy #BlueEyes #Video #Snapchat #Makeup #RedLips https://t.co/LIbTxlZSm9","2017-06-28 20:48:43"
879344698212700163,1,0,"@cjoseph_25 Damn that's a fierce glow up. Looking great hun.😍😍 https://t.co/al1IRtPwMj","2017-06-26 14:24:48"
879057582937296897,0,0,"She don't know another way to break free from what's been broken, too many cowboys roll away. So forgive her if she's distant.","2017-06-25 19:23:54"
879057285741514752,0,0,"She's no stranger to the leaving. She's heard all the best goodbyes.","2017-06-25 19:22:43"
879056401141821442,2,0,"She don't love you, she's just lonely.","2017-06-25 19:19:12"
879030054247964673,0,0,"Kinda day where I'm listening to blues music. 😔","2017-06-25 17:34:31"
