"id","favorite count","retweet count","text","created at"
897948311491051521,0,0,"@carlyxxlove_ We're gonna come see you all the time","2017-08-16 22:28:55"
897947957303136256,1,0,"@carlyxxlove_ Definitely gonna have another one before you leave I love you b","2017-08-16 22:27:30"
897894076648873984,4,0,"I'm already drinking lol","2017-08-16 18:53:24"
897741840602066944,24,15,"I just wanna give someone the world and for her not to walk out on me when things get hard.","2017-08-16 08:48:28"
897724399876546560,10,2,"Hanging out windows and letting all the negativity go is literally the best feeling","2017-08-16 07:39:10"
897690835608850433,12,5,"You gotta love like there's no such thing as a broken heart🎶","2017-08-16 05:25:48"
897296785340862464,1,0,"This is so me😩😩 https://t.co/ULHRgdBnzz","2017-08-15 03:19:59"
896911109441044480,77,7,"Let me fuck this up😉 #LGBTtrain https://t.co/t0b8oOcQxQ","2017-08-14 01:47:26"
896873603815231490,15,0,"I really wish that my ex would give my clothes back🤷🏼‍♀️ but she's a immature 17 year old🙄","2017-08-13 23:18:24"
896560499596427268,2,1,"Where she at though🤷🏼‍♀️ https://t.co/zGYCcKMUPj","2017-08-13 02:34:15"
896529404289060864,23,0,"What can I say,I'm just really gay🤷🏼‍♀️ https://t.co/lemARSRfbA","2017-08-13 00:30:41"
896113494172487682,32,0,"Let me just bless y'all😉 https://t.co/5uB8WFe82r","2017-08-11 20:58:00"
895892306716377088,27,4,"Handle with care🤷🏼‍♀️ https://t.co/6o2gUgCVGc","2017-08-11 06:19:05"
895817857929543680,3,0,"I'm wearing a dress tomorrow first time in a min lol","2017-08-11 01:23:15"
895718367801245696,33,1,"You're drippin' like a saturated sunrise🥀 https://t.co/srYhWyQptN","2017-08-10 18:47:55"
895554849827430400,6,1,"On god this is me https://t.co/9leusakkqK","2017-08-10 07:58:09"
895033714673156096,21,0,"Can it be Thursday🙄🙄 https://t.co/SEOtCaQNWS","2017-08-08 21:27:21"
894821768602537984,29,2,"I don't dance now I make money move🤑 https://t.co/Y1XvRdt2As","2017-08-08 07:25:09"
894305048225865728,45,2,"Sundaze🌞 https://t.co/V4jIHU8Vsq","2017-08-06 21:11:53"
894002015499694080,34,1,"I want it so Ima go get it😈 https://t.co/vTQKvH6gZw","2017-08-06 01:07:44"
893733422421733376,30,2,"la vida es genial🌻 https://t.co/qbJTMzkdf8","2017-08-05 07:20:27"
893350332717301760,4,1,"Literally same lol https://t.co/mS7R2V7QPr","2017-08-04 05:58:11"
893208333787770882,92,6,"I might as well join in😝#TasteTheRainbow https://t.co/wcgL8TLmw2","2017-08-03 20:33:56"
893197379691843586,55,1,"Let me bless you🥀 https://t.co/7Rakbt2qYd","2017-08-03 19:50:24"
892496755421569025,2,0,"Work is gonna kill me today","2017-08-01 21:26:22"
892287633841422337,140,7,"Issa dog😘 https://t.co/Rfu43JsK5l","2017-08-01 07:35:24"
892113032805064704,28,0,"I'm a mess🤷🏼‍♀️ https://t.co/63Ypt47bPp","2017-07-31 20:01:36"
891917800499007488,1,0,"@j_rdanle It won't let me slide in your dm lol but hey😍","2017-07-31 07:05:49"
891917233244565505,2,1,"😍😍 https://t.co/RTBrtYlhbg","2017-07-31 07:03:34"
891910984788570117,2,0,"😍😍 https://t.co/6o1XYVqZiP","2017-07-31 06:38:44"
891909846357999616,43,1,"Let me be your addiction😏 https://t.co/EXQQl4IIqS","2017-07-31 06:34:12"
891903263716634624,1,0,"@D1kMtz Hell yes😘","2017-07-31 06:08:03"
891902283008679937,1,0,"@D1kMtz Me too boo","2017-07-31 06:04:09"
891900672551112704,4,2,"Something some ppl don't make🤷🏼‍♀️ https://t.co/e7miN8kgVw","2017-07-31 05:57:45"
891778795786653700,7,0,"😍😍 https://t.co/YHnTyP3Rfc","2017-07-30 21:53:28"
891551060904431616,25,0,"Last nights in Walmart bathroom🤷🏼‍♀️ https://t.co/I2qPgCDC9Q","2017-07-30 06:48:31"
891520307789524993,4,0,"Any volunteers 😩😂 https://t.co/z7VlEq1woZ","2017-07-30 04:46:19"
891495994663337984,1,0,"If I feel like something is up I walk away.","2017-07-30 03:09:42"
891393579666612229,6,6,"I want something Ik not everyone is getting at. I'm old fashioned I want to be the only bitch you talking too.","2017-07-29 20:22:45"
891392849127911425,27,3,"Now accepting gf applications😏 (must be loyal, don't lie, don't get my hopes up, and can keep a promise.)","2017-07-29 20:19:51"
891254060959109120,39,1,"I need me a lil' baby who gon' listen🤷🏼‍♀️ https://t.co/mF23MMNEGE","2017-07-29 11:08:21"
890101978281521154,13,0,"#11 &amp; 12🤷🏼‍♀️❤️ https://t.co/dokqQ3Wt3b","2017-07-26 06:50:23"
889977940921995271,29,0,"🥀 https://t.co/felpxyKfX7","2017-07-25 22:37:30"
889589461545357312,1,0,"@yesimthatgirl19 I love you fam lol","2017-07-24 20:53:50"
889576726740824066,29,2,"#NewProfilePic https://t.co/hsOQ6z4Ari","2017-07-24 20:03:13"
889561929991278592,10,0,"Love conquers🏳️‍🌈 https://t.co/T2VzJ6g5J4","2017-07-24 19:04:26"
889260876250873857,3,0,"Words of wisdom lol😝 https://t.co/hdjkccibWb","2017-07-23 23:08:09"
889141187004837892,2,7,"I deserve the world.","2017-07-23 15:12:33"
888923585380847618,2,1,"Holy shit😩😩 be mine? https://t.co/tWDuJFvAsw","2017-07-23 00:47:52"
888878226453516289,142,10,"Someone wife me up💍 #50ShadesOfGay https://t.co/WPuSGNBbY4","2017-07-22 21:47:38"
888860970675818498,2,0,"Love dosnt last a life time enjoy it while it last👌","2017-07-22 20:39:04"
887413474434961408,0,0,"The power went off at work🙄 always something😂","2017-07-18 20:47:14"
887400090662576130,22,0,"#NewProfilePic https://t.co/4X3O5aNtA5","2017-07-18 19:54:03"
886442182231683072,4,1,"I just want you to care💔","2017-07-16 04:27:40"
886071966247137280,4,0,"😝😝 https://t.co/9WUDj0P1vA","2017-07-15 03:56:33"
885290870450397185,0,0,"Ppl at my work are retarded🙄😡","2017-07-13 00:12:46"
884871614214660096,24,1,"#NewProfilePic https://t.co/U9TxE2jET0","2017-07-11 20:26:47"
884504828478726150,16,0,"Work work work🤑 peep my roommate😂 https://t.co/KZV0601fOw","2017-07-10 20:09:19"
883921004577402881,2,0,"Goals** https://t.co/b2lN06BvEq","2017-07-09 05:29:24"
883776588483047424,0,0,"I want one😩 https://t.co/un6hSx7xbf","2017-07-08 19:55:33"
883399336427528193,3,0,"#10❤️ https://t.co/LimxFyGt0l","2017-07-07 18:56:29"
883223797813456896,3,0,"Gettin ink therapy in the morning😍😭","2017-07-07 07:18:57"
883063956805492736,0,0,"They moved me to the green side at work now I don't get off work until 4am😭","2017-07-06 20:43:48"
882835989911175169,1,0,"@AngelMarieeM I love you gorgeous","2017-07-06 05:37:56"
882338708875333632,4,0,"My famous words every time lol😂 https://t.co/dUW04UKZgx","2017-07-04 20:41:55"
882094257594609664,1,0,"@AngelMarieeM https://t.co/Ov6TCxiRy9","2017-07-04 04:30:34"
881212349247627264,1,0,"I will miss you pops👼🏼","2017-07-01 18:06:10"
881052247165161472,1,3,"Never felt so alone in my life. I got too much on my mind😞","2017-07-01 07:29:59"
881014832530673664,3,2,"All I wanna do here lately is cry😞","2017-07-01 05:01:19"
880866593953259522,19,1,"Fuck where that ass at where the cash at🤑 https://t.co/FV6fAyOySv","2017-06-30 19:12:16"
880687741893267456,26,0,"#NewProfilePic https://t.co/w4qdAvoeY4","2017-06-30 07:21:34"
880088203000037380,1,1,"@AngelMarieeM 😍 https://t.co/59e3RVLvSq","2017-06-28 15:39:13"
879905698494238721,1,0,"@gaycamii @AngelMarieeM Ik my gf is hot. Can you get your disrespectful ass off my girls shit? Thanks appreciate it👍🏽","2017-06-28 03:34:01"
879898491778191360,1,1,"My god damn queen😍🤤 https://t.co/Sc4nW9acA9","2017-06-28 03:05:22"
879892745749397504,1,1,"@AngelMarieeM All yours baby💍","2017-06-28 02:42:32"
879869379940409345,26,1,"#NewProfilePic https://t.co/wQnIUymK8X","2017-06-28 01:09:42"
879838406871846912,8,3,"MY GIRLFRIEND IS LAVA DON'T  TOUCH HER!!","2017-06-27 23:06:37"
879836306590887936,1,0,"@AngelMarieeM 👀👀 https://t.co/vRCgYZkP0Q","2017-06-27 22:58:16"
879751108461301760,1,0,"@AngelMarieeM I hate you lol😂💀","2017-06-27 17:19:43"
879742436851036162,1,0,"@AngelMarieeM  ❤️💍 https://t.co/sUqmSukiwi","2017-06-27 16:45:16"
879731357446000640,2,0,"I'm just gonna go to sleep😞💔","2017-06-27 16:01:14"
879175023424139265,2,1,"Hell yess https://t.co/fos6JLeQvq","2017-06-26 03:10:34"
