"id","favorite count","retweet count","text","created at"
897915713570062336,0,0,"Not one bit. It's not wrong timing, it's just the wrong person https://t.co/Z7TWhC3KMo","2017-08-16 20:19:23"
897914476065902592,5,3,"If everyone would prepare for the return of Christ the way they are for this solar eclipse, the world would be such a better place.","2017-08-16 20:14:28"
897618645580480512,2,0,"That time you confused a lesson for a soulmate","2017-08-16 00:38:56"
896358084771287040,0,0,"It's so good to have someone that puts in 100% and nothing less every day","2017-08-12 13:09:55"
895830243121954818,0,1,"@gracie_herald Why am I crying in the club right now","2017-08-11 02:12:28"
895824123561099265,1,0,"Take it from a girl who's dated nothing but guys who've treated me bad, waiting for someone good will do much more… https://t.co/4aLdKgMFdU","2017-08-11 01:48:09"
895738929479127041,1,0,"Two of my teachers that I had last year that moved schools texted me today and told me to have a good first day and it made me cry","2017-08-10 20:09:37"
895334145756241920,2,0,"Laying in bed right now still wondering how I got someone like Blake, gosh I'm so lucky","2017-08-09 17:21:09"
895137816203677700,1,0,"@Sydlee99 It seems like the hardest thing to do at the time but the relief is worth it gf!!","2017-08-09 04:21:00"
895134355345092608,5,0,"Just wanted to show my boy off cause he's stunning :) My best friend forever and ever! https://t.co/r8zkNPOJTy","2017-08-09 04:07:15"
895020771474624512,1,0,"@taelor_paige Haven't seen mine in a week :(","2017-08-08 20:35:55"
894937291654868993,5,2,"I pray for my boy more times in a day than I do myself.","2017-08-08 15:04:12"
894600646971805696,6,1,"Second loves don't nearly get as much credit as they should","2017-08-07 16:46:29"
894033974665912321,4,0,"Wisconsin is absolutely beautiful and I wish I had Blake here with me to see it","2017-08-06 03:14:44"
893961534015238144,0,0,"I miss Blake so so much","2017-08-05 22:26:53"
893654896905379840,11,0,"Blake makes me smile so hard you guys and I'm so lucky that sometimes I cry cause his love for God is so strong https://t.co/tBmxRAcCSb","2017-08-05 02:08:25"
893336020615397378,0,1,"The fact that I get to go to sleep every night knowing I'm cared about is such a comforting feeling","2017-08-04 05:01:19"
893318836988063745,0,0,"@tdodd19 Yes","2017-08-04 03:53:02"
893255834075103232,0,0,"Can someone take me tubing? I'll provide the tube","2017-08-03 23:42:41"
892919994157289473,1,0,"I absolutely adore him and I couldn't even begin to say how lucky I am https://t.co/HI56bqnYey","2017-08-03 01:28:10"
892919865748721666,0,0,"I say my nightly prayer before I go to bed every day and I always thank God for Blake and it's just such a wonderful feeling","2017-08-03 01:27:40"
892519621961580545,1,0,"@scotty_0117 Hate you,  I'm broke","2017-08-01 22:57:14"
892241201663012864,10,2,"No one can take someone from you if they don't already want to leave","2017-08-01 04:30:54"
892225752388816897,0,0,"Amen, I'd like them if their relationship didn't seem like it is just to plaster all over social media https://t.co/0CvQKledzg","2017-08-01 03:29:30"
892079383921479680,1,0,"@olliecarson13 AMEN SISTER!!","2017-07-31 17:47:53"
892064911018340353,0,0,"If everything that I eat could stop going to my thighs that'd be great","2017-07-31 16:50:23"
892045312373780480,1,0,"@taelor_paige I just hollered","2017-07-31 15:32:30"
891891486840770561,1,0,"@jaycee_davis Brad Paisley &gt;&gt;&gt;","2017-07-31 05:21:15"
891843800238366720,0,0,"@scotty_0117 You ain't wrong 👏🏼","2017-07-31 02:11:46"
891836603336982528,1,0,"@lani_bailey06 And I am one😂","2017-07-31 01:43:10"
891836585976713216,0,0,"@lani_bailey06 Sometimes I can't stand them😂","2017-07-31 01:43:06"
891830026852806656,35,0,"I posted a pic of my dude on snap and a girl slides up and tells me how cute we are, then she goes and dms him??? Like what","2017-07-31 01:17:02"
891811942779813888,1,0,"Get to see my boy tm, I'm so excited","2017-07-31 00:05:10"
891683131425685504,1,1,"I could go for a bowl of fruity pebbles","2017-07-30 15:33:19"
891418867502915584,2,0,"Finding someone that does and wants to lead me closer to Christ is the best thing I've ever done https://t.co/jmKEjRitNr","2017-07-29 22:03:14"
891417817802838017,1,0,"@kenz908 You look good, miss you Kenny!!","2017-07-29 21:59:04"
891138935182831620,3,0,"Thank you God for this beautiful life.","2017-07-29 03:30:53"
891125474512035840,2,0,"If you have something good then don't go looking for something better","2017-07-29 02:37:24"
891113855484665857,2,1,"Don't know why you have to take a dig at someone's religion just to get a point across. How do these two concepts e… https://t.co/083Cpumklh","2017-07-29 01:51:13"
891112128983293952,5,1,"The Vampire Diaries changed me I will truly never be the same wow I am not ok","2017-07-29 01:44:22"
890995212255932416,1,0,"@tanaejab Let's go fr!!","2017-07-28 17:59:47"
890901483461509120,2,0,"If someone wants to take me to Tupelo, Birmingham or Huntsville and take me to MAC that'd be great https://t.co/Ykfus5BjKE","2017-07-28 11:47:20"
890569628031823872,1,0,"@b_chandler27 You can cheer me on at my soccer games against West Point","2017-07-27 13:48:39"
890408555672723456,0,0,"@rayaboze738 Same 😂","2017-07-27 03:08:37"
890319125612044288,10,5,"Amen https://t.co/gqzs66HQOO","2017-07-26 21:13:15"
890301823118082049,1,0,"@taelor_paige Amen","2017-07-26 20:04:30"
890292888273334273,5,0,"Just wish that my parents would look past my mistakes and stop bringing them up all the time","2017-07-26 19:29:00"
890031473759334400,1,0,"Having a strong support system and someone that believes in me in every aspect in life is so mentally and physicall… https://t.co/Mi7uhy4fpj","2017-07-26 02:10:13"
890031387297927168,3,0,"Just a thought. https://t.co/kXvTZdIqyp","2017-07-26 02:09:53"
889692942981582853,60,10,"My last boyfriend didn't ever post a photo of me and it's cause he cheated on me hahahahaha https://t.co/vTRL6kx2JF","2017-07-25 03:45:01"
888923368153600000,0,0,"@taelor_paige Talk to me","2017-07-23 00:47:01"
888892455961198594,20,10,"I want a Kendra Scott necklace","2017-07-22 22:44:10"
888611927148122112,1,0,"@themackenzie001 I feel","2017-07-22 04:09:27"
888546902500921348,23,25,"I wanna go out on a date","2017-07-21 23:51:04"
888539232892928001,1,0,"@taelor_paige @whorerunner Trying to figure out why you didn't post them all","2017-07-21 23:20:36"
887508397112872960,1,0,"@torilaineeh I tried for the last couple of weeks and I tried too hard, it won't get you anywhere gf I learned it the hard way.","2017-07-19 03:04:25"
887408407271047168,1,1,"@gracie_herald You are stunning I'm such a proud friend","2017-07-18 20:27:06"
887331074690469891,2,1,"I got into the forensic science and criminal investigation class at school and I'm so excited !!","2017-07-18 15:19:48"
886966947916730372,0,0,"@tyler_garrett25 You're 100% right! Absence makes the heart grow fonder.","2017-07-17 15:12:54"
886794670776487937,0,0,"@gracie_herald Always knew you were a real one","2017-07-17 03:48:20"
