"id","favorite count","retweet count","text","created at"
897927780922531841,1,0,"@VersatiIe Cause we're the same person","2017-08-16 21:07:20"
897912468374134784,5,1,"Holy shit it's already 4","2017-08-16 20:06:29"
897854930417004544,6,0,"I always hit ""see less often"" for the ""in case you missed it"" tabs but now that's all I see what did I do","2017-08-16 16:17:51"
897668021736681472,10,0,"*the boys are back in town playing in the background* https://t.co/zFDJQQk8Rv","2017-08-16 03:55:08"
897651111435411456,0,0,"@littIebat @Sorrowscopes  https://t.co/3e8pIycczP","2017-08-16 02:47:57"
897211122998276097,0,0,"@littIebat I tried","2017-08-14 21:39:35"
897201609826021376,5,0,"It's almost like twitter knows how much I want chipotle and is taunting me","2017-08-14 21:01:47"
897197700365643776,2,0,"I wish Blair Waldorf headbands were still in style","2017-08-14 20:46:15"
897147069512777728,3,0,"https://t.co/nkveVeEgqk","2017-08-14 17:25:04"
897136986896691201,0,0,"@alexa_mellott I want to know what's going on but my hair is in a towel and I'm in TMNT pajamas and I don't want to lose my memory","2017-08-14 16:45:00"
897136050786762753,11,0,"A strange man in a suit came pounding at our door and is now in kitchen quietly talking is this Men in Black","2017-08-14 16:41:17"
897123680492425217,13,0,"@sameauclaire There are none. Cake is strictly for women","2017-08-14 15:52:07"
896955570535706629,1,1,"I'm just sayin move with me https://t.co/dpRat0vgax","2017-08-14 04:44:07"
896843207979479041,1,0,"@jilliebean97 https://t.co/cBRWD7qmiC","2017-08-13 21:17:37"
896823941016293377,7,1,"Bitch what the fuck https://t.co/oFucYceYbR","2017-08-13 20:01:04"
896752273652666368,2,0,"@sameauclaire I need updated as much as possible","2017-08-13 15:16:17"
896505636556550145,7,0,"Talking shit on people and then asking them to hang out? Can't relate","2017-08-12 22:56:14"
896130295606398976,0,0,"@nclarkkk I am thanks","2017-08-11 22:04:46"
896120314521821184,7,0,"Having a good hair day when I'm doing absolutely nothing. Go figure","2017-08-11 21:25:06"
895739672223199234,5,0,"At this point I'm just gonna pack up my stuff and leave after work 🤷🏼‍♀️","2017-08-10 20:12:34"
895738759525933057,7,0,"There's just some people in this world that I want to grab by the shoulders and say ""you're a piece of shit.""","2017-08-10 20:08:56"
895486605854744577,1,1,"❤️❤️❤️❤️ https://t.co/s0gIM8AgYr","2017-08-10 03:26:58"
894976939114590208,21,5,"@AverageDyl Wow you're right omg if only someone had thought of this before","2017-08-08 17:41:44"
894967611028643841,5,2,"I literally can't believe what I'm reading lmao","2017-08-08 17:04:40"
894966509520506880,2,0,"@sameauclaire @kristinthered Well she better straighten up https://t.co/iYmPNtKxiI","2017-08-08 17:00:18"
