"id","favorite count","retweet count","text","created at"
897881647458209794,1,0,"@GrantCoss_19 Not me! I stop 100X for dance breaks","2017-08-16 18:04:01"
897625970286493696,1,0,"@dean_unglert looks bored af during this meeting. #BachelorInParadise","2017-08-16 01:08:03"
897495687671291908,1,0,"@RBlaedow @ShaniaTwain And until they invite Billy.","2017-08-15 16:30:21"
895824697220243456,0,0,"I never want raven or Paul to be HOH #BB19","2017-08-11 01:50:26"
895746158022316033,0,0,"Dorit Kemsley just liked my comment on Ig. Life made.","2017-08-10 20:38:20"
895730114532704256,1,0,"@autum_brocka Mine did 💕","2017-08-10 19:34:35"
895627715621072896,0,0,"Jesus I will cling to you 🎶","2017-08-10 12:47:42"
895436926920130564,0,0,"Paul is ruining this season #BB19","2017-08-10 00:09:34"
895108285010989056,0,0,"This kills me but I love it. ⬇️⬇️ https://t.co/tvufI3Nbk2","2017-08-09 02:23:40"
894750523550597123,0,0,"Rachel looks like she's going to fall asleep while listening to Bryan talk. #TheBachelorette #TheBachelerotteFinale","2017-08-08 02:42:03"
894742461838446593,40,7,"Whoa Rachel. Being a little rude there to Peter. #TheBachelorette #TheBacheloreteFinale https://t.co/D9RuVKNYqV","2017-08-08 02:10:01"
894739187806728192,5,0,"I cried my eyelashes off. Same girl, same. #TheBachelorette #TheBacheloreteFinale https://t.co/qK3DrPCQgX","2017-08-08 01:57:00"
894712942779916288,1,0,"I don't like this. Just play the show #TheBachelorette https://t.co/ruiUoCmLUx","2017-08-08 00:12:43"
894621446244323331,0,0,"I wanna go outside but I don't wanna put pants on so I'll just stay inside.","2017-08-07 18:09:08"
894352497778806784,1,0,"@autum_brocka Well I'll tell you what he's doing if you aren't gonna watch! He's going against Paul! 🙌🏻🙌🏻 I hate Jo… https://t.co/wvPLMvTDc2","2017-08-07 00:20:26"
894351149373022208,0,0,"@autum_brocka He actually isn't being bad! (YET) He apologized to Mark for being a Dbag and it was the most sincere… https://t.co/YSyAeV4E8r","2017-08-07 00:15:04"
894350735911071748,1,1,"Alex right now #BB19 https://t.co/K8nD6BSExz","2017-08-07 00:13:26"
894346719206551552,0,0,"@autum_brocka did you catch up on bb? T-3 minutes till it's on!","2017-08-06 23:57:28"
894327143278288896,0,0,"Oh my gawddddd. Where is the damn remote. #GoodStAnthony","2017-08-06 22:39:41"
893887947807895552,0,0,"Yoooo id like the video of tami and I dancing last night to whoever has it?","2017-08-05 17:34:29"
893576112516857856,0,0,"Jacob is either worlds best mumbler or I'm going def. #AnnoyingAF","2017-08-04 20:55:21"
893443205701697538,0,0,"We need 3 locals to fill the place of our Fargo peeps in our fantasy league. Let me know if you're in. 💰💰💰","2017-08-04 12:07:14"
893440228710592512,0,0,"I legit didn't know the cardinals were playing last night and I'm actually pretty pissed I missed the game. 😡","2017-08-04 11:55:24"
893283430808535041,0,0,"Yo I get you don't like everyone in the house but why you all being assholes and bullies #BB19","2017-08-04 01:32:20"
893279627740815360,0,0,"If Jessica hates Alex so much why is she wearing her headband #bb19","2017-08-04 01:17:14"
893275903244947457,0,0,"@autum_brocka I didn't like him at first but now I like Jody because I HATE PAUL AND ALL HIS MINIONS. And I hate raven.","2017-08-04 01:02:26"
