"id","favorite count","retweet count","text","created at"
897615589937729540,1,1,"they be so hot boyyyy https://t.co/OBoEf40ytx","2017-08-16 00:26:48"
897614670084927488,0,0,"after school naps do the trick every time.. 🤞🏾","2017-08-16 00:23:08"
897111849749151744,0,0,"7 people followed me and 3 people unfollowed me // automatically checked by https://t.co/LqcMfJJcZo","2017-08-14 15:05:07"
897044972918235136,1,5,"i haven't gotten any sleep..","2017-08-14 10:39:22"
896910439832985600,0,0,"i just couldn't wish death on my worst enemy..","2017-08-14 01:44:47"
896890357547323392,1,0,"i can get that and still get mad in .2 seconds https://t.co/YrQoChrEuh","2017-08-14 00:24:59"
896889558188433408,0,0,"phoenix by thugga hitting 🤧🔥","2017-08-14 00:21:48"
896888054425690112,0,0,"they say it cost to be the boss well you can say i paid the fee","2017-08-14 00:15:50"
896808527334969345,0,0,"practice \\ drake 🍶","2017-08-13 18:59:49"
896782072626458624,0,0,"@_Bankrolltank okay","2017-08-13 17:14:42"
896781315852390400,0,0,"tokyo grill so good","2017-08-13 17:11:41"
896779270919528450,0,0,"i got so many accounts muted 😭","2017-08-13 17:03:34"
896779028572581888,11,15,"God has really been by my side lately cause if it wasn't for him I would've been spazzed out.. 🤧","2017-08-13 17:02:36"
896400914235392001,0,0,"i love keeping to myself.. away from everything &amp; everybody..","2017-08-12 16:00:06"
896213596081991680,0,0,"Growing and engaging with the right tweeps - gained 36 new followers in the past week, courtesy https://t.co/9wkHvhLLzy","2017-08-12 03:35:46"
896030647906689026,0,0,"20 people followed me and 10 people unfollowed me // automatically checked by https://t.co/LqcMfJJcZo","2017-08-11 15:28:48"
895797751828578304,0,1,"i hate when people play victim in situations they caused.. 🤔","2017-08-11 00:03:21"
895797510773649408,0,0,"is yo motive really genuine?","2017-08-11 00:02:24"
895797325657985024,0,0,"&amp; i can't give my love to you if i do that'll be crazyyy.. 🤣","2017-08-11 00:01:40"
895797220389158912,0,0,"i can't fw whicha like i want to you got too much going on..","2017-08-11 00:01:15"
895769077746106368,0,3,"my love don't mean that much to ya. https://t.co/l3GDGWHqdQ","2017-08-10 22:09:25"
895405609092345856,0,0,"i just know i be hungry 😂 https://t.co/430UINCWv5","2017-08-09 22:05:07"
895404334447550464,1,1,"aw snap fari 🤧 https://t.co/MJZ28TdEZQ","2017-08-09 22:00:03"
895238849181437952,0,0,"tired of waking up early.. already","2017-08-09 11:02:29"
895124860342595584,0,0,"promise i won't cry over spilled milk.. 🤧","2017-08-09 03:29:31"
895124705962799104,1,0,"@ronekiaa okay 🤣","2017-08-09 03:28:55"
895120008048783360,0,0,"i just laughed so hard. https://t.co/PTGYN2PGxC","2017-08-09 03:10:15"
895119379985309700,3,0,"🗣.. lol https://t.co/t9ox7wXzDf","2017-08-09 03:07:45"
895118213012480001,1,1,"👀.. https://t.co/DXOZ6TB7I7","2017-08-09 03:03:07"
895116067915345920,0,0,"who dressed you kids.. 😕","2017-08-09 02:54:35"
895114736379072512,3,1,"&amp; that's that.. 📌 https://t.co/uWK0V5JfgL","2017-08-09 02:49:18"
894916474720178176,0,0,"11 people followed me and 5 people unfollowed me // automatically checked by https://t.co/LqcMfJJcZo","2017-08-08 13:41:28"
894765210128568320,1,1,"@kisstaayASShes ion see it","2017-08-08 03:40:24"
894762956411490304,0,0,"my heart too good to let people treat it any kind of way..","2017-08-08 03:31:27"
894762437135781888,1,1,"trendsetta.k https://t.co/K9oNlQIpfi","2017-08-08 03:29:23"
894661177887916039,112,13,"bodak pink.. 🍧 https://t.co/rSvxnVtl4s","2017-08-07 20:47:01"
894608909192843265,0,0,"i'm ready to go home ..","2017-08-07 17:19:19"
894511932794961920,0,8,"graduation * https://t.co/TOGtE6TYTz","2017-08-07 10:53:58"
894511852805390336,0,0,"&amp; the countdown begins now.. 🎓","2017-08-07 10:53:39"
894482294366511105,0,0,"sleeping schedule so off..","2017-08-07 08:56:12"
894338946263646208,1,0,"school tomorrow &amp; i have yet to figure out what i'm wearing..","2017-08-06 23:26:35"
894202351954923520,0,1,"senior year finna be bittersweet..","2017-08-06 14:23:48"
894201693927346176,0,0,"i need to hit the factory","2017-08-06 14:21:11"
894194462041178112,0,1,"love galore gets me everytime.. 😭","2017-08-06 13:52:27"
894192321134305281,1,0,"@iimpyk thank you im finna text youk","2017-08-06 13:43:57"
894191852617953284,1,1,"frienddddd 😍💚 https://t.co/jrBenSWHxe","2017-08-06 13:42:05"
894191776424132609,3,4,"on all you hoes. 🤧 https://t.co/EFJKa5D8iT","2017-08-06 13:41:47"
893907351601913856,1,1,"😂😂","2017-08-05 18:51:35"
893901983366696960,1,0,"@Call_mePoodie thank you boo 😘😘","2017-08-05 18:30:15"
893845924233043968,0,0,"8 people followed me and 6 people unfollowed me // automatically checked by https://t.co/LqcMfJJcZo","2017-08-05 14:47:29"
893676701800157184,0,0,"I gained 25 followers in the last week. You? Know your stats and grow with https://t.co/9wkHvhLLzy","2017-08-05 03:35:04"
892755382426378240,0,0,"9 people followed me and 6 people unfollowed me // automatically checked by https://t.co/LqcMfJJcZo","2017-08-02 14:34:04"
892571825498198016,3,1,"moving in silence .. 🤐","2017-08-02 02:24:41"
891669560583180288,0,0,"8 people followed me and 6 people unfollowed me // automatically checked by https://t.co/LqcMfJJcZo","2017-07-30 14:39:24"
891392605237497857,0,0,"school in 2 weeks.. 😧","2017-07-29 20:18:53"
891139991816089602,0,0,"I gained 27 followers in the last week. You? Know your stats and grow with https://t.co/9wkHvhLLzy","2017-07-29 03:35:05"
890976364727332864,0,0,"southwind &amp; whitehaven junt later 😇","2017-07-28 16:44:53"
890968523467567104,0,1,"don't say you grown doing childish stuff..","2017-07-28 16:13:44"
890962501378224128,0,0,"the good ones go.. if you wait too long","2017-07-28 15:49:48"
890962378506072067,0,0,"can't lose you can't help it i'm so sorry im so selfish..","2017-07-28 15:49:18"
890773152925667332,0,0,"i just wanna hold you up.. i just wanna figure you out.. 🖇","2017-07-28 03:17:24"
890772061009924096,0,0,"i want some fruit.","2017-07-28 03:13:03"
890762746538733569,0,0,"ugly ass kids.","2017-07-28 02:36:03"
890762149810798592,1,1,"@Cashman_Jayloo get smacked.","2017-07-28 02:33:40"
890670153926443009,1,0,"i want a necklace w| my name on it. 😍😍😍","2017-07-27 20:28:07"
890669980273999875,0,0,"acting like we wasn't more than a summer fling ..","2017-07-27 20:27:25"
890658852420558852,0,0,"cause baby we ain't got nothing without love..","2017-07-27 19:43:12"
890655525708247041,1,0,"you say the word im on the way..","2017-07-27 19:29:59"
890570737022627840,0,0,"5 people followed me and 11 people unfollowed me // automatically checked by https://t.co/LqcMfJJcZo","2017-07-27 13:53:04"
890471940149870592,1,1,"never let a nigga ride ya wave nope..","2017-07-27 07:20:29"
890469582581923843,5,5,"""the weekENT"" 😂😂😂😂😂 https://t.co/NaZSMNbciY","2017-07-27 07:11:07"
890466680694083584,0,0,"@Cashman_Jayloo aight","2017-07-27 06:59:35"
890466517502087169,0,0,"@Cashman_Jayloo stop playing w. me yn","2017-07-27 06:58:56"
890465971412054016,0,0,"the weekend \\ kCamp 🖤🖇","2017-07-27 06:56:46"
890465469936918528,0,0,"im cryinggggggggg 😂😂😂😂 https://t.co/pBVgSWObs9","2017-07-27 06:54:46"
890465083758915585,0,0,"stfu on my lil potnaaaa.","2017-07-27 06:53:14"
890462641298255872,1,0,"i can watch moana all day everyday..","2017-07-27 06:43:32"
890321000197484545,0,0,"i knew ittttttttttttttttt.. im ready 😩 https://t.co/6E4sFNECLe","2017-07-26 21:20:42"
890320058987278338,1,3,"i wanna tell the world about ya just so they can get jealous.. 🖤🖇","2017-07-26 21:16:58"
890311295576276992,1,5,"i stopped being nice cause people take it for granted.","2017-07-26 20:42:08"
890308908719407104,5,11,"i hate friendly ass people.. buddy ass folks.","2017-07-26 20:32:39"
889954832982958080,1,6,"i want another tattoo &amp; more piercings.. 🙄","2017-07-25 21:05:41"
889954387719802880,10,14,"young thug so raw omg .. 🐍🔥","2017-07-25 21:03:55"
889952714851061761,0,0,"im so glad i changed my surroundings &amp; the people i hung around..","2017-07-25 20:57:16"
889792714606342145,0,0,"She gts so damn early 🤦🏾‍♂️","2017-07-25 10:21:29"
889495263257276416,1,0,"@__anziaa she gone be mad ash 😂","2017-07-24 14:39:31"
889494840999895040,0,1,"new mindset 😊 https://t.co/Hy94cs56jG","2017-07-24 14:37:50"
889494278719909888,1,0,"@__anziaa 😂😂😂 https://t.co/ErdhdYCXvG","2017-07-24 14:35:36"
889493940386377728,0,0,"😂😂😂😂 https://t.co/ZYgWTsTTHz","2017-07-24 14:34:16"
889485064454758400,0,0,"but mine 👅 https://t.co/NlYmMIlRXG","2017-07-24 13:58:59"
889455275912179713,0,0,"11 people followed me and 8 people unfollowed me // automatically checked by https://t.co/LqcMfJJcZo","2017-07-24 12:00:37"
889346372041834496,0,1,"my sleeping schedule so off..","2017-07-24 04:47:53"
889323677967417344,0,0,"i wanna go see girls trip 🤣..","2017-07-24 03:17:42"
889323552620650498,1,6,"i can finally say i'm happy &amp; mean it .. 😌","2017-07-24 03:17:12"
889156407479742464,0,1,"blessed to see another day.. 🙏🏾","2017-07-23 16:13:01"
888868362541039616,0,0,"i don't tolerate disrespect at all.. don't care who it come from.. grown or not.. don't disrespect me.","2017-07-22 21:08:26"
888867689728544768,0,0,"real niggas don't fade away.. #nocapppp","2017-07-22 21:05:46"
888867587911815169,0,0,"i got that no fadeaway.. 🤧","2017-07-22 21:05:21"
888603270163423232,0,0,"Gained 31 new followers in the past week. I’m growing my account the right way, are you? Do it with https://t.co/9wkHvhLLzy","2017-07-22 03:35:03"
888574949388169216,0,0,"i want some strawberry shortcake icecream bars 😍😍😍😍","2017-07-22 01:42:31"
888424940453679104,0,0,"14 people followed me and 10 people unfollowed me // automatically checked by https://t.co/LqcMfJJcZo","2017-07-21 15:46:26"
888423915051249664,1,1,"i just charge it to the game https://t.co/WdpQBe87EJ","2017-07-21 15:42:22"
888257819748704257,0,0,"@_Bankrolltank don't show out for twitter..","2017-07-21 04:42:21"
888257536662437889,0,0,"@_Bankrolltank bye ho","2017-07-21 04:41:14"
888257353681784832,0,0,"@_Bankrolltank i just pulled up","2017-07-21 04:40:30"
888246431248777216,0,0,"Her DMs closed 🤐🖤","2017-07-21 03:57:06"
888225508449701888,1,0,"@__anziaa 😂😂😂😂😂😂 oh yes ma'am","2017-07-21 02:33:58"
888225250978037762,0,1,"@__anziaa who this look like ? 😭 https://t.co/5GnjGf2YxW","2017-07-21 02:32:56"
888184433479692292,0,0,"far from average.. 💋 https://t.co/l1H7NvfJBF","2017-07-20 23:50:45"
888178899745726468,1,1,"@ronekiaa we gotta catch up 🤒","2017-07-20 23:28:45"
888178533775888384,1,0,"@bar_BRI_doll oh yes 😕","2017-07-20 23:27:18"
888178466553835520,1,1,"@ronekiaa it be like that 😭😭","2017-07-20 23:27:02"
888176320953430017,1,12,"i miss my man.. ☹️","2017-07-20 23:18:31"
888164074672009216,0,0,"good mua's in memphis? 🤔 @them please","2017-07-20 22:29:51"
888151163199205377,0,4,"at all big dawg.. it's a no for me https://t.co/GJq10dkoTj","2017-07-20 21:38:33"
888148980558950401,2,1,"frienddddd 💚😍😍😍 https://t.co/cAcV6HIAAo","2017-07-20 21:29:52"
887856252042301441,1,7,"i've outgrown so many friendships.","2017-07-20 02:06:40"
887856004540530688,1,1,"😂 omg 😭😭 https://t.co/VkrjaLyDQ8","2017-07-20 02:05:41"
887854545132556288,4,9,"i hate temporary.. point blank period!!","2017-07-20 01:59:53"
887854309639151620,1,1,"🗣.. https://t.co/zBrM04hEeH","2017-07-20 01:58:57"
887854125769216002,1,0,"these friendships &amp; relationships be so fake..  🤧","2017-07-20 01:58:13"
887800828005888000,0,0,"i keep my distance.. sorry not sorry 🤗","2017-07-19 22:26:26"
887423987084652544,1,2,"tryna keep up w| me is the wrong thing to do..","2017-07-18 21:29:00"
887362932954288131,9,6,"im so ready to get outta memphis..","2017-07-18 17:26:24"
887290507226996737,0,0,"12 people followed me and 10 people unfollowed me // automatically checked by https://t.co/LqcMfJJcZo","2017-07-18 12:38:36"
887064530366472193,0,0,"you know imma rider.. nothing left to hide ..","2017-07-17 21:40:39"
887063994980339712,0,0,"i want raffertys.","2017-07-17 21:38:31"
887060096651587585,0,0,"str8 on everybody.. doing me 🤙🏾","2017-07-17 21:23:02"
887050560075116545,0,0,"ready to get my sew-in back 🙄🙄","2017-07-17 20:45:08"
887050129613737985,1,2,"i need better vibes &amp; positive surroundings.. ☘️","2017-07-17 20:43:26"
887041635154104320,0,0,"my attitude so bad..","2017-07-17 20:09:40"
886641354964598784,0,0,"amos \\ trendsetta.k 👅","2017-07-16 17:39:06"
886574553153122304,0,1,"blessed to see another day..","2017-07-16 13:13:39"
886447460910063616,0,0,"@_Bankrolltank lebohner or whatever","2017-07-16 04:48:38"
886447056684027906,0,0,"@_Bankrolltank im not home","2017-07-16 04:47:02"
886446828023160832,0,0,"@_Bankrolltank wassup","2017-07-16 04:46:07"
886238644104769537,0,0,"@_killaakae trust me i know 🤦🏾‍♂️","2017-07-15 14:58:52"
886238428169457665,0,0,"looked up the lyrics didn't it https://t.co/b4FA4LIj1R","2017-07-15 14:58:01"
886238338952433664,1,0,"👅👅👅👅👅👅👅🤣 https://t.co/91wrsItS3w","2017-07-15 14:57:40"
886237971615297537,0,0,"@_killaakae im mfn dead","2017-07-15 14:56:12"
886237776412323840,0,0,"kiana called this mane ""tee grizzled"" im crinnnnnne 😂😂😂😂","2017-07-15 14:55:26"
