"id","favorite count","retweet count","text","created at"
897927645354049536,1,1,"@marisofab LOVE YOU 😻😘","2017-08-16 21:06:47"
897887612152795136,4,0,"Haven't selfied in awhile, 😜 https://t.co/9c8mw6iFtj","2017-08-16 18:27:43"
897686091603554305,0,0,"I just saw a blue falling star 💫","2017-08-16 05:06:57"
897659919763206144,0,0,"I legit just started crying when I saw Guy &amp; Mama omfg 😭 now I just gotta see Jake, Shayna &amp; ryan ❤️","2017-08-16 03:22:57"
897598514297016322,1,0,"Discount tire has the hottest guys I've ever seen 🤤 oh lawwd","2017-08-15 23:18:57"
897330820251308032,1,0,"These are our prime years, if you're not living like there's no tomorrow. What are you doing? 🤔","2017-08-15 05:35:13"
896805806288588800,0,0,"I didn't take any pictures or videos last night 😢","2017-08-13 18:49:00"
896799390026911744,0,0,"Obsessed with coffee","2017-08-13 18:23:30"
896799293423714305,0,0,"Honestly for throwing my first party. It was pretty fun","2017-08-13 18:23:07"
896254644606955520,0,0,"Pirates of the Caribbean.. who would you pick to be stuck with","2017-08-12 06:18:53"
896252452109996032,0,0,"We're gonna fucking die because of your orange ass https://t.co/XZsRa0niPv","2017-08-12 06:10:10"
896243715429281792,0,0,"Honestly not having internet has to be the worst thing ever... I can't watch grey's😢","2017-08-12 05:35:27"
896242961222172672,3,0,"🌸🤙🏼💕 https://t.co/ahBh1brT9a","2017-08-12 05:32:28"
896240605193543680,0,0,"PREAAACH https://t.co/bdG6ANX9P4","2017-08-12 05:23:06"
895345639818760201,0,0,"That's love. https://t.co/0dLs5QCFcQ","2017-08-09 18:06:49"
895343414941814788,1,0,"This how I'm tryna be https://t.co/kSXXOCMTIB","2017-08-09 17:57:59"
895195536160063488,0,0,"This wine omg 😲😩😍","2017-08-09 08:10:22"
895036286536482817,2,0,"Fucking cute!?!? https://t.co/iKdNijHjzZ","2017-08-08 21:37:34"
895035204594741251,3,1,"Love them 💕 https://t.co/xN2BE2YFKb","2017-08-08 21:33:16"
894622481130164228,0,0,"My dreams are wild dude","2017-08-07 18:13:15"
894020571025092608,2,0,"@_ryl3y 😐😐😐😐 https://t.co/bPPybOSOPS","2017-08-06 02:21:28"
894019679236354048,0,0,"I just wanna be caked up with you in bed, smoking a blunt while playing with your hair, as you're practicing on you… https://t.co/OqW08s0WYi","2017-08-06 02:17:56"
893718971047915520,0,0,"Yo wtf https://t.co/XyantmCtL5","2017-08-05 06:23:01"
893693058247778304,0,0,"@marisofab That was not fun whatsoever","2017-08-05 04:40:03"
893323421072977920,0,0,"I'm tryna to not run out of gas on the high way rn","2017-08-04 04:11:15"
893194390352646145,0,0,"@CameoGrome That's a way to not lose your keys!🤣🤣 I need to take some lessons lol","2017-08-03 19:38:32"
893186006010220544,1,0,"Pic #2 🤤🤤🤤 https://t.co/ZeWyhUC5mx","2017-08-03 19:05:13"
893185835754979328,0,0,"I lost my chill last night.","2017-08-03 19:04:32"
893050085906546688,0,0,"Either I'm super trippin hard or my light in my house are not working.","2017-08-03 10:05:07"
892981566124773376,0,0,"You can't just pull a gun on someone expect them not to react. Dumb af https://t.co/SyA53CyJCO","2017-08-03 05:32:50"
892978870349180928,0,0,"Acid trip","2017-08-03 05:22:08"
892956995233382400,1,0,"Are those Lemurs 😻 https://t.co/7mIyH8uKyM","2017-08-03 03:55:12"
892298423302578176,2,1,"Y'all my house is gorgeous😻🏡😩","2017-08-01 08:18:16"
891129767256354820,0,0,"https://t.co/8JnyLpVPtO","2017-07-29 02:54:27"
891128387267416064,0,0,"Google i applaud you 👏🏼👏🏼👏🏼","2017-07-29 02:48:58"
890480972403232768,0,0,"My table told me that they counted how many ""yall's"" I said while serving them. They were from California 😂😂","2017-07-27 07:56:22"
889946860579901440,0,0,"My dreams have been so fucking crazy lately... 😳","2017-07-25 20:34:00"
889940032223682560,1,0,"Dear twitter, idgaf about what other people have favorited, so stop putting it in my notifs.. Thank you 🙂","2017-07-25 20:06:52"
889938573704781824,1,0,"Literally been asleep all day","2017-07-25 20:01:04"
889681562534645761,2,0,"Went to heb earlier and I'm already done with my pineapples 😜🍍💓","2017-07-25 02:59:48"
889677030144528385,2,0,"Greys anatomy has me sobbing like a baby","2017-07-25 02:41:48"
889554739096170497,1,0,"Lmfao me https://t.co/7hNFIzMpp7","2017-07-24 18:35:51"
889554468664168448,1,0,"Come to Austin? https://t.co/ZkB50eQust","2017-07-24 18:34:47"
889368947350548481,0,0,"@marisofab @marisofab @marisofab https://t.co/tOF0C9XaAe","2017-07-24 06:17:35"
889284046316089344,0,0,"I would've left her ass there https://t.co/xAQKZU7Hwo","2017-07-24 00:40:13"
889250229945552897,1,0,"WHOOP WHOOP https://t.co/MtUjGAQhBw","2017-07-23 22:25:50"
888967596707647490,0,1,"You ever want to just be around someone, not just cause you like them, just because you enjoy their presence?","2017-07-23 03:42:45"
888905389248589825,0,0,"Los spurssss https://t.co/U4ghzHWDQE","2017-07-22 23:35:34"
888797328135651328,0,0,"If it's not spicy, I don't want it","2017-07-22 16:26:10"
888629677711122433,0,0,"All y'all be wifed up &amp; I'm over here hugging this tube of ice cream","2017-07-22 05:19:59"
887898269048811520,1,0,"@marisofab AWWWWWHHHHH 😩😭 STAHP","2017-07-20 04:53:38"
887898153038614528,1,0,"@marisofab It wasn't just to babe 😳😂","2017-07-20 04:53:10"
887893108733730816,0,0,"@_ryl3y Will you get me a marg dubb??","2017-07-20 04:33:08"
887892837542572034,0,0,"@_ryl3y On mlk","2017-07-20 04:32:03"
887892582327439361,0,0,"@_ryl3y 🙂oh lmfao","2017-07-20 04:31:02"
887892312084197378,0,0,"@_ryl3y Pero like I was waiting on fresh food 😋","2017-07-20 04:29:58"
887891461424824320,1,0,"@_ryl3y I'm on the way","2017-07-20 04:26:35"
887890670895087618,0,1,"@_ryl3y Lmfao. I was about to say, I'm the light weight in this family 😂","2017-07-20 04:23:26"
887890258028777473,0,0,"@_ryl3y girl r u faded?","2017-07-20 04:21:48"
887888322789425157,0,0,"@_ryl3y The spirits heard us lmfao","2017-07-20 04:14:06"
887776566972952577,0,0,"YESSSSSS https://t.co/PQuqG4KivR","2017-07-19 20:50:02"
887775495647100930,1,0,"I legit got a little mad because someone else @@ Russ lmfao. 
This has gone to far lmfao","2017-07-19 20:45:46"
