"id","favorite count","retweet count","text","created at"
897550902822940674,0,0,"@MaecieSmith Me","2017-08-15 20:09:45"
897491565949722624,30,0,"goofy goober yeah. https://t.co/SNV1GRlU05","2017-08-15 16:13:58"
896380003348344838,11,0,"Cade is crawling!!!! 😭❤️","2017-08-12 14:37:01"
895847388077862912,0,0,"@brandonv1844 🙂☹️🙂","2017-08-11 03:20:36"
895541632724070401,8,0,"I have a baby. I don't have time to sit here and waste playing games.","2017-08-10 07:05:38"
895541475076972544,0,1,"These two a.m. thoughts can kill my soul.","2017-08-10 07:05:00"
894760013033549824,1,0,"@Cayy_Faithh When God's ready she'll come that's for sure! She's precious I cannot wait to see pics. 😊","2017-08-08 03:19:45"
894755718145888256,1,0,"@Cayy_Faithh Did they say why they're gonna induce you next week? I understand completely but I was just so uncomfortable..","2017-08-08 03:02:41"
894752268641226752,1,0,"@Cayy_Faithh The last few days are the hardest... 🙁 patience is so key, but it's so hard because you wanna see your… https://t.co/fRuDUDd5db","2017-08-08 02:48:59"
894693934584090624,12,0,"The doctor told me Cade is doing 6 month milestones things and he's only 4 months.. ❤️ momma's big boy","2017-08-07 22:57:11"
893175637804036096,2,1,"I NEED sleep. It's not only a want. Lol","2017-08-03 18:24:01"
892338871085780992,3,0,"I'm wearing pajama's today, IDC IDC IDC.","2017-08-01 10:59:00"
891898336755818500,2,0,"college starts back up tomorrow.🚮","2017-07-31 05:48:28"
891114585918500864,2,0,"don't you turn the tables and say that I've made mistakes. I didn't give you my heart for you to just break.","2017-07-29 01:54:08"
891075496976539648,34,26,"I'm low key such a jealous person. 🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂","2017-07-28 23:18:48"
891065628949434369,1,0,"when I sing to Cade he just looks at me and smiles and it melts my heart..","2017-07-28 22:39:35"
891048015649271812,2,0,"I love that @Shaniaa_Madison lives right beside me because I love her and she just surprised me with a visit ❤️❤️","2017-07-28 21:29:36"
891039688617799683,6,0,"every time I say I'm done I find myself in the same situation. 🤦🏻‍♀️","2017-07-28 20:56:31"
891025084671983616,0,3,"I hate what you've become in so many ways, or maybe you've always been but I was just to blind to see it.","2017-07-28 19:58:29"
890308191686230016,4,0,"forever wishing he would've just stayed and put a ring on it. https://t.co/QjAD7TBdA4","2017-07-26 20:29:48"
890011926058717184,0,0,"And now a #goldenbuzzer @chasegoehring 😍🙉🙈","2017-07-26 00:52:33"
890011212334891009,0,0,"@chasegoehring oh my. 😍 I just fell in love with his writing and his soul, so much talent.","2017-07-26 00:49:43"
889652658121969666,2,0,"@KateMccarn I made @_Ace_Shy_ pull over so many times and the one time I said I was fine don't pull over is when it happened 😊😊😊","2017-07-25 01:04:57"
889630182524452865,12,0,"Literally just shat myself. Sorry for posting this but I thought this would make everyone laugh, especially if your having a bad day like me","2017-07-24 23:35:38"
889607198111825920,1,0,"Literally just did Cade's appointment from the bathroom. 🤢 @ previous tweet.","2017-07-24 22:04:18"
889607064078528512,0,0,"If your wanting to get your gallbladder out, PS DONT. 
DONT think about it, DONT wish for it. Just DONT. 🤦🏻‍♀️","2017-07-24 22:03:46"
889375190605582337,23,8,"guy: what's your problem? https://t.co/82Pay1cBpy","2017-07-24 06:42:23"
889238749313470465,3,1,"@caseymarie_11 &amp; @whitneyd22 just met Cade for the first time and they're reactions were so cute 😭❤️","2017-07-23 21:40:13"
888441658722963456,0,0,"@shelbyr_holt Girl I feel your pain, literally I hop yours goes well !  😊","2017-07-21 16:52:52"
888440475283279872,0,0,"@shelbyr_holt I just got mine out girl it's miserable after too.  ☹️","2017-07-21 16:48:10"
887827160962125824,2,2,"I'm a mess","2017-07-20 00:11:04"
887460614867755009,2,0,"Cade just wants me to pick him up and love on him but I can't pick up anything over 10 lbs for 2 weeks 😭","2017-07-18 23:54:33"
887279327854907392,11,2,"If you don't have a playful relationship WYD¿","2017-07-18 11:54:11"
887151597595316224,2,0,"@Shaniaa_Madison 🤦🏻‍♀️","2017-07-18 03:26:38"
885471909676277760,4,0,"He asked me why I love him for, I said for all the things he can't see in himself that I do.","2017-07-13 12:12:09"
884990366528786432,22,0,"1 year ago I found out I was pregnant with my first child and I have loved him every second since then.","2017-07-12 04:18:40"
884603957473157124,0,0,"""They all resemble the same hell different devil."" @KaitlinButts","2017-07-11 02:43:13"
884284508551475200,16,1,"#NewProfilePic https://t.co/E6P9FC9fc8","2017-07-10 05:33:50"
883810064322224128,2,1,"@__kennedyyy_  just roasted me then tried to love me.","2017-07-08 22:08:34"
883735708984377344,3,2,"A man who knows what he wants is so attractive","2017-07-08 17:13:06"
883161208454610944,2,0,"Never go shopping when you're hungry. 🤦🏻‍♀️","2017-07-07 03:10:15"
883018141349163010,42,22,"If you know the man is in a relationship, married, or seriously talking to someone WHY interfere?","2017-07-06 17:41:45"
882829183130501123,4,0,"The way I see it Cade eventually has to eat something other then breastmilk so I have to learn someday, why not now 🤷🏻‍♀️","2017-07-06 05:10:54"
882828922727141377,4,0,"So me learning to cook is all trial and error. 🤦‍♂️ nobody knows if it's good or not until they try it.","2017-07-06 05:09:52"
