"id","favorite count","retweet count","text","created at"
897197722113122315,3,0,"I didn't think saying goodbye to you would hurt this bad.","2017-08-14 20:46:20"
890459923536117765,0,0,"Musclebob Buffpants https://t.co/FV5WZ72bHw","2017-07-27 06:32:44"
888331348984901633,4,1,"I JUST WANT SOMEONE TO LOVE AND TO LOVE ME DAMNIT","2017-07-21 09:34:32"
888331090691280896,3,0,"#NewProfilePic https://t.co/lFmTXzznIK","2017-07-21 09:33:31"
888330862835748865,0,0,"I literally have nothing to do anymore","2017-07-21 09:32:36"
888330782963634176,0,0,"I feel like my life is just passing me by","2017-07-21 09:32:17"
887392988405665798,1,0,"@_hrobb y do u do this","2017-07-18 19:25:50"
883121384729260032,3,2,"Real life problems right here https://t.co/BojaOkhxLy","2017-07-07 00:32:00"
882738340507856896,2,0,"Don't know how to be so close to someone so distant","2017-07-05 23:09:55"
882693327929262080,0,0,"I have been on Twitter for 4 years, 10 months, 12 days (since 22 Aug 2012).
And you? https://t.co/3FX2iNYUtS","2017-07-05 20:11:03"
877802472764432384,0,0,"oh it's a lonely world, i know","2017-06-22 08:16:32"
871270335986925568,4,0,"#NewProfilePic https://t.co/ZqlADP2MYw","2017-06-04 07:40:10"
871269961406218240,1,0,"😁🤙🏼 https://t.co/RAQMeSdAM2","2017-06-04 07:38:40"
866550459057811456,5,0,"I'm so done with asking people to hang out and them saying no every time. If you wanna hang, you're asking me from now on 🙄","2017-05-22 07:05:03"
865376761512636416,4,0,"I GRADUATED https://t.co/S6byKkSS5h","2017-05-19 01:21:12"
863953866068504576,4,0,"I graduate in 3 days 😳😳","2017-05-15 03:07:07"
861029047664603137,2,0,"You've got your peace now. But what about me?","2017-05-07 01:24:56"
860338642895728641,5,4,"You end up breaking your own heart by choosing to only see the best in people","2017-05-05 03:41:31"
858768362620547072,5,1,"prom 2017 pt 2 😁😁 https://t.co/8lxmdd2Qkz","2017-04-30 19:41:47"
858581675852345344,12,0,"PROM 2017 😄💗💐 https://t.co/T5FMZm7ytS","2017-04-30 07:19:57"
857663197721108480,2,0,"https://t.co/lphlUpsUcj watch my video 😄😄","2017-04-27 18:30:15"
857350345785315328,0,0,"You said please don't give up on me, but it's kind of funny seeing that you ended up giving up on me","2017-04-26 21:47:05"
856673202805907456,3,0,"She was the girl who loved you unconditionally and yet you still chose to break her heart.","2017-04-25 00:56:22"
855914932621148167,6,2,"He doesn't have a clue how bad he fucked me up not like he would care anyway","2017-04-22 22:43:16"
855260280259051520,4,0,"That awkward moment when you try and give your all to somebody and they're still mad at you for some reason??????🙃","2017-04-21 03:21:55"
854534643655335936,4,0,"🖤🖤🖤 https://t.co/9qbzoohvFn","2017-04-19 03:18:30"
853475913819967488,0,0,"😔😔😔","2017-04-16 05:11:29"
850071641728143361,2,1,"all i can say was last night was fun as hell 😆🎈 https://t.co/yAdQRZdEtl","2017-04-06 19:44:07"
848732913743147008,2,2,"I could go for a late night car ride right now","2017-04-03 03:04:29"
844380792340008961,2,0,"lil uzi mood","2017-03-22 02:50:43"
843994557301886976,1,0,"Obsessed with the thought of you","2017-03-21 01:15:57"
843505847204483074,0,0,"i do not feel good rn wtf 😟","2017-03-19 16:54:00"
842225574642888704,2,0,"😛😛 https://t.co/Frq6PPNeNA","2017-03-16 04:06:39"
841640410434949120,3,0,"""just let me motherfucking love you""","2017-03-14 13:21:25"
840293314540777472,3,1,"I'm a lover not a fighter but i fight for what i love.","2017-03-10 20:08:32"
839916549041491970,3,0,"@OV_Breezy @_tink123 @_hrobb @alx_wills @shaeclark02 literally everyone who associates with you makes fun of you 😂😂😂😂","2017-03-09 19:11:24"
839911286385299457,3,0,"@_hrobb @OV_Breezy @alx_wills @Raistlin_Morgan 🐸☕️","2017-03-09 18:50:30"
839911011528425472,2,0,"@OV_Breezy @alx_wills @Raistlin_Morgan @_hrobb let's build it shit color for you","2017-03-09 18:49:24"
839909577927901185,2,0,"@_hrobb @alx_wills @OV_Breezy @shaeclark02 shut up you're a joke breezy","2017-03-09 18:43:42"
839849375622971393,1,0,"@shaeclark02 @EpperlyHaley right???","2017-03-09 14:44:29"
839840039886532609,0,0,"@EpperlyHaley  https://t.co/UZiTsmwG9r","2017-03-09 14:07:23"
839838717867147266,0,0,"@EpperlyHaley don't be a bitch","2017-03-09 14:02:08"
839838574753288196,1,0,"@EpperlyHaley you're not wrong","2017-03-09 14:01:34"
838187317722550272,0,0,"🔴 LIVE on @YouNow - https://t.co/vH4qAS0jXM","2017-03-05 00:40:03"
838168835039588352,0,0,"🔴 LIVE on @YouNow - https://t.co/hDqFv2rruJ","2017-03-04 23:26:37"
838165317109100550,0,0,"🔴 LIVE on @YouNow - https://t.co/39IpBLjfuQ","2017-03-04 23:12:38"
837058357135552512,1,0,"Don't know how to be so close to someone so distant","2017-03-01 21:53:58"
836103933026254848,4,0,"🤷‍♀️ https://t.co/U3wQERCP3J","2017-02-27 06:41:26"
834618856232644608,0,0,"https://t.co/zcfjEJJJU8","2017-02-23 04:20:16"
830183653510615041,1,0,"@MonicaP99556373 https://t.co/lQcb8nPi6X","2017-02-10 22:36:21"
829694806926454785,3,0,"Did she make your heart beat faster than i could?","2017-02-09 14:13:51"
829347624419483650,6,4,"Wanna sleep for like 6 years","2017-02-08 15:14:16"
829345820038291456,0,0,"Do you think I'll ever need your love more than you need me?","2017-02-08 15:07:06"
828335927500144641,1,1,"*Been reading MacBeth for 2 weeks now* 
Me: ""Who's Macduff?""
@_hrobb : ""I don't know""","2017-02-05 20:14:09"
827942320737759232,2,0,"my moms watching shameless and it makes me so happy 😁😁😁","2017-02-04 18:10:06"
827367561654308868,0,2,"https://t.co/WFAmCLEAk0","2017-02-03 04:06:13"
