"id","favorite count","retweet count","text","created at"
897946139030368257,2,0,"@BrandonMHaley @dpboynton Holy shit, idk how I'm gonna compete..","2017-08-16 22:20:17"
897849437137121281,2,0,"L o l","2017-08-16 15:56:01"
897655254195556353,1,0,"No matter where it takes me, even if it breaks me💗","2017-08-16 03:04:24"
897564523212754944,0,0,"@nicolee_olivia It gets better❤️","2017-08-15 21:03:52"
897292621164498944,1,0,"Yep https://t.co/vVI8neyXKz","2017-08-15 03:03:26"
897270400060723200,7,0,"Fall wya","2017-08-15 01:35:08"
897269473845104640,0,0,"Omg😍 https://t.co/4KM6xkpoDk","2017-08-15 01:31:27"
897267137563283456,7,0,"My step dad told me he had a dream I had triplets &amp; I almost started crying. Hell. To. The. No.","2017-08-15 01:22:10"
897068544663449600,8,1,"Y e S https://t.co/n3Tnz2r4aS","2017-08-14 12:13:02"
896941805320667136,2,0,"Gotta get through 3 more days &amp; you'll be on a cruise Caitlin. Just. 3. More. Days.","2017-08-14 03:49:25"
896930692403277824,2,0,"I literally covered my eyes through half of the new Annabelle movie","2017-08-14 03:05:15"
896359623472685056,3,0,"Yes!!!! https://t.co/rFQ5GnR8aD","2017-08-12 13:16:02"
895766387150532608,0,0,"@sydneyreece_ When is your cruise?","2017-08-10 21:58:43"
895747259178127361,5,0,"I'm pretty sure Thomas Rhett &amp; Laurens baby is due on my bday &amp; that makes my heart happy","2017-08-10 20:42:43"
895684200703156224,11,2,"Get you a man that plans a trip for you😍","2017-08-10 16:32:09"
895487292718153729,0,0,"@dpboynton So perf","2017-08-10 03:29:42"
895479314459840515,1,0,"@covingtonchels Lmfao story of my life","2017-08-10 02:58:00"
895467381333442560,3,0,"Thankful for my bf","2017-08-10 02:10:35"
895463860181794818,2,0,"I'll be on my cruise next week😍","2017-08-10 01:56:35"
895439455028490240,0,0,"@D_Cowan45 Here. On my tweet. Go somewhere.","2017-08-10 00:19:37"
895439198928470016,0,0,"@D_Cowan45 Gtfoh","2017-08-10 00:18:36"
895431799484039168,1,0,"Just in case y'all are wondering I'm drawing Disney characters, that's how bored I am🙂","2017-08-09 23:49:11"
895409137227636736,4,0,"@dpboynton @WayneZach Never in my life zach","2017-08-09 22:19:08"
895407843179941889,2,0,"I've never had so much problems w Apple in my life.","2017-08-09 22:14:00"
895389946978197504,3,2,"I never knew it could be this good","2017-08-09 21:02:53"
895388318111870976,1,0,"I wish I could have long nails, but working in the dental field that'll never happen lol","2017-08-09 20:56:25"
895367269336981505,6,1,"OMFG YES https://t.co/vWnDfxykV9","2017-08-09 19:32:46"
895325608514732032,3,0,"Ugh I miss my short hair https://t.co/OZh5RgW9nQ","2017-08-09 16:47:14"
895302238129795072,23,2,"Remember those friends that said ""I'd never do that to you even if we aren't friends"" HAHAHA THEY LIE","2017-08-09 15:14:22"
895041904659894273,0,0,"Right where I need to be","2017-08-08 21:59:53"
894713986708623360,3,1,"I wish I could move","2017-08-08 00:16:52"
894300934150516736,3,0,"I've learned a lot ab life since then","2017-08-06 20:55:32"
893986963337990145,0,0,"Hate getting ready","2017-08-06 00:07:56"
893979266391699456,2,0,"@WayneZach @D_Cowan45 Kinda catchy","2017-08-05 23:37:21"
893978936601968640,2,0,"@D_Cowan45 @WayneZach No I'm not🙃","2017-08-05 23:36:02"
893964038228652032,3,0,"I wanna go dt Orlando","2017-08-05 22:36:50"
893910206677123072,2,0,"My bf has to go to jax tonight for work &amp; I have no plans.🙄","2017-08-05 19:02:55"
893666349075095552,3,1,"@ssae_x @WayneZach @D_Cowan45 @dpboynton @steph_genova He won't wake up. He was like ""I'm too tired"" FINE. LETS GO ZACH","2017-08-05 02:53:55"
893665825630162944,1,0,"@D_Cowan45 Soml","2017-08-05 02:51:50"
893665510981869568,1,0,"@ssae_x @WayneZach @D_Cowan45 @dpboynton @steph_genova Ugh he's asleep😩","2017-08-05 02:50:35"
893662555763335168,2,0,"@ssae_x @WayneZach @D_Cowan45 @dpboynton @steph_genova Sarah where are you going?!","2017-08-05 02:38:51"
893648376679596032,2,0,"@WayneZach @D_Cowan45 @dpboynton @steph_genova 😂😂😂 hate u","2017-08-05 01:42:30"
893648202812899328,0,0,"@WayneZach @D_Cowan45 @dpboynton @steph_genova They're in the villages😂 it's already 10","2017-08-05 01:41:49"
893647974273822721,0,0,"@WayneZach @D_Cowan45 @dpboynton @steph_genova Haha I'm not even ready😂😂 &amp; he's awake.","2017-08-05 01:40:54"
893647627761270784,0,0,"@WayneZach @D_Cowan45 @dpboynton @steph_genova Being lazy. Where are you?!","2017-08-05 01:39:32"
893504688015978498,2,0,"@WayneZach @D_Cowan45 @dpboynton Bout it","2017-08-04 16:11:32"
893225165139652609,0,0,"@xoxosarahgold Ugh I will for sure!😍","2017-08-03 21:40:49"
893224959094525952,0,0,"@xoxosarahgold Miss you bb❤️","2017-08-03 21:40:00"
893209333571497984,2,1,"@dpboynton 😩 https://t.co/4TIMkqb9Fk","2017-08-03 20:37:54"
893146785044193281,5,0,"Kinda worried that my bf will turn into a Caesar salad bc of how much he eats them.. sos","2017-08-03 16:29:22"
893139147891802116,5,1,"Omg yes yes yes https://t.co/Zo9O7NgiHJ","2017-08-03 15:59:01"
893138913698643968,1,0,"@dpboynton @D_Cowan45 I try😉","2017-08-03 15:58:05"
893138835290324992,2,0,"@D_Cowan45 @dpboynton I will get something🤷🏻‍♀️","2017-08-03 15:57:46"
893138737349242880,2,0,"@dpboynton Lol who said that was ab you?? My tweets are all ab Cain.","2017-08-03 15:57:23"
893138104084836352,2,0,"@D_Cowan45 @dpboynton I won't be there until late. I can pick food up. What do y'all want","2017-08-03 15:54:52"
893137568329551874,0,0,"@dpboynton @D_Cowan45 No","2017-08-03 15:52:44"
893137189768499201,2,0,"@D_Cowan45 @dpboynton  https://t.co/r7nOxrducJ","2017-08-03 15:51:14"
893136005397704704,1,0,"@dpboynton You're so perfect😩❤️","2017-08-03 15:46:32"
893127501215662080,0,0,"@tylermesser17 Holy fuck what is wrong w ppl.","2017-08-03 15:12:44"
893091833571659781,0,0,"@dpboynton Thank ya","2017-08-03 12:51:00"
893088602527289345,21,0,"🙂 https://t.co/NOUPwHPgpu","2017-08-03 12:38:10"
893086203070775300,2,1,"It's gonna be a good day☺️☺️☺️","2017-08-03 12:28:38"
893081095377481728,4,2,"Goal https://t.co/d8alW9NwMF","2017-08-03 12:08:20"
892953053179064321,2,0,"@WayneZach Oh fuck willow huh?","2017-08-03 03:39:32"
892951649291034624,1,0,"@WayneZach Always","2017-08-03 03:33:58"
892950830667759625,2,0,"I hate myself for taking that nap earlier🙄","2017-08-03 03:30:42"
892930801586843648,6,0,"How original","2017-08-03 02:11:07"
892861404599918593,4,3,"I thank God I didn't get what I thought that I deserved","2017-08-02 21:35:22"
892579469231259652,3,0,"I ❤️ grilled cheese","2017-08-02 02:55:03"
892546593483894785,4,1,"Yessss https://t.co/1aWhnl3EOK","2017-08-02 00:44:25"
892492180601942016,1,0,"@steph_genova Waiting on you!","2017-08-01 21:08:12"
892417861393764352,7,0,"2 weeks until my cruise. Thank. God.","2017-08-01 16:12:53"
892406503818362881,1,0,"@dpboynton Bring me some","2017-08-01 15:27:45"
892376783936532480,1,0,"@MarieCyerra Mine too😍","2017-08-01 13:29:39"
892220512587440128,4,2,"My heart is so full","2017-08-01 03:08:41"
892210912198885376,2,1,"I want another road trip","2017-08-01 02:30:32"
892209750179540993,2,0,"@dpboynton @D_Cowan45 I didn't read it slow baby","2017-08-01 02:25:55"
892208336363454464,1,0,"@D_Cowan45 @dpboynton 😂","2017-08-01 02:20:18"
892207824742305792,1,0,"Always❤️ https://t.co/vaTBJW7nLR","2017-08-01 02:18:16"
892203723832905728,1,0,"@WayneZach Lord help us","2017-08-01 02:01:58"
892203019344982017,8,0,"I'm going to EDC. How have my friends corrupted me this much..","2017-08-01 01:59:10"
892163397659373570,2,0,"@D_Cowan45 @WayneZach I'm more fun","2017-07-31 23:21:44"
892163184278327296,2,0,"@D_Cowan45 @WayneZach Bet I won't forget","2017-07-31 23:20:53"
892162927414960128,1,1,"@WayneZach S E N D. I T.","2017-07-31 23:19:52"
892129082510635009,2,0,"I'm serious tho https://t.co/QYXTkS5DYH","2017-07-31 21:05:22"
892058846994329601,1,0,"@D_Cowan45 Holy shit yes","2017-07-31 16:26:17"
892056451023241216,2,0,"@dpboynton 🤷🏻‍♀️ you're welcome babe","2017-07-31 16:16:46"
892055533720612865,2,0,"@dpboynton 😂😂😂","2017-07-31 16:13:07"
892050673373786113,1,0,"@FerwenMinces @dpboynton 😝😝😝","2017-07-31 15:53:48"
892038436793790470,1,1,"@dpboynton Daddy","2017-07-31 15:05:11"
892034366234341377,1,0,"@dpboynton I could say something buuuut😉","2017-07-31 14:49:00"
892034037921058816,1,0,"@dpboynton I feel like this would be you https://t.co/zyCZ8KHZr1","2017-07-31 14:47:42"
891845474554085376,112,34,"Any other girl super excited to be a mom &amp; wife one day or is that just me","2017-07-31 02:18:25"
891320945239097349,1,0,"@madelineherlong I cannot deal w girls","2017-07-29 15:34:07"
890773290381455365,6,4,"Ugh😍😍😍😍 https://t.co/GqQis0gGDz","2017-07-28 03:17:56"
890759796495929344,4,0,"I'll ditch dyl this weekend &amp; I'll meet you there. It's my favvvvv😉 https://t.co/joOjqIvmfX","2017-07-28 02:24:19"
890694874869248001,2,0,"@D_Cowan45 @dpboynton Oh y'all hush","2017-07-27 22:06:21"
890694029754724352,9,0,"It's crazy that I can go to the dollar store in Webster w no bra on &amp; soffe shorts &amp; fit in w these weird fucks.","2017-07-27 22:02:59"
890689271799132160,0,0,"@dpboynton https://t.co/eX17iY8maQ","2017-07-27 21:44:05"
890689161858093056,0,0,"My heart❤️❤️ https://t.co/ZhMuGEbUF1","2017-07-27 21:43:39"
890687967160881153,2,0,"I did this earlier😂😂😂 https://t.co/GORpvwC6ti","2017-07-27 21:38:54"
890680043759972352,0,0,"@dpboynton No!","2017-07-27 21:07:25"
890674128646053888,0,0,"@dpboynton Ya right","2017-07-27 20:43:54"
890672772350791680,9,5,"I want microblading done so bad","2017-07-27 20:38:31"
890671216100466689,1,0,"@dpboynton @BrandonMHaley Y'all❤️","2017-07-27 20:32:20"
890387391311163392,8,0,"Oh I won't get a suite on a beach somewhere by myself this weekend. Bet.","2017-07-27 01:44:31"
890384135637872641,1,0,"@WayneZach Holy shit if this isn't dyl idk what is","2017-07-27 01:31:35"
890380565886750725,18,3,"Holy shit how did I waste so much time on friends that turned into shitty ppl.","2017-07-27 01:17:24"
890351701915512833,2,0,"@D_Cowan45 @BrandonMHaley Lmfao I ain't no damn nurse😂","2017-07-26 23:22:42"
890351380623486978,0,0,"@D_Cowan45 @BrandonMHaley What? Lol","2017-07-26 23:21:25"
890334010060267521,1,0,"@BrandonMHaley I work for an orthodontist..","2017-07-26 22:12:24"
890322204675756041,7,0,"I ❤️ when patients walk in 15 mins before closing w an emergency. Rlly.","2017-07-26 21:25:29"
890317440000905218,5,2,"YESSSSSS https://t.co/IS5ivvXopN","2017-07-26 21:06:33"
890047194216136704,1,0,"@skaterwhale ✋🏼 that's my high five not a talk to the hand😂","2017-07-26 03:12:42"
890046741793435650,1,0,"@skaterwhale Oh😂 omg! Had the same thing happen to me before as well.","2017-07-26 03:10:54"
890046077965041665,1,0,"@skaterwhale Guess it's a good thing tho. Must be doing something right🙂","2017-07-26 03:08:15"
890019202408620032,3,0,"I'm living through my Pinterest life. I need it allllll.","2017-07-26 01:21:28"
890009746551574528,1,1,"Can't get enough","2017-07-26 00:43:53"
890007736859189250,1,0,"I love babies","2017-07-26 00:35:54"
890000213498372096,5,0,"One of my patients found me on fb &amp; messaged me bc her wire was poking her😂 I love what I do lmao","2017-07-26 00:06:00"
889945278178103297,4,0,"You'll never know how truly gross ppl are until you've worked in the dental field.","2017-07-25 20:27:43"
889887573560221696,2,3,"😂 https://t.co/7wmN9rANIu","2017-07-25 16:38:25"
889885777886404608,1,0,"😍😍😍😍😍 https://t.co/K7HH5tMG8W","2017-07-25 16:31:17"
889878153111490561,1,0,"@steph_genova Yes!","2017-07-25 16:00:59"
889868211520507904,3,0,"Holy shit I need to get away this weekend.","2017-07-25 15:21:29"
889828624429449216,0,0,"@Braxton_Lycans I'm actually craving dunkins now that we're talking ab it😂","2017-07-25 12:44:10"
889824270209224705,1,0,"@Braxton_Lycans I love dunkin hash browns so much!","2017-07-25 12:26:52"
889685343246659584,1,0,"@dpboynton @Jayy_barr 😂😂😂❤️","2017-07-25 03:14:50"
889683872526602242,1,0,"@ssae_x I totally agree w that. We can be chubby pasta eaters together🙂","2017-07-25 03:08:59"
889674979574517760,1,0,"@ssae_x Well I'm tweeting at you eating my leftover pasta that I had at lunch today if that says anything ab me😂","2017-07-25 02:33:39"
889669832198823936,3,0,"@ssae_x I do that on my good days..","2017-07-25 02:13:11"
889583691466506241,1,0,"😂😂 holy shit yes https://t.co/C7C9QQ06dK","2017-07-24 20:30:54"
889507943586181120,1,0,"@WayneZach @steph_genova Oh get outta here🙅🏻","2017-07-24 15:29:54"
889299108015599616,30,10,"Idk what it is ab sleeping in your mans shirts, but gahhh damn girls love that shit.","2017-07-24 01:40:04"
889281778057437184,3,0,"@dpboynton 😘 https://t.co/6R9cZ3aSHN","2017-07-24 00:31:12"
889277417721876480,3,1,"Ugh😍😍😍 https://t.co/BCEOsFHEev","2017-07-24 00:13:53"
889229268907167744,2,0,"Yes😂 https://t.co/XCYgNEpNsc","2017-07-23 21:02:33"
889157453589475329,11,0,"🙂 https://t.co/DGjVZTgpTB","2017-07-23 16:17:11"
888944932832116737,1,0,"@ssae_x I might need your help sometimes.🤷🏻‍♀️","2017-07-23 02:12:42"
888941646808797185,1,0,"@ssae_x Very true. I wonder ab him sometimes😂","2017-07-23 01:59:38"
888915512150851584,3,0,"@WayneZach @ssae_x Oh that's not acceptable","2017-07-23 00:15:48"
888913407080005632,4,0,"@ssae_x That's dyl. Smart boy😝","2017-07-23 00:07:26"
888471214326517760,1,0,"@D_Cowan45 @dpboynton Always🙄","2017-07-21 18:50:19"
888471035120635904,1,0,"@D_Cowan45 @dpboynton Come be our friend this weekend","2017-07-21 18:49:36"
888470891159408640,1,0,"@D_Cowan45 @dpboynton You're replaced❤️","2017-07-21 18:49:02"
888470823304126467,1,0,"@dpboynton See you soon bb😘","2017-07-21 18:48:45"
888470579430510593,8,1,"Absolutely https://t.co/8otBpaof8x","2017-07-21 18:47:47"
888461838341591040,3,0,"Totally not looking forward to this 2 1/2 hr drive to jax by myself","2017-07-21 18:13:03"
888446778399502336,0,0,"@steph_genova Yeah leaving right after work &amp; my dr apt lol","2017-07-21 17:13:13"
888438666129014784,1,0,"@steph_genova Come to jax","2017-07-21 16:40:59"
888080169105317888,2,0,"@steph_genova We got keepers🙂","2017-07-20 16:56:26"
888077919293190145,6,0,"😂🙌🏼 https://t.co/60SZeNv5ka","2017-07-20 16:47:30"
888053243229634564,2,0,"@BrandonMHaley @D_Cowan45 @WayneZach Waiting on you bb","2017-07-20 15:09:27"
887870381851389955,1,0,"@gage_138 😂😂😂😂 holy shit","2017-07-20 03:02:49"
887862325478395905,1,0,"Holy shit I wish I had someone to go to the gym w.","2017-07-20 02:30:48"
887850295291785218,3,0,"@D_Cowan45 I'm sad","2017-07-20 01:43:00"
887799856617721856,12,6,"My goal https://t.co/NLJ7kX102L","2017-07-19 22:22:34"
887778828470415364,53,25,"Never let anyone make you feel like you're not good enough bc one day you'll find someone better &amp; stunt on every fucker that did you wrong","2017-07-19 20:59:01"
887701295414554624,13,2,"Dyl knows I love sunflowers so he had them sent to my work today. Ugh❤️","2017-07-19 15:50:56"
887677228057845761,1,0,"@BrandonMHaley @steph_genova Shh our little secret","2017-07-19 14:15:18"
887676589651132416,1,0,"@BrandonMHaley @steph_genova Yes, yes you do B","2017-07-19 14:12:45"
887649514877845505,6,2,"All it took was a look, &amp; I was hooked","2017-07-19 12:25:10"
887484588930609157,1,0,"@dpboynton Omw😘","2017-07-19 01:29:49"
887482322504830976,25,8,"It's so hard to sleep alone when you get so used to sleeping next to someone else","2017-07-19 01:20:48"
887450118986899457,4,0,"Rachel McAdams is forever my fav actress.","2017-07-18 23:12:51"
887437105596686341,2,0,"Hahahahaha why am I psycho","2017-07-18 22:21:08"
887421719832559616,15,1,"I will never understand why some ppl drive w light bars on. So fucking gay.","2017-07-18 21:20:00"
887354642295906304,3,0,"@steph_genova Ha I wish","2017-07-18 16:53:27"
887315027019132928,2,0,"Yes https://t.co/5hy8d8ljqr","2017-07-18 14:16:02"
887133385994403840,5,0,"❤️ https://t.co/ctoAxMDasq","2017-07-18 02:14:16"
