"id","favorite count","retweet count","text","created at"
897928364413132800,0,0,"@brontevelez renee cox's work around fractals is so lovely!","2017-08-16 21:09:39"
897321993929981952,1,0,"00:00","2017-08-15 05:00:09"
896811392061378561,0,0,"@QUINTANACORTEZ me tooooooo!💞💞","2017-08-13 19:11:12"
896811335928999936,2,0,"@ricansaruhh @basi_ru he deserves all the awards 😭😭😭","2017-08-13 19:10:59"
896811231788531716,2,0,"@basi_ru @ricansaruhh LMFAOOOOOIOII","2017-08-13 19:10:34"
896742142470746115,0,0,"@ColeyXavier outside.","2017-08-13 14:36:02"
896740263443533827,1,0,"@ColeyXavier 10 away.","2017-08-13 14:28:34"
896740151375822848,0,0,"@QUINTANACORTEZ yes boo! stopping in chi first, but will b in madison tues.","2017-08-13 14:28:07"
896620698948579328,1,0,"up like i ain't bout to make this drive","2017-08-13 06:33:27"
896537366998810626,12,1,"i met my sister today!","2017-08-13 01:02:19"
896530174791045120,10,5,"life can change in a matter of seconds","2017-08-13 00:33:45"
896515360672800768,1,0,"@zuhwahdee yaaaaaaay!💞💞💞i think it's really funny!","2017-08-12 23:34:53"
896503372651646976,2,0,"@zuhwahdee naaahhhhhh you gotta see the show! claws is too good! like really good","2017-08-12 22:47:14"
896503179088736257,2,0,"WOW LIFE IS SO FUCKING BRAZY BRUH","2017-08-12 22:46:28"
896411923922776064,0,0,"sweet cheats in kirkwood is fuckin heaven!","2017-08-12 16:43:51"
896364204319547394,2,2,"if you are neutral in situations of injustice, then you have chosen the side of the oppressor. 
--desmond tutu.","2017-08-12 13:34:14"
896234518201454592,1,0,"what europe feels like https://t.co/a3YW4CpaVt","2017-08-12 04:58:55"
896222690440249345,1,2,"i don't talk shit, i'm on my shit","2017-08-12 04:11:55"
896123300572610560,0,0,"spaceghostpussy cuz traffik pissing me off","2017-08-11 21:36:58"
896120459565060096,0,0,"@sheranelamar 💚💚","2017-08-11 21:25:41"
896112004691144704,1,0,"@OWL1NDA thank you!!!!😭💕💕","2017-08-11 20:52:05"
896111514637053956,1,1,"ya know i been waiting on this one! @WillisTheLion 
/I BEEN ON DA HENNY TRYNNA DRIVE  https://t.co/DK3ZlUdqMH","2017-08-11 20:50:08"
896108211316457472,1,0,"@_DeniseSaidSo @AwwwAng mine too!!!! some peach cobbler a la mode!!! 🙏🏾🙏🏾🙀🙀🙀","2017-08-11 20:37:01"
896107887243612162,8,1,"wow we look so cute when we don't look mean as fuck 🌹🌹❤️ https://t.co/pwftSNI0sF","2017-08-11 20:35:43"
896107550394818560,1,1,"@ColeyXavier @_franvela OMGGGG BITCHHHH WHO TOOK THIS WOW 💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚","2017-08-11 20:34:23"
896091267167207424,0,0,"$ch8tta 💖 https://t.co/NRRQTqOQc0","2017-08-11 19:29:41"
896088678769975297,2,0,"lose those chains!","2017-08-11 19:19:24"
896083192993636352,4,1,"why is academia and academic language so intimidating i h8 this","2017-08-11 18:57:36"
896067915065065472,1,0,"@ricansaruhh WOW","2017-08-11 17:56:53"
