"id","favorite count","retweet count","text","created at"
897914685835669506,0,0,"chains on shining, you can see me riding","2017-08-16 20:15:18"
897910937084153856,0,0,"six flags the moves","2017-08-16 20:00:24"
897683411724324865,1,0,"@kcav_ https://t.co/3ZIQAe6ZVI","2017-08-16 04:56:18"
897662751987904516,0,0,"i swear to god this gets so old so fast it's annoying","2017-08-16 03:34:12"
897651490663346177,0,0,"all she want is payback for the way i use to play that shit","2017-08-16 02:49:27"
897644298807762944,0,0,"kel stole my cop im salty","2017-08-16 02:20:52"
897625953035268100,1,1,"NARUTO! THIS ISNT DEBATEABLE https://t.co/J7gLt0asFj","2017-08-16 01:07:58"
897623579197657088,0,0,"bother me, tell me awful things","2017-08-16 00:58:32"
897594599090290688,6,5,"running through the 7th w my woadies x bad and boujee, this is fire https://t.co/a3MuOlFqcG","2017-08-15 23:03:23"
897592585052618752,0,0,"isn't so convincing how that blade slide cross my throat","2017-08-15 22:55:23"
897590448700747777,0,0,"pluit put me on goldmask","2017-08-15 22:46:54"
897590031627563008,1,0,"ripppp","2017-08-15 22:45:14"
897566612374654976,0,1,"3rd period gonna be wild","2017-08-15 21:12:11"
897296590943252480,3,0,"why can’t i log in to snap","2017-08-15 03:19:12"
897291573184090114,5,6,"really just want something real for a change","2017-08-15 02:59:16"
897284029682155520,0,0,"insecure asl","2017-08-15 02:29:18"
897281450709569538,5,12,"since im not appreciated hmu","2017-08-15 02:19:03"
897275322416197633,0,6,"only reason im still here is cuz my mom","2017-08-15 01:54:42"
897263641065652225,7,10,"i done fell in love with a thottie, fuck","2017-08-15 01:08:17"
897220799261810688,0,0,"😍😍😍😍😍😍 https://t.co/xxIfMT89X6","2017-08-14 22:18:02"
897210070144098304,1,0,"@arispe_javier 💀💀💀💀","2017-08-14 21:35:24"
897209790748819456,0,0,"@nickirammirez :(","2017-08-14 21:34:18"
897208868991885316,0,0,"@naylamccraww_ i hate you","2017-08-14 21:30:38"
897202251676233728,0,0,"@adrivnnnn @connerpowers1 Me","2017-08-14 21:04:20"
897196316786388993,0,0,"I WANT COOL HEADER PICS","2017-08-14 20:40:45"
897179736421654529,1,1,"@sigvaldi @Yoidoljireh lil biitch","2017-08-14 19:34:52"
897167898027978752,1,0,"bro im dead","2017-08-14 18:47:50"
896905725695229953,1,0,"THOUGHT SHE WAS A KEEPER, BUH MY MANS HIT HER","2017-08-14 01:26:03"
896904633100017664,1,0,"@JacobChapaa LUV U CHAPA💘💘","2017-08-14 01:21:42"
896899706994995201,3,1,"I luv my choppa and I think she luv me?","2017-08-14 01:02:08"
896894021225852929,119,30,"kms&lt;3 https://t.co/xATJrFJMhM","2017-08-14 00:39:32"
896894015756419072,2,0,"juiced https://t.co/Yu88LPBYxG","2017-08-14 00:39:31"
896883635063840768,0,0,"add me on snap; brokeboyerik","2017-08-13 23:58:16"
896844007774531584,1,0,"@dedspotagency 👀👀","2017-08-13 21:20:48"
896811772220510208,0,0,"@CaileyCruz BYEEE","2017-08-13 19:12:43"
896811615521296387,1,2,"If u fw slim jims don't talk to me","2017-08-13 19:12:05"
896809621435928576,18,24,"once i get a car imma be a personal uber for all me friends😂","2017-08-13 19:04:10"
896807202790486018,1,0,"IM HAPPY AF https://t.co/15pSWqyxbg","2017-08-13 18:54:33"
896803618803900416,2,0,"people tell me slow my roll","2017-08-13 18:40:19"
896792897412091904,2,1,"With that fucking flow that sososo belittles men https://t.co/ICHRf027Ue","2017-08-13 17:57:43"
896776360248705025,0,0,"Moves?","2017-08-13 16:52:00"
896742178797604864,5,1,"my header cold🌨","2017-08-13 14:36:10"
896601926279852032,1,1,"happy birthday !💓 @813claudia","2017-08-13 05:18:51"
896592628464136192,9,7,"I’m such an anti social i hate myself","2017-08-13 04:41:55"
896591328737239040,1,3,"lonely","2017-08-13 04:36:45"
896583365343707136,2,1,"if you don't fw deathnote I don't fw u","2017-08-13 04:05:06"
896527481695600641,3,9,"Looks like I'm not going anywhere tonight🤧","2017-08-13 00:23:02"
896523424075362304,1,1,"Big fax https://t.co/IGAYILL1Ph","2017-08-13 00:06:55"
896507697129979904,2,2,"BRO FR OMG https://t.co/3DVaxxlZEh","2017-08-12 23:04:25"
896506277404213249,5,0,"But I ain't beat that case, bitch I went to jail","2017-08-12 22:58:47"
896487082113335297,0,1,"YEAH MY MANS HIT HER SO I GOTTA SWITCH HER https://t.co/wkfYpyLj1Q","2017-08-12 21:42:30"
896486434990850048,0,0,"Text me😁","2017-08-12 21:39:56"
896418351999848449,1,0,"Come over when you're sober","2017-08-12 17:09:24"
896413116233285632,0,0,"better off (dying)","2017-08-12 16:48:36"
896393939477028864,0,0,"I miss seth🙁","2017-08-12 15:32:24"
896393690939351042,0,0,"I &lt;3 MY CHOPPA","2017-08-12 15:31:24"
896393302584561664,1,1,"S/o cufboys for 300k","2017-08-12 15:29:52"
896381366497161216,32,37,"so I see we're lying today https://t.co/0w6GFGODkV","2017-08-12 14:42:26"
896230971502186496,0,0,"@trippiejx I DONT WANT IT","2017-08-12 04:44:49"
896223074785296384,6,0,"if i get raped tonight y'all know who it was","2017-08-12 04:13:26"
896197663150022657,48,52,"I could care less about anyone else, i want you and ONLY you","2017-08-12 02:32:28"
896194037463515136,3,1,"body bad on the stretcher","2017-08-12 02:18:03"
896192790060818435,0,0,"she said im insane","2017-08-12 02:13:06"
896133772369735680,3,1,"She extra af https://t.co/k0KdtfODQ2","2017-08-11 22:18:35"
896131318274154497,0,0,"I see this vid on my tl at least once a week https://t.co/seopbFtNTs","2017-08-11 22:08:50"
896099350878633985,15,18,"Can't afford to fall in love with you","2017-08-11 20:01:48"
896095693667840000,0,0,"don't call me fam, we are not kin","2017-08-11 19:47:16"
896092185484967936,0,0,"who trynna do something today🤧","2017-08-11 19:33:20"
896070557493370880,0,0,"heard you gotta cheaper price for that reader huh?","2017-08-11 18:07:23"
896065891007315968,0,0,"My girllll baaaddddddd","2017-08-11 17:48:51"
896065817783095296,2,1,"@jackson_lee01 @playboypruett Issa date💖💓💕💞","2017-08-11 17:48:33"
896065728532537344,0,1,"Buurrrrrr https://t.co/aoGoWeLvp9","2017-08-11 17:48:12"
