"id","favorite count","retweet count","text","created at"
897785808316502016,0,0,"This is me and Leslie but we usually get Waffle House to go and talk about in bed @ her house lol https://t.co/gTVA24X5EI","2017-08-16 11:43:11"
897785284364050432,1,1,"Honest to god it's the best feeling https://t.co/VpSR3a3s89","2017-08-16 11:41:06"
897179117124190210,1,0,"If your fucking up your senior year it hurts no one but yourself. Y'all sound stupid .","2017-08-14 19:32:24"
896926763716153344,0,0,"I always miss people when I know I can't see them 😞😞😞 my bff is in Texas I sad","2017-08-14 02:49:39"
896920652749426688,1,0,"Your eyelash glue https://t.co/MzvN6IXgki","2017-08-14 02:25:22"
896920056637956096,0,0,"@g_lessliee ME 😂😂😂😂😂 https://t.co/Ma16utPTzu","2017-08-14 02:23:00"
896919511785406465,0,0,"I don't really give a fuck about y'all lil bitchs, but I got mah mum LMFAO https://t.co/ERP8uNjXC6","2017-08-14 02:20:50"
896577215315533826,0,1,"😬😬😬 https://t.co/qNv4LBNYBJ","2017-08-13 03:40:40"
896576291238928384,1,0,"Honestly https://t.co/VJnLOZMN5i","2017-08-13 03:37:00"
896259512235175936,0,0,"The first time my parent ever let me go out alone I came home at 3 am I was 15 https://t.co/RoJj6syPs1","2017-08-12 06:38:14"
895805588235538432,0,0,"This time will be good to me. I know it.","2017-08-11 00:34:30"
895088352508100610,1,0,"@g_lessliee you always tryna give homeless dudes our food https://t.co/y9upQ0u7HD","2017-08-09 01:04:27"
895088016183656448,1,0,"So ready for mah next tattoo","2017-08-09 01:03:07"
895015487914070017,0,0,"@SOMEXlCAN My tia Mary lmao","2017-08-08 20:14:55"
894733616743305216,0,0,"!!! https://t.co/jofTJEhR5G","2017-08-08 01:34:52"
894634797926158337,1,0,"LMFAO back when jose used to sell weed he used to say we couldn't go no where cause someone always needed I H8 y'al… https://t.co/iI4TNgBFNa","2017-08-07 19:02:11"
894401953442279424,0,0,"All mah friends r ded","2017-08-07 03:36:57"
894381187350888448,0,0,"@jennyxfurr Yes bih","2017-08-07 02:14:26"
894331704852316161,3,0,"Am I the only person who hasn't shopped for shit for school like honestly prolly the only thing Im gonna get is mah crocs LMFAO","2017-08-06 22:57:48"
893781998338277376,0,0,"Nigga who raised you? ah nigga with a pussy how disgraceful lol","2017-08-05 10:33:28"
893781275315712001,0,0,"Eventually everyone gets tired of getting put through the same shit.","2017-08-05 10:30:36"
893631754891907073,0,0,"@g_lessliee me https://t.co/yvtwk5cCR5","2017-08-05 00:36:27"
893631697778069504,0,0,"Me as fuck https://t.co/J9ThrMfGzy","2017-08-05 00:36:14"
893547691984244736,1,0,"LMFAO Jenny sent me this and it's literally me https://t.co/VzRfJONCR9","2017-08-04 19:02:25"
893312654898606080,0,0,"@daniielazam Shet you right I stupid lmao","2017-08-04 03:28:28"
893312146922143744,0,0,"Can't waittt till my brothers home wow","2017-08-04 03:26:27"
893312005804871681,0,0,"@daniielazam your *","2017-08-04 03:25:53"
893311838733160448,1,0,"Knowing damn well I ain't driving home Saturday night gots me ready to mf gooo","2017-08-04 03:25:13"
893311440182009856,0,0,"@daniielazam Ok daddy long legs","2017-08-04 03:23:38"
893310660515426304,0,0,"@daniielazam Ready for what, ?¿","2017-08-04 03:20:33"
892209335090204674,0,0,"LMFAO I H8 us https://t.co/SGhG1h4KIc","2017-08-01 02:24:16"
892209293616873477,0,0,"You pregnant ? https://t.co/NrkQoHi37m","2017-08-01 02:24:06"
891761476842795011,0,0,"Amen ! https://t.co/dWexWNVcdG","2017-07-30 20:44:38"
891736640485564417,0,0,"I just bought 4 two days ago, smh same https://t.co/oOukkxxnd5","2017-07-30 19:05:57"
891515679601459200,1,0,"Happy birthday to the girl I miss most in my life, I hope god continues to bless her everyday ❤️☝🏼 https://t.co/mqLdi8C7mn","2017-07-30 04:27:56"
891347715136917506,0,0,"It don't hurt like it used to 🤙🏼","2017-07-29 17:20:30"
891292646861402112,0,0,"!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! https://t.co/LMWGL0QqnB","2017-07-29 13:41:41"
891171023135137792,0,0,"Mejor sola que mal acompañada.","2017-07-29 05:38:23"
891167427211534336,4,1,"Forgot what it felt like to be alone .","2017-07-29 05:24:06"
891136575635116032,1,0,"LOUDER FOR THE BITCHS IN DA BACKKK https://t.co/jJ1rKcMACo","2017-07-29 03:21:30"
891133228072960001,0,0,"Not real friends, if they leave 👏🏼 https://t.co/TbqR0yXUUq","2017-07-29 03:08:12"
891132525053128704,0,0,"Lesson learned , things/People that we think are blessing, aren't always that. I tired I really did. Fuck it/you .","2017-07-29 03:05:25"
891132306492141570,3,1,"Once you end something toxic, it hurts you inside but it's life, people aren't worth it. You gotta do shit for yourself.","2017-07-29 03:04:32"
890400185976860672,1,0,"Me @ all you bitchs Including mah sisters https://t.co/3S6uhPxnwU","2017-07-27 02:35:21"
890380073135681536,0,0,"@daniielazam Bet","2017-07-27 01:15:26"
890379660701433856,0,0,"@daniielazam Your so stupid danni 😂🙃😂","2017-07-27 01:13:48"
890377093648969728,1,0,"Me lastnight cause i was like "" wyd tonight "" and he was like "" you "" 🤒❤️ https://t.co/g6x1UDoJy1","2017-07-27 01:03:36"
890376788085534720,0,0,"I'm crying https://t.co/7HXfWcE3rO","2017-07-27 01:02:23"
889364759350566913,0,0,"@g_lessliee Touch you're nose","2017-07-24 06:00:56"
889221416096288769,0,0,"We didn't move on, we stop moving","2017-07-23 20:31:21"
889220032907051008,0,0,"I love Leslie but sometimes I wish she knew how to roll blunts","2017-07-23 20:25:51"
889215707090759681,1,1,"@Queenbonnie__ IM SSYIN LMAO","2017-07-23 20:08:40"
889214036788879361,2,0,"😂 https://t.co/Jwwj6YZ0jF","2017-07-23 20:02:01"
888650176109346816,1,0,"Id give up anything in a heart beat just to have you home 🤧damn b. Imysm https://t.co/R3kIw2Qm9j","2017-07-22 06:41:26"
887866835961618432,1,0,"I did what I could 🤷🏽‍♀️","2017-07-20 02:48:44"
887519232090681344,1,0,"@g_lessliee TOLD U LMFAO","2017-07-19 03:47:28"
887014282847809538,0,0,"Yuh https://t.co/YAxqSTSfVh","2017-07-17 18:20:59"
886625553591267329,0,0,"I wanna kms rn wow my head","2017-07-16 16:36:19"
886443198909992960,1,0,"WOOOOEFDDDRD https://t.co/AybkWId2Pg","2017-07-16 04:31:42"
886425788454666242,1,0,"Seeing people happy is what makes me happy people I love ya feel","2017-07-16 03:22:31"
886425682657595392,0,0,"Asi nomas https://t.co/wXZxpvAj0a","2017-07-16 03:22:06"
886343733343649796,1,0,"Rt https://t.co/QUDh3wCMWP","2017-07-15 21:56:28"
886280308366225408,0,0,"Do we still take this when shits on fire or ?? https://t.co/mjLFftwSjJ","2017-07-15 17:44:26"
886276224963817472,0,0,"LMFAOOO US @g_lessliee https://t.co/e1DrVgU2Nv","2017-07-15 17:28:12"
886013981139374080,1,0,"Bro yes . https://t.co/KHhMkDPXPX","2017-07-15 00:06:09"
886013415738703872,0,0,"@daniielazam o","2017-07-15 00:03:54"
886013376840781824,0,0,"BRO GET WITH IT OR GET FUCKING LEFT.","2017-07-15 00:03:45"
885523437418156033,0,0,"@g_lessliee Bitch u","2017-07-13 15:36:54"
885518621023375363,0,0,"@g_lessliee Oh yeah that's why YOUR the reason we lost it last time smh","2017-07-13 15:17:46"
