"id","favorite count","retweet count","text","created at"
"id","favorite count","retweet count","text","created at"
897890260146958337,0,0,"@Alexandrarianna Are you done being a sex offender?","2017-08-16 18:38:14"
897890053480894464,0,0,"@Alexandrarianna #lawyered","2017-08-16 18:37:25"
897889409374326784,0,0,"@Alexandrarianna THAT'S EVEN WORSE","2017-08-16 18:34:51"
897889178075189248,0,0,"@Alexandrarianna Why are you looking at 10 year olds' ass'","2017-08-16 18:33:56"
897829773719867392,1,0,"@MeganRestivo So you're going to have a better hair day. Salty beach hair is the sexiest of hair","2017-08-16 14:37:53"
897818783963914240,0,0,"@J_Tina_37 @Megaabear @C_Yartymmm @sabellico16 This could use a comma or two","2017-08-16 13:54:13"
897818483119009793,0,0,"@J_Tina_37 @Megaabear @C_Yartymmm @sabellico16 Your Chipotle must be bland because of all of the salt you're using","2017-08-16 13:53:01"
897809864382185473,0,0,"@EMTC_ The only pop tarts that should be frozen are hot fudge sunday","2017-08-16 13:18:46"
897808177298890752,1,0,"@Sammfrancis @kpannz @heatherrrrlynn @samanthadoris_x @lexwaslike This is getting mushy real quick","2017-08-16 13:12:04"
897568147833843714,0,0,"@AlexBarry9 This is cute","2017-08-15 21:18:17"
897555756307931138,4,0,"@crehage @NinaKayyXXX @FVKME 11/10 recommend shakeshack, ironically they have a little dog menu","2017-08-15 20:29:02"
897549726186446853,1,0,"@lmScampi @MissJuliaKelly You left out how you made that curve into a straight line","2017-08-15 20:05:05"
897535732230782976,3,0,"@lexwaslike Disappointment fetish?","2017-08-15 19:09:28"
897535529096536066,1,0,"@alyssanichele Kicked her out the rolly said thanks a lot","2017-08-15 19:08:40"
897227618046668800,1,0,"@Lexie__Maier Swishasweets","2017-08-14 22:45:08"
897222646420602881,0,0,"@Lexie__Maier Swishahouse","2017-08-14 22:25:23"
897198537263415300,2,0,"Balls, masterbate, jizz https://t.co/4a33HRgfBi","2017-08-14 20:49:35"
897197136135290881,0,0,"Who else is going to Mets Yankees on Thursday?","2017-08-14 20:44:01"
897058713139384320,0,0,"Probably should've gotten stitches if a wound is still not healed after a month","2017-08-14 11:33:58"
896909417035255808,0,0,"@belll96 @dor5ey","2017-08-14 01:40:43"
896735551105191936,1,0,"@charliepelk Yours truly Austin post is one of my favorites as well","2017-08-13 14:09:50"
