"id","favorite count","retweet count","text","created at"
897535891236958208,1,0,"um no offense but the bnha season 2 op is so FUCKING GOOD HOLY SHIT","2017-08-15 19:10:06"
897515393211928576,2,0,"i've been watching more videos from what's happening in VA and i feel so hopeless how can people literally hate so much and so forcefully","2017-08-15 17:48:39"
897508265130688513,1,0,"@cannaqueer I CANT WAIT TO SEE UR ART OMG I AN SO EXCITED!!!!!!!","2017-08-15 17:20:19"
897458684158234624,1,0,"sad bc i don't get to see my gf Immediately after i get off work 😤","2017-08-15 14:03:18"
897445201991659522,7,0,"yes i did take the last apple juice in the whole store no i do not feel bad i love apple juice","2017-08-15 13:09:44"
897252451493048322,1,0,"@cannaqueer i literally knocked my piece over and the slider hit the table first it's been a Long Day","2017-08-15 00:23:49"
897209128371802112,1,0,"@int3ns3 COME VISIT ME I MISS YOU","2017-08-14 21:31:40"
897201071927566336,2,0,"rip to my slider and also to me bc i hate smoking dry","2017-08-14 20:59:39"
897172743678033921,1,1,"no offense but when is @int3ns3 gonna come visit me in fl","2017-08-14 19:07:05"
897075791216902144,5,0,"a julien baker song came on at work and someone asked if it was paramore","2017-08-14 12:41:50"
897037921357885440,6,4,"mmm yes.... waking up sad... the most important meal of the day......","2017-08-14 10:11:21"
896892721058787328,0,0,"anyone wanna listen to my talk about my gf im feelin gay","2017-08-14 00:34:22"
896892541483728896,1,1,"who shot my fucking kitkat https://t.co/UsLrsGdslR","2017-08-14 00:33:40"
896890832678039552,2,0,"@Friarstone i'm loving this. for my 21st bday i wanna go to epcot and drink around the world. i love disney","2017-08-14 00:26:52"
896706627512016899,1,0,"@sanguinaccio STOP LET ME GO BACK TO THE TIME BEFORE I READ THIS","2017-08-13 12:14:54"
896424263510630405,1,0,"@cannaqueer i added u!","2017-08-12 17:32:53"
896170523469766656,10,2,"me when customers threaten to call corporate: bet","2017-08-12 00:44:37"
896163145122578432,2,0,"@tiddlywig omg bless u","2017-08-12 00:15:18"
896155127014346752,1,0,"my nostril piercing was pierced too far forward for me to wear a ring i wanna cry THATS THE WHOLE REASON I GOT A NOSTRIL PIERCING","2017-08-11 23:43:26"
896062287580078083,0,0,"honestly i have no clue what i'm gonna do when i have to move back in with my parents just talking to them makes me depressed","2017-08-11 17:34:32"
896041913379323906,0,0,"@evaanneliese this isn't a meme it's fanart get it together #otp #kaginu #truelove https://t.co/fflpom8inL","2017-08-11 16:13:34"
896041132752343040,0,0,"@evaanneliese NO!!!!!!!!!!!!!!!!","2017-08-11 16:10:28"
896041094105800709,0,0,"@evaanneliese NO","2017-08-11 16:10:19"
895994893826445312,1,0,"can't wait to go home get high as fuck and die","2017-08-11 13:06:44"
895819318990123008,2,0,"i miss learning so much i'm considering taking my old enviro sci text book out of storage to read it","2017-08-11 01:29:03"
895807888530087936,0,0,"got harassed at costco by this man who thought i stole his parking spot how about y'all","2017-08-11 00:43:38"
895422179780816896,8,1,"things we need: washer dryer two in one 
things we have: trump threatening nuclear war over twitter","2017-08-09 23:10:58"
895398611437191168,2,0,"anyone got any tips on actually saving money when u live pretty much paycheck to paycheck","2017-08-09 21:37:19"
895350277162897415,2,0,"when my gf texts me https://t.co/UG2SgLlnoj","2017-08-09 18:25:15"
895092279744057344,1,0,"so glad my gf finally found god! https://t.co/QKy95ppJab","2017-08-09 01:20:04"
895065744060403712,1,0,"eva just hid my pants keys n phone in various places around their room and told me ""hot/cold"" when i was looking for it. who's kid is this","2017-08-08 23:34:37"
895052870776758274,2,0,"@cannaqueer i ate so much mashed potatoes once i thought i was gonna throw up but really it was just the worst burp of my life","2017-08-08 22:43:28"
894951271433740288,1,0,"@tiddlywig ovmgndkslgkks omg stop u and eddie are THE CUTEST I DIE EVERY DAY","2017-08-08 15:59:45"
894943265371426817,2,1,"@mascspice just told me to smell their fingers bc they ""smelled like fries"" and then shoved their fingers in my nose","2017-08-08 15:27:56"
894943079798636545,1,0,"@tiddlywig OMG ITS A JOKE HAHAHAHA","2017-08-08 15:27:12"
894890166917013504,5,1,"so i'm single again https://t.co/9DrXqAeU6Y","2017-08-08 11:56:56"
894625495391887360,0,0,"CHUG-A-LUG SOME GO-GO JUICE","2017-08-07 18:25:14"
894413199914782720,2,0,"i have to wake up in like 5 hours but i'm laying in bed eating bread and drinking dark chocolate almond milk....... choices","2017-08-07 04:21:38"
894348020732579842,1,0,"i wanna hang out w my gf not scrape dried mocha off the counters at work","2017-08-07 00:02:38"
894327516223111170,0,0,"🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️","2017-08-06 22:41:10"
894319517333168128,3,0,"feel sorry for this lady 2 scared to use the """"""men's"""""" restroom at work bc bitch im POOPIN","2017-08-06 22:09:23"
893898994333745153,1,0,"@cannaqueer i've also used diet sweet tea before and the melted ice from and iced soy chai omg","2017-08-05 18:18:22"
893893449572917248,3,0,"what's happening? bout to fill my bong w tea bc i have no water in my car how about y'all","2017-08-05 17:56:20"
893655108516552705,2,0,"i just want my gf to get off work so they can feel how fuckin soft my hair is rn","2017-08-05 02:09:15"
893573607363883009,0,0,"holy shit who else has seen what the health","2017-08-04 20:45:24"
893534625192189952,3,0,"partners from different stores are like...... cousins they're ur StarbucksCousins","2017-08-04 18:10:30"
893533651190910976,0,0,"@predictablygay my phone things eva's house is my house bc im there so often so","2017-08-04 18:06:38"
893487525335113728,1,0,"me, thinking i got off at 11: i'm not as suicidal as i could be 
me, now that i know i'm working until 1 and NOT 11: i am the Most suicidal","2017-08-04 15:03:20"
893414817507180545,0,0,"didn't even get $300 on this paycheck lmfao i love crying first thing in the morning","2017-08-04 10:14:25"
893253794238214144,2,1,"@mascspice  https://t.co/bwenjMNy1K","2017-08-03 23:34:35"
893252920422150144,13,0,"ur theycrush thursday  #lgbtbabes  🌈💞 https://t.co/yqrhdwkjh5","2017-08-03 23:31:06"
893236113036410881,1,0,"how to replicate my online personality so all my gfs friends don't think i'm weird as fuck when i meet them","2017-08-03 22:24:19"
893233856245092353,1,0,"@lindsaylurins OMG THAT IS SO AWESOME!!!!! I AM SO PROUD OF U (also jealous that u have NO MORE MATH that's so fucking tight)","2017-08-03 22:15:21"
893229835509805058,5,0,"‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️… https://t.co/F4nk8bfnMO","2017-08-03 21:59:22"
893165362400960512,3,0,"SUCKIN TITTY BY THE OCEAN","2017-08-03 17:43:11"
892890161339670529,0,0,"@gIoccamorra i am too Weak for nitro the most ill do is 2 ristretto i am a small caffeine baby","2017-08-02 23:29:38"
892868526687608832,1,0,"@mikaelafml don't want to","2017-08-02 22:03:40"
892865088876683264,1,0,"@commiespice capricorn","2017-08-02 21:50:00"
892776851575361540,1,0,"i wrote my pronouns by the schedule so these bitches get the fucking memo","2017-08-02 15:59:23"
892776560499011585,1,0,"i work at starbucks and all i drink when i'm here is the fucking apple juice boxes those things are so good","2017-08-02 15:58:13"
892503770315280385,0,0,"@longisIandmom my 7y/o cousin looked at me then at my mom and said ""that's a girl right""","2017-08-01 21:54:15"
892408346128646148,1,0,"@mascspice","2017-08-01 15:35:04"
892408287165132801,16,1,"national gf day y'all knew this was coming 🌈🌈🌈❤️❤️❤️❤️💞💞💞💞💞💞💞🌈🌈🌈🌈🌈🌈 #NationalGirlfriendDay https://t.co/RKmBhnc1R0","2017-08-01 15:34:50"
892099988431544322,0,0,"kinda wanna go sleep in my car for an hour","2017-07-31 19:09:46"
892056434862698496,0,0,"crying about school in my car this is healthy right this is what college is supposed to make you feel ??? CRY ???","2017-07-31 16:16:42"
892015604114305025,6,0,"eva itched their armpit and then immediately touched my hand so if anyone wants a new girlfriend i'm single now","2017-07-31 13:34:27"
891824645451677697,0,0,"ok i am so excited for new rick and morty omg","2017-07-31 00:55:39"
891644106895699968,2,0,"my mom called me at work and i answered bc i thought it would be fun but she called to tell me my uncle died so now i'm crying lol","2017-07-30 12:58:15"
891511819071836160,1,0,"hey idk if i told y'all but if u got art i wanna fuckin SEE IT I LOVE ART SHOW ME EVERYTHING","2017-07-30 04:12:35"
891477351929925632,2,0,"wow i'm not even high anymore but the concept of sound is really fucking me up right now","2017-07-30 01:55:38"
891476442877485056,1,0,"watched this lady walked across the parking lot to return her cart to the thing when there was one literally right next to her","2017-07-30 01:52:01"
891463270506344450,1,0,"i love sleeping. love it","2017-07-30 00:59:40"
891399888558333954,0,0,"i started watching this doc abt coral bleaching but now i'm just crying bc the planet is literally dying and people are ignoring it","2017-07-29 20:47:49"
891236236337319936,0,0,"don't @ me but for the past three days everyday has been monday. it's all monday.","2017-07-29 09:57:31"
891235785336389632,0,0,"damn not even 6am and i already hate myself it's gonna be a good day folks","2017-07-29 09:55:44"
891052100293144576,2,1,"@mascspice  https://t.co/foSHED8gU0","2017-07-28 21:45:50"
890990080176861184,0,0,"@cannaqueer @thesleepyspud ME TOO","2017-07-28 17:39:23"
890920739913613312,1,0,"an angry duck almost flew into my car when i rolled the window down and didn't have bread for it","2017-07-28 13:03:51"
890745523904425989,4,0,"this was such a good purchase (not included: the rolling papers they sent me in the package) https://t.co/Z1AsMTvfZk","2017-07-28 01:27:36"
890738528438693888,2,0,"EVA IS BULLYING ME","2017-07-28 00:59:48"
890323761018408960,3,0,"IM INTRODUCING MY GF TO STAR WARS I CAN DIE HAPPY","2017-07-26 21:31:40"
890304969177518081,3,0,"excuse me weed cookie it's been an hour please come over","2017-07-26 20:17:00"
890279182281912321,12,1,"this is inky he weighs 18.47 pounds and i love him https://t.co/Z44ydJLnIQ","2017-07-26 18:34:32"
890210671706746885,1,1,"@mascspice here u go https://t.co/ZqSCrK5I7V","2017-07-26 14:02:18"
890203690791038976,0,0,"hey folks pls fucking tw suicide thanks","2017-07-26 13:34:33"
890154058933313536,1,0,"not being at work for a few days and then coming back makes me so anxious don't ask why i apparently don't make the rules anymore","2017-07-26 10:17:20"
889979050218926080,1,0,"i do this w half the tweets i think of damn glad i'm not the only one https://t.co/n8e6OAW2Ex","2017-07-25 22:41:55"
889970826132566016,2,0,"if i'm ever sad i just remember that smidleys dog milk follows me back on ig and suddentky everything is ok again","2017-07-25 22:09:14"
889917087304609794,0,0,"i'm too ugly to be awake goodnight","2017-07-25 18:35:42"
889880351887282176,1,0,"@thesambowling hi i miss you","2017-07-25 16:09:43"
889870325659426817,0,0,"thinking abt how i'm literally going to be in the car another 7 hours makes me want to die i'm so FUCKING TIRED OF DRIVING WHY DIDNT WE FLY","2017-07-25 15:29:53"
889829631079133184,5,0,"i typed in home in my maps to see what time i would maybe get back but my gfs address popped up instead of mine","2017-07-25 12:48:10"
889667965897105408,0,0,"i am OVERWHELMINGLY GAY!!!!! :'-)","2017-07-25 02:05:46"
889667338374705153,0,0,"@mascspice die","2017-07-25 02:03:17"
889622645767122945,3,1,"LMAO y'all check out this message i got on tumblr (the last time i posted about weed/being high was may 25) https://t.co/Z77rEVOoF2","2017-07-24 23:05:41"
889579881536868352,5,0,"my uncle just pulled a MINIMUM of 12g out of his pocket and now he's rolling a joint in front of everyone. wow this really is my family","2017-07-24 20:15:46"
889574162016194560,0,0,"i love losing things","2017-07-24 19:53:02"
889563411067146240,2,0,"WHO GOT THAT DREAM DADDIES DOWNLOAD LINK THO","2017-07-24 19:10:19"
889560353490821120,0,0,"i don't know who i am anymore this is awesome 😎","2017-07-24 18:58:10"
889559534741708800,0,0,"@trixiemattel will you be at the tampa show for war on the catwalk!!!!? 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻👀👀","2017-07-24 18:54:54"
889545105450946560,1,0,"@cannaqueer have u considered: eating my ASS IM SO JEALOUS","2017-07-24 17:57:34"
889545007841107968,0,0,"the restaurant my dad is getting lunch from has veggie burgers https://t.co/1Cbln92Hfo","2017-07-24 17:57:11"
889521578232434689,2,1,"um i love ? being gay","2017-07-24 16:24:05"
889511364582137858,0,0,"ok i fucking hate houma i want to go home !!!!! someone teleport me back to naples with 10g of weed in my pocket","2017-07-24 15:43:30"
889510845427965952,0,0,"most of the weight i've lost is bc my family will offer me shit and i'll get angry and say i'm not hungry and just suffer lmao","2017-07-24 15:41:26"
889510517601165312,0,0,"i'm so hungry and my family keeps offering me shit they KNOW I DONT LIKE/DONT EAT i'm gonna scream","2017-07-24 15:40:08"
889310924229816320,0,0,"dunno why i'm such a little bitch but it's only 9:30 and i'm already excited to go to sleep the second i get home","2017-07-24 02:27:01"
889309953189715969,3,0,"this one deserved its own post #NewOrleans https://t.co/XK9GWKZEt8","2017-07-24 02:23:10"
889278532597276672,1,0,"good ol' nola https://t.co/GahWwIApCb","2017-07-24 00:18:18"
889143020670636033,1,0,"@mascspice https://t.co/CSyvMTC8X7","2017-07-23 15:19:50"
889136327182233601,0,0,"wow i really am the dumbest bitch alive","2017-07-23 14:53:14"
889132834597871622,0,0,"shoutout to not being able to do the literal 1 (one) thing i wanted to do on this trip :-)","2017-07-23 14:39:21"
888976085765033984,1,0,"🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉💛💛💛💛💛💛💛💛💛💛💛🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈 https://t.co/7IgobaUwAx","2017-07-23 04:16:29"
888910635307814912,1,0,"like....... fuck off ? sorry you don't have Impeccable music taste like me and don't understand that Lots of things can SOUND like something","2017-07-22 23:56:25"
888910410807742465,6,0,"i said whatever music my cousin was playing sounded like pop punk and he then proceeded to try and mansplain what pop punk Actually is","2017-07-22 23:55:31"
888863169774366720,5,0,"#NewProfilePic https://t.co/LVCJZVpIyd","2017-07-22 20:47:48"
888858872374603776,1,0,"@commiespice omg my family just passed my phone around the table so everyone could see the pics","2017-07-22 20:30:44"
888857926919761920,0,0,"anyone got tips on how to Actually be helpful and not annoying lmao","2017-07-22 20:26:58"
888854566535655424,2,0,"anyone wanna give me a brain that works and doesn't just draw a fucking blank all the time fuck","2017-07-22 20:13:37"
888799019773853696,1,0,"i did my makeup and im still ugly????? who do i sue? my parents for giving me an unhealthy self image","2017-07-22 16:32:54"
888606235188178944,1,0,"drk bry","2017-07-22 03:46:50"
888543228231921664,1,0,"@cannaqueer OMG U LOOK ??? SO GOOD EXCUSE ME","2017-07-21 23:36:28"
888543191527559169,5,0,"me deciding to steal this cat from my aunts house https://t.co/CmBILLQ8E9","2017-07-21 23:36:19"
888505973438074881,1,0,"hi i miss u https://t.co/MGw8lmnzlo","2017-07-21 21:08:26"
888504630400962560,0,0,"hey reply w ur Best memes","2017-07-21 21:03:06"
888465673114005504,4,0,"the cousin closest to my age here Also smokes i would like to thank god and jesus and the skunk ape living in this backyard","2017-07-21 18:28:18"
888419012819996672,5,1,"how to explain to 10+ family members at once that you love them but need to smoke 100 blunts a day to be around them","2017-07-21 15:22:53"
888211083089063936,1,0,"no more interaction today i'm closed!!!!!!!!!","2017-07-21 01:36:39"
888203246694739969,1,0,"google searches how to stop being so goddamn fucking annoying","2017-07-21 01:05:30"
888162619789541379,3,0,"@thesambowling @RhiannonRoselle i love my parents","2017-07-20 22:24:04"
888162333742202881,1,0,"i got no drafts u either succeed or u run away in defeat","2017-07-20 22:22:56"
888116665069707264,3,0,"my aunt legit just said most mental illness is because of demonic possession HELP","2017-07-20 19:21:28"
887993085392814081,2,0,"kitty wouldn't let me get close but i hope he knows i still love him https://t.co/eI77oF4YAQ","2017-07-20 11:10:24"
887991531482828801,6,0,"since i stopped eating meat i've noticed that literally everywhere is OBSESSED with meat. what the fuck","2017-07-20 11:04:13"
887987911572033536,1,0,"i wanted to come out to my parents but they started giving me shit about how i label my sexuality so guess that's not happening","2017-07-20 10:49:50"
887852337179578368,3,0,"i haven't seen my gf in 5 hours SOS I MISS THEM","2017-07-20 01:51:07"
887850543955267584,4,0,"me annoying my cat i LOVE YOU ZITA https://t.co/bzk0uwr6G6","2017-07-20 01:43:59"
887840550157783041,1,0,"ik i'm going to louisiana for a sad reason but if i don't get my goddamn beignets i'm gonna be pissed","2017-07-20 01:04:17"
887610916388438016,3,0,"i had to wake up at 5:15 this morning and honestly this is the most homophobia i've ever endured in my life","2017-07-19 09:51:48"
887349301898301441,3,0,"legit haven't spoken to my cousins in 5 years how weird would it be to ask them if they smoke and will they smoke me up when i'm there","2017-07-18 16:32:14"
887329661381947396,0,0,"@mentholmartyr literally next time we all hang eva and i will bring their art shit it's SO FUN","2017-07-18 15:14:11"
887115077974978561,1,0,"@sanguinaccio everything so far by pinegrove like the whole album","2017-07-18 01:01:31"
887011805796683777,1,0,"how to not cry in the back room when you think about how much happiness ur missing out on bc ur too broke to see ur friends","2017-07-17 18:11:09"
886995344453718017,1,0,"@mentholmartyr @mascspice @thesambowling OMG YES WE WILL TRY AND GET OVER THERE ASAP!!!!!!!!","2017-07-17 17:05:44"
886741352431669248,1,0,"@longisIandmom ITS GONNA BE MY JOB TO PUNCH YOU","2017-07-17 00:16:27"
886741301529628672,1,0,"@longisIandmom GOD like when ppl come in and r like ya i want x drink and it's secret menu and we're like aight wha… https://t.co/eUxIUxMj7K","2017-07-17 00:16:15"
886720773305634817,1,0,"@mentholmartyr when i ask ""ok anything else"" i'm literally asking customers to please order ANYTHING ELSE BESIDES A FRAPPUCINO","2017-07-16 22:54:41"
886718665051295744,7,1,"next time, before you order a frappucino, ask yourself if you're willing to carry the hate of the bar partner forced to make your drink","2017-07-16 22:46:18"
886714426006622208,8,0,"me thinking abt my gf https://t.co/CcsmHt2LxI","2017-07-16 22:29:28"
886666921441144832,0,0,"i will give anyone every penny to my name to fucking kill me already","2017-07-16 19:20:42"
886645087719084032,0,0,"sorry (x700000000000000000)","2017-07-16 17:53:56"
886389716375015424,0,0,"@gIoccamorra holy shit i have to find it","2017-07-16 00:59:11"
886384604344614912,4,1,"if i could talk to anime i would tell it i love it","2017-07-16 00:38:52"
886375779591958529,2,0,"MY FAV CHILDHOOD BOOK IS BEING MADE INTO A BEAUTIFUL MOVIE IM SO EXCITED https://t.co/qrDhtL5zuK","2017-07-16 00:03:48"
886371044143091713,0,0,"ok i. love bnha ? i'm so glad i'm rewatching it i love my son deku","2017-07-15 23:44:59"
886345346124849152,6,4,"i just wanna die how bout y'all","2017-07-15 22:02:52"
886327754416947200,1,0,"oh i'm awake guess it's time to be anxious again cool","2017-07-15 20:52:58"
886207928755261440,0,0,"i have one burning question for @KimChi_Chic : what's ur fav anime","2017-07-15 12:56:49"
886207603059167233,0,0,"@longisIandmom ITS NOT GOOD SHIT TO PUT IN UR BODY PLS B SAFE!!!!","2017-07-15 12:55:32"
886196824947793923,0,0,"@longisIandmom it's really fucked up ""you will die"" (eva)","2017-07-15 12:12:42"
886196461108690944,1,0,"what the fuck is shadow banned","2017-07-15 12:11:15"
886196075979255809,0,0,"@longisIandmom NO DONT DO IT","2017-07-15 12:09:43"
886090800882470912,0,0,"@thesleepyspud @mascspice  https://t.co/da0hzoUHis","2017-07-15 05:11:24"
886089504242757633,1,0,"@thesleepyspud @mascspice YEAH A REALLY COOL HAT","2017-07-15 05:06:15"
886069710898573312,2,0,"getting vegan baileys drunk and watching moana it's a Good Night","2017-07-15 03:47:36"
886062036131737604,8,0,"What's Happening? https://t.co/pPQu4EXMr7","2017-07-15 03:17:06"
885992537164480512,1,0,"i don't think i've ever bought something so fast https://t.co/NghF1gjtSH","2017-07-14 22:40:56"
885974974535794689,0,0,"can i stop fuckin my body up unintentionally","2017-07-14 21:31:09"
885862745534603268,2,0,"@longisIandmom DUDE @mascspice and i found these at WALMART (but in fl)","2017-07-14 14:05:11"
885857769181544449,2,0,"getting high to two birds was the Best decision i could have made thank you @trixiemattel","2017-07-14 13:45:25"
