"id","favorite count","retweet count","text","created at"
897927457185124356,0,0,"@ordvnary_ @ohhhhyes_ 🤷🏽‍♀️ok","2017-08-16 21:06:03"
897927061024714752,0,0,"@ordvnary_ @ohhhhyes_ Quit the acting mami🤦🏾‍♀️","2017-08-16 21:04:28"
897926697005219841,0,0,"@ordvnary_ @ohhhhyes_ You not even gay bro 🤦🏾‍♀️","2017-08-16 21:03:01"
897919248307277825,0,0,"😂😂😂 https://t.co/rd3uQ6pn7F","2017-08-16 20:33:25"
897917715314331648,1,0,"Oh fuck that https://t.co/cdP1kXGK01","2017-08-16 20:27:20"
897914999162777600,0,0,"How my man gonna act when I catch him flirting he gon blame the girls 😂 https://t.co/VkKpThQQqe","2017-08-16 20:16:32"
897842980006088708,0,0,"Wtf Nash it's too early 🤦🏾‍♀️ https://t.co/wcjZew7TNN","2017-08-16 15:30:22"
897715522200117248,0,0,"Wait wait ...what fans tho😂???? https://t.co/Kjfjp5oH7G","2017-08-16 07:03:53"
897686752554606596,17,8,"If I ever had you, I can have you again.... I just don't want you🤣!","2017-08-16 05:09:34"
897685168143642625,2,0,"Da army way 😊🌹🤞🏽","2017-08-16 05:03:16"
897684882129907713,2,0,"Blessing to god man my life going great","2017-08-16 05:02:08"
897684804577234944,1,2,"@dydy_bear 💀💀","2017-08-16 05:01:50"
897666501418811392,1,0,"I miss Yaya mannnn😭","2017-08-16 03:49:06"
897666260896333824,4,0,"Realist on the team, everytime we link up hoes swear they us😂❤️  @LittleCoc0_ https://t.co/UkNw20bZKP","2017-08-16 03:48:09"
897601467271524353,1,0,"WTF💀 https://t.co/0U9MuLxCh4","2017-08-15 23:30:41"
897459632788185088,3,1,"My happiness man 😭❤️ https://t.co/AMsXng7sJC","2017-08-15 14:07:05"
897458815054073861,0,0,"MMEEEE😂😂😂HAHAHAH https://t.co/VL7VuZVdwN","2017-08-15 14:03:50"
897447782524502017,1,1,"😂😂😂 https://t.co/Fpoask33De","2017-08-15 13:19:59"
897440680443879424,0,0,"👎🏾 https://t.co/NFIQ6T3Ytd","2017-08-15 12:51:46"
897312483848966145,1,0,"@ohhhhyes_ Always and forever 🤞🏽❤️🌹","2017-08-15 04:22:22"
896599807560646656,1,0,"@youngfab_ You got a girl now congratulations","2017-08-13 05:10:26"
896598290531328000,1,0,"@youngfab_ 👀","2017-08-13 05:04:25"
896598171299848192,1,0,"Mood https://t.co/T9jyK2Zqx9","2017-08-13 05:03:56"
896451574955999233,0,0,"Mines is getting it idc🤣❤️ https://t.co/4uFgwcycMj","2017-08-12 19:21:25"
896451468705882112,1,0,"Since I moved on you've been trying you're hardest to make me want you again. Haha tables have turned on you🤣","2017-08-12 19:21:00"
896414227551969280,0,0,"💀 https://t.co/IV8oNem1GN","2017-08-12 16:53:01"
896413573190176773,5,1,"All I do is show conditional love, and get nothing but betrayal in return","2017-08-12 16:50:25"
896410723097751552,0,0,"Men are trash af still","2017-08-12 16:39:05"
896410522131853312,0,0,"Fuck you https://t.co/cv9xOhcOX2","2017-08-12 16:38:17"
896408549043077120,2,1,"Not I Ima be mad af and already sleep https://t.co/e3R3hNqZI6","2017-08-12 16:30:27"
896408437281738753,6,1,"No disrespect but yo mom..👀😅...is blessed in every way https://t.co/AEDwmSJ64N","2017-08-12 16:30:00"
896408164672950275,0,0,"@ordvnary_ Cause if I suck on it people take it the wrong way 🤦🏾‍♀️","2017-08-12 16:28:55"
896408052580184066,3,0,"Hm🤔 https://t.co/T8nZPwMMAC","2017-08-12 16:28:28"
896407376500330496,0,0,"I'm sorry https://t.co/8HcZWL90JV","2017-08-12 16:25:47"
896407295189426176,1,0,"You don't feel like it...bet","2017-08-12 16:25:28"
896400175756959744,0,0,"Wait a minute..y'all already that comfortable to do the ""Lingerie stage""..nvm I can't judge only god can💀 https://t.co/G1sB1pbPJg","2017-08-12 15:57:10"
896398803263266817,1,0,"Mbn lol https://t.co/77Q8qsBUw5","2017-08-12 15:51:43"
896396970956398593,0,0,"Me af https://t.co/8l0P93tK6i","2017-08-12 15:44:26"
896396567497900032,0,0,"If you owe me money I'm coming for it this week","2017-08-12 15:42:50"
896246359673761792,1,0,"I'm tired of acting","2017-08-12 05:45:58"
896245666200133632,0,0,"Oblivious 🤣","2017-08-12 05:43:12"
896244450619424768,0,0,"21 speaks facts tho","2017-08-12 05:38:23"
896228196898787328,1,1,"Different perspective from now on.","2017-08-12 04:33:47"
896227574053048321,1,0,"Now I remember why I don't go through people's phones.","2017-08-12 04:31:19"
896219173415776256,0,0,"@Ambstate_ 😂😂😂wtfff","2017-08-12 03:57:56"
896121947083243520,0,0,"HOW I really feel https://t.co/c1hH4NXipc","2017-08-11 21:31:35"
895884140888731648,3,0,"Tattoos ain't that bad","2017-08-11 05:46:38"
895718924385492992,0,0,"@DashieXP Scp or the original fnaf","2017-08-10 18:50:07"
895718105359540225,1,0,"Meps on Tuesday 😅","2017-08-10 18:46:52"
895679207908552704,0,0,"Actually maid-sama would be #3","2017-08-10 16:12:18"
895678893276975104,0,0,"Hellsing
Corpse princess 
Tokyo ghoul
High school of the dead
The black Butler https://t.co/refRuqHpM3","2017-08-10 16:11:03"
895677910828417024,1,0,"Because I'm going to the army I had to take out my nipple piercings 😩🤧😭","2017-08-10 16:07:09"
895508225071689729,1,0,"This nigga did not just ""huh"" me nigga you heard me 😴","2017-08-10 04:52:53"
895471882765467650,3,2,"I hate arguing mane","2017-08-10 02:28:28"
895457218941796352,0,0,"@youngfab_ Yes","2017-08-10 01:30:12"
895445337225252864,0,0,"@COLDGAMEAMONEY I just need a cover up","2017-08-10 00:42:59"
895444105056186368,0,0,"Any cheap tattoo artists in Killeen ?","2017-08-10 00:38:05"
895130480416370688,0,0,"If. One. More .mf. Send me anything that pertains to paul I stg. LEAVE ME ALONE I DONT CARE ABOUT WHO HE FUCKING OR WHAT HE DOING so save it","2017-08-09 03:51:51"
895010824300974080,0,0,"A man who takes his time to help you through life when you have nothing is a man you should want rather than a man… https://t.co/cCICmeG61r","2017-08-08 19:56:23"
895010302009507841,0,0,"Bitch suck it up you owe him everything you a fucking lawyer that means he sent yo ass through law school which ain… https://t.co/AucwNZlzFy","2017-08-08 19:54:19"
895006547612508160,0,0,"These are legends stop it https://t.co/s0YJje9jou","2017-08-08 19:39:24"
894959318575058944,27,5,"I'm India born in 99 &amp; saved. I'm often misunderstood and judged. God is my advocate and always has been 🤘🏽… https://t.co/Gyb69Qb9ua","2017-08-08 16:31:43"
894955008969646081,0,0,"I like how it reminds me of crash bandicoot https://t.co/QFFMV5TMdC","2017-08-08 16:14:36"
894810244693536768,0,0,"16????? https://t.co/r2Xc5BDbQT","2017-08-08 06:39:21"
894806892022816768,0,0,"Oh god 🤤😅 https://t.co/Jx1DzZSM8G","2017-08-08 06:26:02"
894806653274648576,0,0,"You are so real omg I need u in my life 😂😭 https://t.co/559OylAu0c","2017-08-08 06:25:05"
894806045167669248,0,0,"@BwaAdam I'm clearly with myself 🤣❤️","2017-08-08 06:22:40"
894805948027555840,0,0,"@BwaAdam Been doing that lol","2017-08-08 06:22:17"
894803454165737472,0,0,"@BwaAdam Lol all not finna debate this .","2017-08-08 06:12:22"
894801283344998400,0,0,"Men aren't shit period","2017-08-08 06:03:45"
894800062349545472,0,0,"Haha but I was crazy 🤣 https://t.co/gupvjBfNat","2017-08-08 05:58:54"
894751546100948992,0,0,"Yeah cause I'm full of shit my eyes be running while I take a shit cause ion give af tbh https://t.co/LCV8LSiyUB","2017-08-08 02:46:06"
894750747123785730,0,0,"@God https://t.co/bp0f6ZTCIS","2017-08-08 02:42:56"
894750135430725634,0,0,"@ordvnary_ Lol you won't let me date u so 🤦🏾‍♀️","2017-08-08 02:40:30"
894700227780780032,0,0,"😂 https://t.co/2K0peH7VSo","2017-08-07 23:22:11"
894700118250672128,0,0,"How my daughter and husband bond going to be like https://t.co/gyZvQ6vmq7","2017-08-07 23:21:45"
894690264068931584,0,0,"Frrrrr https://t.co/0UoeLvybBZ","2017-08-07 22:42:36"
894667766875148288,0,0,"@ordvnary_ Man you stay on games so I'd expect you to lol","2017-08-07 21:13:12"
894666971001667591,0,0,"2k 18 for my lil boo😌","2017-08-07 21:10:02"
894665850107478016,1,0,"@pinkyeezys Man really thooo","2017-08-07 21:05:35"
894665770604441601,1,0,"@ddanh__ 😝😝😝❤️","2017-08-07 21:05:16"
894600839020630018,5,0,"Just got a call from a recruiter😅 #thearmyway","2017-08-07 16:47:15"
894596047217070082,0,0,"I'm really in love ahaha","2017-08-07 16:28:13"
894285395852230656,1,0,"Yoo there's this girl with a big ole booty at my job rn and lordt 👀😅","2017-08-06 19:53:48"
894085185658126336,0,0,"@ddanh__ Lemme siii","2017-08-06 06:38:14"
894084936369668097,0,0,"Me on December 20th https://t.co/KXWSAo08wV","2017-08-06 06:37:14"
894083706427723776,0,0,"@12kJason Your point is no longer accepted. Have a good night Jason 😌","2017-08-06 06:32:21"
894082943727042562,0,0,"@12kJason lol see men are evil all they do is laugh at women for being all for them","2017-08-06 06:29:19"
894081845675130881,0,0,"@12kJason All men are toys lets be real 😂","2017-08-06 06:24:57"
893971049435594753,1,0,"@LittleCoc0_ I miss you tooo baby 😭😭❤️❤️❤️","2017-08-05 23:04:42"
893969487409631232,0,0,"Man this must be God😭","2017-08-05 22:58:29"
893933020545253377,0,0,"#SDCC2017 if only I could go 😭","2017-08-05 20:33:35"
893931746387009536,0,0,"😂😂😂 https://t.co/hGXC9POjEs","2017-08-05 20:28:31"
893931506791583744,2,0,"Lol why is it really like this 😅😂 https://t.co/pVpRYZ0gLH","2017-08-05 20:27:34"
893908599201779712,0,0,"Man if this ain't true https://t.co/88IC3pSDgS","2017-08-05 18:56:32"
