"id","favorite count","retweet count","text","created at"
893031310217715712,0,0,"until now iniisip ko pa rin kung kakilala ko ba yung lalaki sa bus kahapon na nagsabi na tumatambay na ako. 

lol sino ka haha daming weirdo","2017-08-03 08:50:30"
892374817457848320,5,0,"na sAKIN PA RIN ANG HULING HALAKHAK BWAHAHAHAHAHA https://t.co/0hO9kAst9v","2017-08-01 13:21:50"
890578938598047745,0,0,"@TheHugFairy thank you😭","2017-07-27 14:25:39"
890561808221601792,0,0,"y0ko na,, huuuu","2017-07-27 13:17:35"
890561685190098944,0,0,"masaya ako kasi di ko na kailangan sumulong sa ulan, di ako masaya kasi walang baon : (","2017-07-27 13:17:06"
890560088678715394,0,0,"i'm feeling mixed emotions about this huhu","2017-07-27 13:10:45"
890559691478126592,0,0,"so bale two days lang napasukan ko kasi nagkaroon ng SONA, rest day plus suspension bukas HAHAHAHAH","2017-07-27 13:09:10"
889491429038346240,3,0,"will you hold me tight and not let go?","2017-07-24 14:24:17"
889462131061473280,0,0,"may pasok na ulit bukas yoko na jOKE","2017-07-24 12:27:52"
889460747717103616,1,0,"first time ko kinabahan sumakay ng motor dahil sa'yo HAHAHAHA @_trshlayyy","2017-07-24 12:22:22"
888049092068204544,1,0,"@_trshlayyy same haha","2017-07-20 14:52:57"
888048331926061058,2,0,"uy asan ka na","2017-07-20 14:49:56"
888002067259768832,2,1,"hirap magtipid at the same time magpataba HAHAHAHAHA","2017-07-20 11:46:05"
888000615883747328,2,2,"pwede bang saturday na agad bukas HAHAHA","2017-07-20 11:40:19"
887999976034271233,0,0,"@_trshlayyy bakitttt","2017-07-20 11:37:47"
887999523477364736,1,1,"@justineangela__ ganda naman ❤","2017-07-20 11:35:59"
886235462456664064,0,0,"15 minutes paaa","2017-07-15 14:46:14"
886164568438824960,0,0,"di ko alam pero gusto ko pa ring uminom ng malamig kahit isang ubo na lang ako HAHAHA","2017-07-15 10:04:31"
885491932780154884,0,0,"pleh","2017-07-13 13:31:43"
885490056961576960,0,0,"cant help it, sorry","2017-07-13 13:24:15"
885489271460683776,1,0,"this is exactly what i feel rn https://t.co/xdLjo3gXYU","2017-07-13 13:21:08"
885103555270410241,1,1,"@justineangela__ hahahahahahahahahahahah mukha ba akong napabayaan? hahahahha","2017-07-12 11:48:26"
885102987684716546,0,0,"handa akong makipagbugbugan kahit nilalagnat na ako HAHAHAHAHA","2017-07-12 11:46:11"
885087735479926785,1,0,"isang ubo na lang talaga HAHAHA buti walang pasok bukas","2017-07-12 10:45:34"
885087405547679748,1,0,"@chekaynah shek ingat ka dyan HAHAHAHA","2017-07-12 10:44:16"
884017190176870400,0,0,"gusto ko pumasok ng maaga kaso nakakatamad HAHAHAA","2017-07-09 11:51:37"
884016006573637633,0,0,"@Raheym_ tagos na tagos hahaha","2017-07-09 11:46:54"
884015295895003136,0,0,"@Raheym_ grabe sakit naman niyan hahaha : (","2017-07-09 11:44:05"
884013023001628675,13,0,"⚠ https://t.co/IXNuRr89xT","2017-07-09 11:35:03"
881868457393897476,0,0,"zark's please","2017-07-03 13:33:19"
881616285108387840,0,0,"gusto ko pang matulog : (","2017-07-02 20:51:16"
878399371833782274,0,0,"HAHHAHAHHAAHAHHAHA kunwari okay lang","2017-06-23 23:48:24"
878398389989261313,1,0,"@JanKman HAHAHAHAHAH OMG RELATE NA RELATE AKO KAHAPON AHAHHAHAHA","2017-06-23 23:44:30"
878048973809897472,1,0,"hays chang wook :( https://t.co/ZNyZXjI8JZ","2017-06-23 00:36:03"
869140811509776384,10,0,"nah https://t.co/ZaYeINhGuH","2017-05-29 10:38:11"
869138150991384576,0,0,"sick","2017-05-29 10:27:37"
856707904727941120,1,1,"@justineangela__ grabe naman yung tinitigan huhu","2017-04-25 03:14:16"
855747466964082690,4,0,"my squishy lil baby 💘 https://t.co/r048OAw31Z","2017-04-22 11:37:49"
855746188028428288,0,0,"kainis ka jongsuk : ( https://t.co/tg1G5wfuQO","2017-04-22 11:32:44"
855736313516924928,1,1,"@justineangela__ tinago ko na nga eh nakita mo pa rin : ( HAHAHAH","2017-04-22 10:53:30"
855732753408692224,0,0,"i love you berry much 🍓 https://t.co/QqgXbi8Qku","2017-04-22 10:39:21"
855062773893521408,0,0,"@lrnjaz thank u jazzy!! 😭","2017-04-20 14:17:06"
855061637111336960,0,0,"@lrnjaz uy jazzy 😍","2017-04-20 14:12:35"
855061084239085568,7,0,"ew https://t.co/tYUn75bmp5","2017-04-20 14:10:23"
