"id","favorite count","retweet count","text","created at"
897857245857361920,5,0,"open for a surprise https://t.co/DbhuHCAOtn","2017-08-16 16:27:03"
897609799126405120,0,0,"@itsJayceejo THANK U","2017-08-16 00:03:47"
897585556972072960,6,0,"hey https://t.co/CaDTZSpuKq","2017-08-15 22:27:27"
897549947951869952,0,0,"why does this fish have 4 human teeth on top https://t.co/8l4lDHNss5","2017-08-15 20:05:57"
897548894376210432,5,3,"if u let a guy change who you are, and ruin u to the point where u don't know who u are anymore, then stay away from relationships period","2017-08-15 20:01:46"
897547208278638599,0,0,"@t_flynn64 my right wrist!","2017-08-15 19:55:04"
897547009137291264,0,0,"@t_flynn64 that's so good to hear 💚","2017-08-15 19:54:17"
897538083620630530,0,0,"don't use big words and try to be all fancy. dumb it down","2017-08-15 19:18:49"
897538027840577536,0,0,"okay someone tell me what and when the eclipse is","2017-08-15 19:18:35"
897506814954278912,0,0,"annoyed","2017-08-15 17:14:34"
897506597920002049,0,0,"y'all need jesus https://t.co/asT6YbmLQ2","2017-08-15 17:13:42"
897391286990274560,0,1,"why do 25 year olds still hang out with high schoolers","2017-08-15 09:35:30"
897239399687217152,3,0,"who's going w me to hold my hand while i get tatted thursday","2017-08-14 23:31:57"
896923848184131585,0,1,"i am scared to grow up....","2017-08-14 02:38:04"
896920479071698944,0,0,"did they really just use that stupid pandora commercial music for this . https://t.co/NeqowdrpSb","2017-08-14 02:24:40"
896912119106490370,0,1,"should i make a video of me sharing my story? i said i'd do it a while ago but i never got time.","2017-08-14 01:51:27"
896577086147702784,0,0,"just gonna keep moving forward :)","2017-08-13 03:40:09"
896577044104007681,0,0,"it's almost embarrassing to see that i used to look like that. thank God i'm changed.","2017-08-13 03:39:59"
896576490690707457,3,0,"that last tweet wasn't a joke. i'm dead serious. the Lord has brought me so far &amp; i am forever grateful. He cleaned me from the inside-out!","2017-08-13 03:37:47"
896576026922196992,0,0,"don't do drugs https://t.co/hWGrHTG3pK","2017-08-13 03:35:57"
896319510298447876,0,0,"@notmarianapier his momma came in so clutch 😩💯","2017-08-12 10:36:38"
896214985579393024,5,6,"https://t.co/0ZLnfuK8Yt","2017-08-12 03:41:18"
896212140239015937,0,0,"never call out some1 if you don't know whats going on in their shoes. maybe they have a hard time figuring things out. negativity not needed","2017-08-12 03:29:59"
896211226518323201,0,0,"no respect for that behavior 🙅🏻","2017-08-12 03:26:21"
896210922066333696,0,0,"if you got ""jesus lover"" or ""god first"" in your bio... don't be cussing like a sailor on social media. doesn't make any sense","2017-08-12 03:25:09"
896210513805398016,0,0,"bought an otter box from walmart today&amp;i thought it'd cover the mic on my phone making it hard for ppl to hear me but it dont. best purchase","2017-08-12 03:23:31"
896161188475752448,9,0,"""why are you always at aaron's house"" https://t.co/Snvt2DCSVn","2017-08-12 00:07:31"
896075077879451651,1,0,"if only you didn't drop your phone in the water when i tried to make plans w you 😭😂 https://t.co/mztfcH2qy6","2017-08-11 18:25:21"
895962807421816832,0,1,"i have the best boyfriend ever.","2017-08-11 10:59:14"
895852452737687554,3,0,"i watching this thinking she was cheating &amp; didn't know how to tell him, but then... 😭 https://t.co/eNJ6ZJweWF","2017-08-11 03:40:43"
