"id","favorite count","retweet count","text","created at"
897918616389042176,1,0,"@cory20201 Meh just be like https://t.co/Rmkco820e6","2017-08-16 20:30:55"
897918180185837568,1,0,"@0BurkeBlack0 Gettin ready for battle like https://t.co/YHuUFVCv4j","2017-08-16 20:29:11"
897641624976674822,0,0,"@Funky_Flubber This is exactly how I feel","2017-08-16 02:10:15"
897640410406940676,4,4,"OBS keeps crashing before I can even try to go live at this point looks like I'm going to have to reinstall no stre… https://t.co/H7IqAbpfJt","2017-08-16 02:05:25"
897603845488029696,1,0,"@RealFBalderdash @AshvauTweet @BigPapa165 @battle734 @_Pixistics @cbSeleste @Sidelinekiller @cory20201 You know it https://t.co/3Ys5Pym3sd","2017-08-15 23:40:08"
897603110318821376,1,0,"@AshvauTweet @BigPapa165 @battle734 @_Pixistics @cbSeleste @Sidelinekiller @RealFBalderdash @cory20201  https://t.co/yHDiUJUOPW","2017-08-15 23:37:12"
897567417458708480,1,0,"@Funky_Flubber @jordankrey1 @Ginger_coto @cgndotus @GameTechLV @beta_rage Ah gotcha","2017-08-15 21:15:22"
897560889888559105,0,0,"@Funky_Flubber @jordankrey1 @Ginger_coto @cgndotus @GameTechLV @beta_rage Really like them bro have to say the dark… https://t.co/qJfFw8AFRP","2017-08-15 20:49:26"
897536833315143680,1,1,"@CaduceusFawkes  https://t.co/gJ2hY7vngg","2017-08-15 19:13:51"
897451987712712704,2,0,"@TeamEmmmmsie @TheDooth The real Dag of the show https://t.co/0rMIpjPcul","2017-08-15 13:36:42"
897265894245769217,0,0,"They are working on it though https://t.co/7vatRd0XV1","2017-08-15 01:17:14"
897265405475028992,3,2,"Was going 2 do rando stream tonight but twitch having connection issues and I can't connect see ya tmrw… https://t.co/pdmQTeV9gQ","2017-08-15 01:15:17"
897241456619999232,21,1,"@HPE I'm just sayin https://t.co/FonmtuSkmo","2017-08-14 23:40:07"
897236666531950592,2,0,"@cory20201  https://t.co/BaIkJVEb4p","2017-08-14 23:21:05"
896638483107852288,1,0,"@cheddarmcdoogle Yes Sir Born and Raised","2017-08-13 07:44:07"
896541900106280962,2,0,"@AshvauTweet @BigPapa165 @ShamBamXX @Sidelinekiller @battle734 @_Pixistics @WildWestMMO Hell yeah cant wait to check it out","2017-08-13 01:20:20"
896518490022137856,1,1,"Life made for a crazy schedule this week No stream tonight I will be back streaming this Monday at my usual time ha… https://t.co/EBjpHxAWBT","2017-08-12 23:47:19"
896444954200952832,1,0,"@Funky_Flubber Few weeks for some I was lucky I gues only took a few days for mine","2017-08-12 18:55:06"
896420068090949634,0,0,"@AshvauTweet @iRampRuff @Tydriest @BigPapa165 Right","2017-08-12 17:16:13"
896418681315627008,2,1,"@AshvauTweet @iRampRuff @Tydriest @BigPapa165 Wow finally","2017-08-12 17:10:42"
896170435561304064,3,0,"No Stream tonight spending some time with the wife and working on a few things with the stream have a great Friday… https://t.co/sR2AEUxN79","2017-08-12 00:44:16"
896073433745735680,1,0,"@Funky_Flubber @beta_rage @anthonycoyne12 @cory20201 @GameTechLV @luvamal Respect Bro https://t.co/X0DomJU6kY","2017-08-11 18:18:49"
895998110207528960,7,0,"@PhitoNation @alittlenobody @iRampRuff @AshvauTweet @BigPapa165 @Sidelinekiller @ShamBamXX @WiltGaming @carmyab… https://t.co/s39vMPqB6w","2017-08-11 13:19:30"
895997565182889986,1,0,"@NotoriousWizP I'm 31 and will never stop https://t.co/Ek4Gvj8IMt","2017-08-11 13:17:21"
895825343872991232,4,6,"No stream tonight everyone working on a few things for the stream see ya all tomorrow #TeamEmmmmsie #teamssg… https://t.co/Rp9YJwiaxd","2017-08-11 01:53:00"
895808851265466368,1,0,"@AshvauTweet You got it bro be good to have you back https://t.co/6G7VqJIqBM","2017-08-11 00:47:28"
895728280887754753,1,2,"@battle734 @TwitchSharer @WE_RTs @ImLiveRT  https://t.co/AA0ijFoPad","2017-08-10 19:27:18"
895461326310342656,19,17,"Live https://t.co/oJIJW1RpHs #pubg @PUBGRetweet #TeamEmmmmsie #TeamSSG #SupportSmallStreamers @TwitchSharer @WE_RTs… https://t.co/L18awQVBHp","2017-08-10 01:46:31"
895322578528509952,1,0,"@warkeygamingtv @HyperRTs @RogueRTs  https://t.co/ujBhWTN9jD","2017-08-09 16:35:11"
895102532229267456,13,19,"Live https://t.co/oJIJW1RpHs @BDO_News #TeamEmmmmsie #TeamSSG #SupportSmallStreamers @TwitchSharer @WE_RTs Lets get… https://t.co/XjMu93SgMM","2017-08-09 02:00:48"
895074789915848704,0,0,"@BigPapa165 Happy Anniversary Bro https://t.co/d0ydTIt4iE","2017-08-09 00:10:34"
893980141650665472,5,5,"No stream tonight everyone not feeling well, gonna try and get some rest. Have a great evening everyone… https://t.co/YdXF9ViHgV","2017-08-05 23:40:49"
893633158691700737,5,5,"Hey y'all No stream tonight been a crazy day and I'm exhausted see y'all tomorrow Miss yo faces #TeamEmmmmise… https://t.co/VScQUEuND3","2017-08-05 00:42:02"
893629016955138048,2,0,"@birdyypwns @StryderOmega @PhitoNation @cheddarmcdoogle @AshvauTweet @death0fm3 @timrawgaming @iRampRuff… https://t.co/37oFg8LNoj","2017-08-05 00:25:35"
893628680756502529,1,0,"@PhitoNation @zombiexmuffinx @WarbreakerTV @kage63 @redsonja575 @letspokey @warkeygaming_tv @AshvauTweet… https://t.co/FZIt6UOx97","2017-08-05 00:24:14"
893627818466299904,2,1,"@cbSeleste @Lenke08 @Tydriest @silentkilla562 @arisunei @basttiiiaan @DrozZombie @S4M04NSL4Y3R @QueenOfPizzaxo… https://t.co/J3a58I8qZr","2017-08-05 00:20:49"
893292991208710144,9,11,"Live https://t.co/oJIJW1zOPU @BDO_News #TeamEmmmmsie #SupportSmallStreamers @TwitchSharer @WE_RTs Back to the grind https://t.co/kgMN8jn5yV","2017-08-04 02:10:20"
893255812801581056,1,0,"@the_smartsister  https://t.co/VpbBV7lgyZ","2017-08-03 23:42:36"
893254586559082500,0,0,"@TeamEmmmmsie Hey haters your Jealousy is showing https://t.co/uZnpFj9lNE","2017-08-03 23:37:43"
892924363808415746,1,8,"Live https://t.co/oJIJW1zOPU @BDO_News #TeamEmmmmsie #SupportSmallStreamers @TwitchSharer @WE_RTs 57 Striker Pirate… https://t.co/YV5WIVgGoO","2017-08-03 01:45:32"
892902162526851072,2,0,"@xXIBAM_BAMIXx @InsomniLAD @BigPapa165 @Sidelinekiller @AshvauTweet  https://t.co/6i7UWmjInC","2017-08-03 00:17:19"
892888769657004032,1,0,"@WildWestMMO Where are we on the first alpha access know it's only Aug 3 but you did say the alpha was targeted for… https://t.co/BSRcXfCGPd","2017-08-02 23:24:06"
892565731807809536,14,13,"Live https://t.co/oJIJW1zOPU @BDO_News #TeamEmmmmsie #SupportSmallStreamers @TwitchSharer @WE_RTs Grind to 58 Pirat… https://t.co/sKuKFuSLwr","2017-08-02 02:00:28"
892049118092197889,6,3,"Level 1&amp;2 Sub emotes have been approved and they look good too lol Level 1 Hype Level 2 is Rage https://t.co/pLiVI0QGYT","2017-07-31 15:47:37"
891465938381529089,3,1,"No stream tonight everyone spending some qt with the wife have a great weekend everyone https://t.co/i75SQsfY7Y","2017-07-30 01:10:17"
891115806200930304,15,14,"Live https://t.co/oJIJW1zOPU @BDO_News #TeamEmmmmsie #SupportSmallStreamers @TwitchSharer @WE_RTs On that Grind to… https://t.co/8hroXtwlmC","2017-07-29 01:58:58"
891012948583489537,2,0,"@GameTechLV  https://t.co/6KDCgWmduH","2017-07-28 19:10:15"
891005502645301248,8,4,"#FF @birdyypwns @GameTechLV @itsMistr_G @Sidelinekiller @WiltGaming @TheREALDippin @PhitoNation @cory20201… https://t.co/osMkV96LIz","2017-07-28 18:40:40"
890928673498558465,3,0,"@cory20201 @AshvauTweet @armedpoop @armorladis062 @Funky_Flubber @GameTechLV @theofficialGBB @Storm_Fox23… https://t.co/geLLaXhfs8","2017-07-28 13:35:23"
890927805462130688,3,0,"@birdyypwns @PhitoNation @StryderOmega @Kaiohhai @TheREALDippin @cheddarmcdoogle @AshvauTweet @BigPapa165… https://t.co/chOQjtF1YA","2017-07-28 13:31:56"
890924252815347714,1,0,"@PhitoNation @AshvauTweet @BigPapa165 @Sidelinekiller @ShamBamXX @carmyab @WiltGaming @cbSeleste @do_principessa… https://t.co/KUPp2Yfucm","2017-07-28 13:17:49"
