"id","favorite count","retweet count","text","created at"
897928334222344192,31,39,"I stuck around when no one else did","2017-08-16 21:09:32"
897920937256824832,0,0,"@awlexaa It's in Cali 😤","2017-08-16 20:40:08"
897746167357857792,0,0,"You are driven to succeed at work now and won’t allow mundane ... More for Pisces https://t.co/Yzx7MKfI4z","2017-08-16 09:05:40"
897699939949699072,24,5,"I'm stressed someone call me","2017-08-16 06:01:58"
897674180090580992,11,1,"Pretty baby https://t.co/x9KMtyR9Ci","2017-08-16 04:19:37"
897666968995713024,1,0,"@riojas_isabel Thank u","2017-08-16 03:50:57"
897648683579211777,0,0,"@Kaywalty5 Ily","2017-08-16 02:38:18"
897635919292977154,1,0,"@ovoscrapp I'm not into those","2017-08-16 01:47:35"
897624172901302273,12,3,"it's not what I want, it's just what I know I have to do","2017-08-16 01:00:54"
897623585107447809,67,47,"since I love you I gotta let you go","2017-08-16 00:58:34"
897538469232345089,44,13,"Being good gets me nowhere so maybe it's time to be bad?","2017-08-15 19:20:21"
897538373115686916,0,0,"I'd like to see Conor McGregor beat Floyd Mayweather. Cast your vote now! #MayMac365 https://t.co/00NgiATVr9","2017-08-15 19:19:58"
897537320370548736,1,0,"@lopez_kamryn Gives u an opportunity to meet new people","2017-08-15 19:15:47"
897537239546200065,14,6,"they just wanna use you","2017-08-15 19:15:28"
897534660070096897,1,0,"@xTyty68 Alright ty calmate","2017-08-15 19:05:13"
897498834611261440,3,1,"AN ICON https://t.co/wXWSHy4iIi","2017-08-15 16:42:51"
897495191967473665,1,0,"@cali_juring AHH 😰💀💞😤","2017-08-15 16:28:23"
897383758306750464,1,0,"You are driven to succeed at work now and won’t allow mundane ... More for Pisces https://t.co/Yzx7MKfI4z","2017-08-15 09:05:35"
897354215336673281,12,1,"Someone txt me(,:","2017-08-15 07:08:11"
897354090929324032,18,4,"I am home alone and this is annoying","2017-08-15 07:07:41"
897352501443391488,1,1,"Ouch","2017-08-15 07:01:23"
897350466073440256,89,110,"I always get sad at night lol","2017-08-15 06:53:17"
897335115101200384,76,72,"I could've avoided the pain but I would've had to miss the experience","2017-08-15 05:52:17"
897334121239900160,191,128,"Where do girls find men like this ?? https://t.co/qcb7spBA6x","2017-08-15 05:48:20"
897328196198313984,9,4,"Ft me","2017-08-15 05:24:48"
897328031630577664,5,1,"SO CUTE https://t.co/WWTkEmOc4T","2017-08-15 05:24:08"
897325797572321281,1,1,"@Nicolerussell01 BABY HI AW","2017-08-15 05:15:16"
897325712331468800,1,0,"@jadee_ella Thank u baby ilyyy","2017-08-15 05:14:55"
897320281949310976,88,50,"right person, wrong time","2017-08-15 04:53:21"
897281072588664832,17,4,"good to be back in sa","2017-08-15 02:17:33"
897021392549363712,2,0,"You are driven to succeed at work now and won’t allow mundane ... More for Pisces https://t.co/Yzx7MKfI4z","2017-08-14 09:05:40"
896940869852573696,43,44,"Omg I'm such a wreck rn","2017-08-14 03:45:42"
896827935277101056,5,2,"I feel attacked https://t.co/sOKsGENBC4","2017-08-13 20:16:56"
896809684132388864,27,17,"I'm such an insure ass person and I hate it so much","2017-08-13 19:04:25"
896805195019059201,2,1,"!!! https://t.co/ykv43f9vFE","2017-08-13 18:46:34"
896757549462106121,1569,1149,"If anyone's tryna dm me and get to this point feel free https://t.co/UTtgbANc04","2017-08-13 15:37:15"
896737482045358081,1,1,"Happy birthday to one of the most prettiest girls I follow, @lexdanielled have a good day baby 💖💞😭","2017-08-13 14:17:30"
896658975613235201,1,0,"You are driven to succeed at work now and won’t allow mundane ... More for Pisces https://t.co/Yzx7MJY7d1","2017-08-13 09:05:33"
896593514833649664,1,0,"That ** https://t.co/dpNgpwWgZA","2017-08-13 04:45:26"
896469257906683907,30,24,"I wish https://t.co/jwMnCKRGU7","2017-08-12 20:31:41"
896296590029107202,1,0,"You are driven to succeed at work now and won’t allow mundane ... More for Pisces https://t.co/Yzx7MKfI4z","2017-08-12 09:05:34"
896216038668455936,15,9,"Vent to me","2017-08-12 03:45:29"
896215494763708416,7,0,"!!!! https://t.co/iqfmWXN7MP","2017-08-12 03:43:19"
896215191117017088,1,1,"@alexaleal0 He knows who he is","2017-08-12 03:42:07"
896133474335064064,13,4,"Bro..... https://t.co/T2846TF8fD","2017-08-11 22:17:24"
896131185478295552,0,1,"@alexiisfayee I love u too baby","2017-08-11 22:08:18"
896111063158054912,4,0,"Id cuff tf outta him, he's so cute https://t.co/Rupx2ELywa","2017-08-11 20:48:21"
896103766755221504,132,135,"For fucking granted https://t.co/5TkjKgQYXK","2017-08-11 20:19:21"
895934242722521090,0,0,"You are driven to succeed at work now and won’t allow mundane ... More for Pisces https://t.co/Yzx7MKfI4z","2017-08-11 09:05:43"
895887118005714944,56,71,"Hit me the fuck up","2017-08-11 05:58:28"
895860249416138752,133,147,"Back on my sad shit lol","2017-08-11 04:11:42"
895858683015548928,2,2,"Lmao","2017-08-11 04:05:28"
895834216591749120,106,92,"All these upcoming scary movies make me wish I had a boo to watch them with 😢","2017-08-11 02:28:15"
895828606571741184,0,0,"@ErnesArthur Omg I love u","2017-08-11 02:05:58"
895770447832395776,1,0,"@ErnesArthur Ily","2017-08-10 22:14:52"
895769195094429697,87,31,"Do you ever like someone so much to the point where you're kinda scared to get hurt again so you just distance yourself? Bc same.","2017-08-10 22:09:53"
895722064446926848,2,0,"Idk y angelo subtweets me","2017-08-10 19:02:36"
895643900601413632,57,25,"you boys seem to disappoint me more and more everyday","2017-08-10 13:52:00"
895571892517478400,0,0,"You are driven to succeed at work now and won’t allow mundane ... More for Pisces https://t.co/Yzx7MKfI4z","2017-08-10 09:05:52"
895533410898370560,15,13,"Someone call me so I can fall asleep","2017-08-10 06:32:58"
895533095029534721,0,0,"@itslenhoe DM HER","2017-08-10 06:31:42"
895484001728823297,1,0,"@mikbelll Aww thank u","2017-08-10 03:16:37"
895478918660149248,1,1,"@noorgggggg I love u gf","2017-08-10 02:56:26"
895474339839176705,1,1,"@Nicolerussell01 I'm tryna","2017-08-10 02:38:14"
895473996195663874,80,84,"I have come to the conclusion that I'm ugly asf and I'm gonna die alone","2017-08-10 02:36:52"
895472895882874881,2,0,"@itslenhoe Bet 😤","2017-08-10 02:32:30"
895472714345058304,0,0,"@aye4clay 😢😢😢 my heart","2017-08-10 02:31:46"
895471872980209664,1,1,"@lopez_kamryn Says u😰","2017-08-10 02:28:26"
895470956373737474,0,1,"@alexiisfayee Hell yess 💓💖💓💖💖💞","2017-08-10 02:24:47"
895470780770914304,1,0,"@alexiisfayee 😰💓","2017-08-10 02:24:05"
895470754556502017,1,0,"@krystal_mc01 Ahh","2017-08-10 02:23:59"
895470724248416256,0,0,"@destinyxxross Ily des","2017-08-10 02:23:52"
895466938306048000,117,109,"Someone talk about me like this 😢😢😢 https://t.co/P08klQ0qoM","2017-08-10 02:08:49"
895351867882037248,17,3,"What's yalls favorite foods? I'm curious dm me","2017-08-09 18:31:34"
895323603893329923,50,36,"GOD I MISS HANNAH MONTANA SOOO MUCH 😭😭😭😭BRING IT BACK PLS https://t.co/L6BeTiEJxj","2017-08-09 16:39:16"
895318692879138817,21,1,"Honey is the prettiest girl out here Idc idc https://t.co/UrMNwqq35l","2017-08-09 16:19:45"
895209513329897472,1,0,"You are driven to succeed at work now and won’t allow mundane ... More for Pisces https://t.co/Yzx7MKfI4z","2017-08-09 09:05:54"
895177545989193730,19,6,"Fucking goals https://t.co/G17iykt8Wz","2017-08-09 06:58:53"
895128027746750465,1,0,"@alexiisfayee Stop Lexi I love you but u have Ramon 😰","2017-08-09 03:42:07"
895100900288737282,240,218,"If someone's tryna talk to me and not make me look stupid then hmu","2017-08-09 01:54:19"
895043026204209156,136,160,"I want new people to talk to ):","2017-08-08 22:04:21"
895008203372728321,1,1,"@sarahkeneedy So cute !!","2017-08-08 19:45:58"
894847075803742208,1,0,"You are driven to succeed at work now and won’t allow mundane ... More for Pisces https://t.co/Yzx7MKfI4z","2017-08-08 09:05:42"
894792722464337920,1,0,"@madisonlnae Thank u","2017-08-08 05:29:44"
894789558650490880,0,0,"@jaeindacut Aww","2017-08-08 05:17:09"
894785339415560192,3402,4022,"""Lets go eat"" https://t.co/1mDcooyPzg","2017-08-08 05:00:23"
894775823407992832,48,37,"Ya I'm not feeling that anymore","2017-08-08 04:22:35"
894774490806312960,1,1,"@ashleeeyrodz UR SO PRETTY","2017-08-08 04:17:17"
894758094550335491,0,0,"@ErnesArthur 😰","2017-08-08 03:12:08"
894757796956094465,0,0,"@destinyxxross So r u ):","2017-08-08 03:10:57"
894749869239185408,1,0,"@ashleeeyrodz FUDE THAT IS U","2017-08-08 02:39:27"
894749078323511296,1,1,"@destinycrystall I love u","2017-08-08 02:36:18"
894723980774359040,0,0,"@ErnesArthur 💓💓💓","2017-08-08 00:56:34"
894693968369172481,0,0,"@_dabney1 💖💖","2017-08-07 22:57:19"
894679977639018496,30,13,"if you ever need prayer or a friend to talk to dm me 💓","2017-08-07 22:01:43"
894676543347204096,2434,1076,"Fuck. I want this. https://t.co/0hX55AROjS","2017-08-07 21:48:04"
894666643837562881,0,0,"@seymour2498 Thank you😰","2017-08-07 21:08:44"
894666055905300480,0,0,"@seymour2498 They weren't that cute","2017-08-07 21:06:24"
894663316731080704,17,2,"I love suspenseful movies I just hate watching them by myself 😢😢😢","2017-08-07 20:55:31"
894663201832312832,0,0,"@seymour2498 Omg thank u so much 😢😢😢","2017-08-07 20:55:04"
894656824296718336,14,2,"Someone pls buy me this movie since Netflix is a bitch and decided to remove it thank you https://t.co/U5jBlqcPzj","2017-08-07 20:29:43"
894637722345775105,5,2,"AW https://t.co/PUhFHtrYzl","2017-08-07 19:13:49"
