"id","favorite count","retweet count","text","created at"
897902156187127809,0,0,"@MelissaThacker no","2017-08-16 19:25:30"
897892775110344704,25,1,"while packing for college i found my old nintendo ds games but NOT my nintendo ds and now packing for college has become looking for my ds","2017-08-16 18:48:14"
897267626245795841,11,3,"how do u just go and look good with bangs that's not fair","2017-08-15 01:24:07"
896733811622514688,37,11,"good morning; black lives matter","2017-08-13 14:02:55"
896388399094956032,1,0,"@J_R_Chapman thanks i kinda meant to rain on this tweet's parade but i think i accidentally added a float","2017-08-12 15:10:23"
896380064794890241,7,1,"fun fact all flowers are just weeds that we consider pretty enough to domesticize https://t.co/imFgvA3rm5","2017-08-12 14:37:16"
896094353550069760,0,0,"@ptltar the pt evolution","2017-08-11 19:41:57"
895901735641808896,0,0,"@madisenkuhn i am dum","2017-08-11 06:56:33"
895895851507359744,0,0,"@madisenkuhn only 10!????","2017-08-11 06:33:10"
895521257055281152,0,0,"@e76646e YO","2017-08-10 05:44:40"
895517998240468992,1,0,"@sampete1157 🙋🏻","2017-08-10 05:31:43"
894701394568953856,2,0,"@kxtyxn r u not........ a chicano girl....... without the hoops,,?,??","2017-08-07 23:26:49"
894701215493181441,1,0,"@matchu_merman good tweet","2017-08-07 23:26:07"
894325012722745346,29,0,"actually it'd be thi(c)^2 🙄 https://t.co/1KujEJ9Rtm","2017-08-06 22:31:13"
894287429645066241,29,0,"i just killed a spider that was in my bed with my bare hands and i have never felt more ready to live on my own","2017-08-06 20:01:52"
893842214685741056,2,0,"@kxtyxn yeah but they not tryna pay extra for it","2017-08-05 14:32:45"
893520488806395904,4,0,"trump sighting?! in front of the african american museum??","2017-08-04 17:14:19"
893297618419318784,6,0,"@AustinDame99 you're about to look back at this tweet n laugh in about two months","2017-08-04 02:28:43"
892272702223994880,45,1,"i wanna know who put me on the donald trump mailing list but most importantly i want to know who had the NERVE to t… https://t.co/kllLth9JzZ","2017-08-01 06:36:04"
891787294935592960,6,0,"my hair turned green but i rly want it to be blue but i don't want to dye it again and kill it again ://////","2017-07-30 22:27:14"
891421778030895105,6,0,"this is SO CUTE https://t.co/5qGHLnoCbL","2017-07-29 22:14:48"
891421557372968961,3,0,"colourpop needs to stop running deals i'm running out of money","2017-07-29 22:13:55"
891145310138978304,27,1,"this is the peak of my life https://t.co/ttpQu14ktB","2017-07-29 03:56:13"
891014720232271872,4,0,"https://t.co/B0vEZJhve7","2017-07-28 19:17:18"
890621053432729606,6,1,"@zoecolemanx do u just like call up an 800 number how do u do this i want in","2017-07-27 17:13:00"
890077667411857408,1,0,"@tjleaks :// nvm","2017-07-26 05:13:47"
890076028764385280,0,0,"@tjleaks i want the belcher family","2017-07-26 05:07:16"
890058495365611520,0,0,"@e76646e u good","2017-07-26 03:57:36"
889949878444593152,23,0,"tfw u risk it n try something new at starbucks and the risk doesn't pay off but u gotta drink it bc u just paid $5 for a drink","2017-07-25 20:46:00"
889627273325936650,3,0,"@andres_salerno i have a question and this is important: was the place an asian karaoke bar when the conspiracy to… https://t.co/WOkFAH1Bh2","2017-07-24 23:24:05"
889237378765922309,11,0,"who's jake paul","2017-07-23 21:34:46"
888785682201583616,1,0,"@joshispeachy aww ty!","2017-07-22 15:39:54"
888491221924151296,62,7,"me: i don't rly like green all that much
him: my favorite color is green
me: https://t.co/3Vvl3UMosV","2017-07-21 20:09:49"
888423969816293378,2,1,"@MackenzieCozort @marvelcamryn @elisabethnh that's right you need to win the electoral college","2017-07-21 15:42:35"
888271990573875200,8,0,"hi i've just been made aware of the crawdad emoji 🦐🦐🦐🦐🦐","2017-07-21 05:38:40"
888271892880031744,1,0,"@RatherEatRandyy CLEAN 💯🙏🏻👌🏻🔥","2017-07-21 05:38:17"
888175373002956801,5,0,"i'm ""rub my back instead"" https://t.co/SkEY41wKbL","2017-07-20 23:14:45"
887691114052022273,1,0,"@anabellquinn AHHHHHHH","2017-07-19 15:10:28"
887490124182945794,1,0,"@J_R_Chapman you are a joke tweet","2017-07-19 01:51:49"
887489597105725440,1,0,"@tjleaks @AustinDame99 your cat?","2017-07-19 01:49:43"
887194479043760128,19,1,"https://t.co/dv3l1bl9N9","2017-07-18 06:17:01"
886738735672549377,9,0,"https://t.co/SjEA7gltGq","2017-07-17 00:06:04"
886735538312630272,0,0,"!!!!!!!!!! https://t.co/OsUgHmUGBa","2017-07-16 23:53:21"
886643019793002499,1,0,"@kxtyxn @KearneysTweets what that's baloney you're taller than me","2017-07-16 17:45:43"
885762186907455489,2,0,"someone tell me why leave (get out) x jojo isn't on spotify","2017-07-14 07:25:36"
885562394281431046,4,0,"why does quentin tarantino look like that","2017-07-13 18:11:42"
885125125074505728,1,0,"@samejaynes you're in europe","2017-07-12 13:14:09"
884831124324847616,3,0,"guys i leave in 6 weeks","2017-07-11 17:45:54"
884593727620214788,7,0,"radiohead memes are my favorite memes","2017-07-11 02:02:34"
884586343581593610,6,0,"i still have not listened to despacito all the way through i'm so #blessed","2017-07-11 01:33:13"
884538397561430016,5,0,"@linsey_r_ if it goes blood it's a 🅱️apple","2017-07-10 22:22:42"
884490236650283008,7,0,"am i allowed to nonironically rt this and still keep my aloof brand? bc im doing it anyways https://t.co/N0tGbjiFCp","2017-07-10 19:11:20"
884216717832052736,1,0,"@tjleaks the perfect mood for a Depression Nap","2017-07-10 01:04:28"
884215939293696003,1,0,"@tjleaks i feel this so hard","2017-07-10 01:01:22"
884215222751424512,3,1,"@_caitlinalvarez *montage of race cars zooming past*","2017-07-10 00:58:31"
883537094093791232,3,0,"@_caitlinalvarez it's also the tune of old money by lana del rey","2017-07-08 04:03:53"
883205700574466048,9,1,"WHO OKAYED THE DECISION FOR BOB'S BURGERS TO BE TAKEN OFF OF NETFLIX","2017-07-07 06:07:02"
883059781359030272,1,0,"7/$28 sale at UO go wild","2017-07-06 20:27:12"
882612358866235392,4,0,"https://t.co/vWYtJQ2U0u","2017-07-05 14:49:19"
882607454193938432,9,0,"GOD IS REAL AND HES IN THE FACT THAT I GOT A 4 ON MY MACROECONOMICS EXAM","2017-07-05 14:29:49"
882474632804171776,17,0,"i'm so glad i can still identify the one direction member's voices on my first listen of a song what a useful skill to have","2017-07-05 05:42:02"
882344254781231105,0,0,"everyone send me ur favorite disney channel/nickolodeon songs; i'm making a playlist","2017-07-04 21:03:58"
882343009270067200,2,0,"@_caitlinalvarez @berniesandal it's true","2017-07-04 20:59:01"
881692861183471616,9,0,"trying to take this language placement test using the spanish knowledge i have remaining from my sophomore spanish 2 class is a joke","2017-07-03 01:55:33"
881373041900630018,5,0,"@jake__stubbs .@jake__stubbs i couldn't get this tweet out of my head so i did this https://t.co/6HyfBIQlfM","2017-07-02 04:44:42"
881362954880471044,4,0,"https://t.co/j1MLeUPTPZ","2017-07-02 04:04:38"
881331552864657408,3,0,":(!!!!! https://t.co/GbexaVp7rE","2017-07-02 01:59:51"
881180444301119488,10,2,"who got a tidal account they tryna let me borrow so i can listen to 4:44","2017-07-01 15:59:24"
881052099311783936,1,0,"@wichocastiIIo @kxtyxn goteem","2017-07-01 07:29:24"
880671433675988992,0,0,"s/o frisco pd #hitchhikers","2017-06-30 06:16:46"
880246909503508481,0,0,"@kendalljadeross wait no","2017-06-29 02:09:52"
879785142264451072,1,0,"@tjleaks that's the one","2017-06-27 19:34:58"
879784177889026048,13,1,"it's been a week since i swiped right and arbaaz and i STILL haven't matched on tinder. kinda hurt tbh :////","2017-06-27 19:31:08"
879783676753608704,8,0,"my youth minister just referred to me as sis","2017-06-27 19:29:08"
879727005578743808,11,0,"i just 

i just love harry styles, ok","2017-06-27 15:43:57"
879719851232808960,1,0,"@kendalljadeross @reeserpie ""at only 4 lightyears away, tetlanenon 8 is a perfect commute to danny's job, at which… https://t.co/Yy54eEUSEq","2017-06-27 15:15:31"
879689610254856196,10,0,"ever notice how pretty much all finance majors look like they voted for trump","2017-06-27 13:15:21"
879571889152196609,2,0,"@_caitlinalvarez be there in ten","2017-06-27 05:27:34"
879571748357885952,4,1,"i am so done with being here lol!!","2017-06-27 05:27:01"
879189475833913345,1,0,"@zoecolemanx giRL ur better off!!!","2017-06-26 04:08:00"
879188919312678912,1,0,"@zoecolemanx girl what he do!!","2017-06-26 04:05:47"
879187502111875076,2,0,"@_caitlinalvarez idk i didn't see it","2017-06-26 04:00:09"
879180588028219393,23,2,"if u get a notification that says i checked ur location it's not bc i wanna know whose bitmoji it is, i'm just nosy, ok, i'm sorry","2017-06-26 03:32:41"
879180277205131264,3,0,"@kxtyxn bonus points if u can figure out which one she didn't take","2017-06-26 03:31:27"
