"id","favorite count","retweet count","text","created at"
889181251223130112,0,1,"I HATE BABY MOMMA DRAMA. Be adults and don't let the kid suffer.","2017-07-23 17:51:45"
887802257714163712,0,0,"Confess my heart and forgive my wrongs","2017-07-19 22:32:07"
887791556807274496,3,0,"Alien or baby? 👽 https://t.co/WYAf4TswqL","2017-07-19 21:49:36"
887790963728502784,2,0,"The day I can't lay on my stomach will be the death of me","2017-07-19 21:47:14"
887731059504418816,4,0,"I'm going try everyday at my hardest to work hard for my son. If I have to give the shirt off my back, HERE YA GO","2017-07-19 17:49:12"
887721845826486277,1,0,"@lexigarrett_ Who said that?","2017-07-19 17:12:35"
887720691449163776,1,0,"If it feels great to work again 💃🏻💃🏻","2017-07-19 17:08:00"
887456410518343680,0,0,"After I get settled in my shoes, I'm going to look for houses 🙆🏻","2017-07-18 23:37:51"
887455862968680448,1,0,"I'm probably not going to look ""pregnant"" until I'm about to pop 💆🏻","2017-07-18 23:35:40"
887428587820912640,0,0,"@chxlseagrin I miss you 😔","2017-07-18 21:47:17"
887390989865934848,1,0,"Little baby was doing backflips and moving so much today. I didn't feel a thing 😂😂","2017-07-18 19:17:53"
887315304891764736,0,0,"Can my doctor come and see me like wowwww","2017-07-18 14:17:08"
887312629370425344,10,0,"Issa boy 💙💙💙","2017-07-18 14:06:30"
887013230392086528,0,0,"I just want to yell at the top of my lungs.","2017-07-17 18:16:48"
887009628105707520,4,0,"I don't go out to eat if I know someone there doesn't like me 😂😂 I avoided Sonic for a year a half 🤷🏻‍♀️","2017-07-17 18:02:29"
886760628257341441,3,1,"Floyds footwork is whats going to beat McGregor 🗣🗣 https://t.co/OuOUSUnG6R","2017-07-17 01:33:03"
886745915540877312,1,1,"I message my sister everyday about baby names 😂😂","2017-07-17 00:34:35"
886388457563709440,2,0,"I don't like it when people want to touch my tummy. Like ITS NOT EVEN A BUNP YET","2017-07-16 00:54:11"
886385420728139778,1,0,"@briwavves BIGGEST PROBLEM RIGHT THERE. They're either too oily or watery in my opinion.","2017-07-16 00:42:07"
886384457640542209,0,0,"@briwavves Even the super expensive ones aren't that good for my skin 😩😩","2017-07-16 00:38:17"
886366933146271745,0,0,"It's illegal to get paid the rate they work, because your tips are suppose to compensate for mim wage.","2017-07-15 23:28:39"
886366533596962817,2,1,"All waitresses/waiters have a certain quota of tips they must make every night. If you don't make said amount, then they pay you min wage","2017-07-15 23:27:04"
