"id","favorite count","retweet count","text","created at"
897887614937825280,0,0,"@TreverSerpas @connerbryantt That's what mine will be too 8-3","2017-08-16 18:27:44"
897883762318561284,0,0,"I'm loving her southern accent, I'm loving her southern everything 🎶","2017-08-16 18:12:25"
897856848983871488,1,0,"@LexiSmith4 Im game to go!!","2017-08-16 16:25:28"
897856010727063552,2,1,"Well Frank Foster is going to be in Hattiesburg Saturday.","2017-08-16 16:22:08"
897817835275264001,1,0,"@connerbryantt Yesterday you said college wasn't that bad","2017-08-16 13:50:27"
897665369971847168,1,0,"⏬🔽⬇️⤵️ https://t.co/cR3dVtsEpE","2017-08-16 03:44:36"
897664347836747776,4,0,"I don't understand how people have time to protest, hate trump or hillary, or remove statues. Go get a job, go to school, and move forward.","2017-08-16 03:40:32"
897495292706213888,1,0,"@BryanRaymond4 @west_kaiser @taylor_woodcock  https://t.co/8fEheJmOQF","2017-08-15 16:28:47"
897088080590622721,6,0,"There's still hope 👍🏼 https://t.co/YZiX4ZmGxu","2017-08-14 13:30:40"
896909683507826689,0,0,"Out of everything I have in my room. I don't have a fork.","2017-08-14 01:41:46"
896895413327941633,0,0,"I still don't start school for another two weeks","2017-08-14 00:45:04"
896501682514907136,0,0,"If anyone likes rodeo or cowboying start watching The Cowboy Way. It would be a good show to watch","2017-08-12 22:40:31"
896448824335626242,0,0,"One things for certain everybody's gonna know my name. If I'm going down, I'm going down in flames 🎶","2017-08-12 19:10:29"
896376638803464192,2,0,"@LexiSmith4 Can't drink all day if you don't start early.","2017-08-12 14:23:39"
896037718882439170,0,0,"@kenzihodaa You need to be there","2017-08-11 15:56:54"
896037588259266560,0,0,"@LexiSmith4 My teacher isn't teaching too well","2017-08-11 15:56:23"
896036814489866244,1,0,"@LexiSmith4 I'm sorry. I'm having a pretty good day🤷🏻‍♂️","2017-08-11 15:53:18"
896033924266295296,0,0,"@LexiSmith4 ""these are my roots and and that's what I love cause everybody knows me and I know them and I believe t… https://t.co/5WzCeft6SX","2017-08-11 15:41:49"
896030403110338560,0,0,"Is anyone at PRCC right now?","2017-08-11 15:27:50"
896029851869696002,1,1,"Fucked up like a soup sandwich https://t.co/MZRYLf5N0M","2017-08-11 15:25:38"
896029145729302528,2,3,"I watched people leave then come right back. I never wanted any part of that.","2017-08-11 15:22:50"
895809297938075649,0,0,"@hoda_bailey You need a beer","2017-08-11 00:49:14"
895808676426125312,1,0,"@hoda_bailey Shut up.","2017-08-11 00:46:46"
895661919125864448,1,0,"Why do hospitals have to be so cold.","2017-08-10 15:03:36"
895496582468120576,6,2,"@thoennes22 And everyone knows Daisy should've been with Gatsby. But she couldn't decide what she wanted","2017-08-10 04:06:37"
895492733091160064,2,1,"@thoennes22 But she wouldn't leave Tom for Gatsby.","2017-08-10 03:51:19"
895420061887995904,3,0,"I gotta go catch or kill something","2017-08-09 23:02:33"
895111954695680000,1,0,"@kaelhaley @realKLad I fw your body is a wonderland 🤷🏻‍♂️","2017-08-09 02:38:15"
895109667487199233,1,0,"@connerbryantt @realKLad Won't be the same","2017-08-09 02:29:09"
895109303924912128,3,2,"I wish I was going to see that guy in concert @connerbryantt @realKLad","2017-08-09 02:27:43"
895108875413848064,1,0,"@realKLad His live version of Free Falling is 🔥","2017-08-09 02:26:00"
895108327021084674,1,0,"Gravity 🤷🏻‍♂️ https://t.co/FtAxupHY4W","2017-08-09 02:23:50"
895108010086985729,2,0,"Waiting on the world to change https://t.co/LNJHip96D3","2017-08-09 02:22:34"
